fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
40001,40.9,23315,10.6,52.6,27.5,22820,133,0,33,18421,0.296,0.482,0.21,0.395,0.298,0.19,0.52,0.67,70.16,20.6,0.18,0.01,1.19
40003,35.4,11047,0,29.3,26.1,11529,90.2,0,845,6416,0.234,0.454,0.19,0.431,0.286,0.152,0.532,0.711,101.63,20.5,0.13,3.16,1.8
40005,21,20889,5.8,65.9,45.5,22541,122,113.5,2178,12778,0.263,0.512,0.173,0.408,0.308,0.2,0.437,0.713,69.22,21.5,0.15,5.94,0.62
40007,42.1,11711,0,11.3,54.5,11853,61.2,0,19,6023,0.289,0.495,0.239,0.413,0.296,0.15,0.502,0.619,110.62,22.7,0.15,0.01,4.28
40009,25.9,38491,0,44.4,32.1,36488,80.1,0,1337,18812,0.234,0.509,0.246,0.399,0.303,0.162,0.532,0.619,94.38,21.2,0.13,1.94,3.37
40011,17.6,18852,0,37.6,23.1,17599,93.3,0,993,11470,0.234,0.454,0.19,0.392,0.285,0.154,0.532,0.711,94.54,20.9,0.13,4.35,2.17
40013,33.3,59868,9.7,67.9,24,56180,111.2,107.1,923,32089,0.263,0.512,0.173,0.408,0.308,0.2,0.578,0.713,87.95,22.5,0.15,1.29,1.43
40015,26.8,45472,11.8,36.7,16,44994,82.7,142.7,2420,29550,0.234,0.454,0.19,0.418,0.309,0.162,0.532,0.663,84.76,21.2,0.13,2.68,4.5
40017,19.8,155842,1.1,55.1,19.1,154393,80.4,387.7,5250,74409,0.234,0.454,0.218,0.393,0.309,0.15,0.502,0.689,124.76,19.3,0.13,2.41,2.18
40019,25.2,75771,0.9,48.4,24.9,70663,130.5,21.3,7353,42919,0.234,0.454,0.232,0.431,0.294,0.154,0.532,0.688,99.01,21.1,0.13,8.01,2.44
40021,24.9,52531,8.2,43.2,30.5,49457,94.5,0,904,34049,0.224,0.447,0.229,0.395,0.301,0.19,0.437,0.601,88.73,19.7,0.18,1.08,1.07
40023,43.9,22727,3.6,35.3,35.5,20910,113.2,36,3603,15302,0.282,0.471,0.236,0.413,0.315,0.2,0.437,0.601,67.13,21.5,0.07,12.82,1.19
40025,28.3,5872,16.1,49.6,55.9,5959,48.6,0,11,3301,0.181,0.53,0.161,0.459,0.303,0.145,0.502,0.567,91.54,21.4,0.15,0,12.48
40027,24.9,355675,2.4,43.4,29.5,355250,89.9,0,14062,174253,0.218,0.39,0.19,0.362,0.275,0.126,0.594,0.741,124.06,19.3,0.09,2.77,2.73
40029,37.4,10435,11.3,49.7,39.3,9845,79.9,0,104,5780,0.28,0.512,0.237,0.414,0.315,0.19,0.479,0.681,65.72,21.5,0.16,0.95,0.22
40031,21.2,159598,4.1,42.1,36.6,175213,89.4,65.4,45449,111486,0.234,0.509,0.269,0.431,0.285,0.162,0.532,0.717,111.39,21.2,0.13,17.83,6.06
40033,18.6,12455,0,50.9,38,11447,77.4,0,280,6651,0.241,0.464,0.19,0.393,0.285,0.154,0.532,0.717,87.91,21.8,0.13,2.34,4.72
40035,25.3,23140,0,39.6,36.2,21493,154.4,0,1188,14104,0.224,0.447,0.21,0.395,0.298,0.148,0.479,0.697,94.08,20.4,0.26,3.27,1.05
40037,19.9,120705,6.2,41.6,28.5,114635,94.5,68.3,4237,60915,0.234,0.454,0.269,0.431,0.285,0.154,0.532,0.697,103.15,19.7,0.18,2.74,1.28
40039,24,46156,1.7,58,34.8,44891,84.3,0,1889,26897,0.234,0.454,0.19,0.393,0.309,0.15,0.43,0.619,104.19,20.9,0.13,3.37,6.04
40041,40.4,52476,4.3,38,38.5,49945,126.2,0,81,28070,0.238,0.538,0.262,0.455,0.304,0.19,0.557,0.597,92.14,21.8,0.26,0.16,0.84
40043,22.1,9600,0,73.7,46.9,9115,103.8,0,17,5551,0.234,0.488,0.19,0.399,0.294,0.162,0.43,0.663,93.5,20.9,0.13,0.12,1.49
40045,14.6,8347,0,29.2,17.7,8158,71.1,0,12,4497,0.233,0.454,0.19,0.393,0.27,0.15,0.647,0.619,99.51,20.3,0.12,0.06,2.93
40047,23.8,109773,2.6,33.4,23.9,101356,87.3,97.3,4182,56735,0.266,0.454,0.25,0.392,0.286,0.154,0.404,0.686,109.11,20.5,0.15,3.52,1.61
40049,48.3,50297,8.3,30.6,28.4,46131,128.6,161.5,1436,26605,0.234,0.454,0.253,0.431,0.285,0.154,0.532,0.711,89.63,21.2,0.13,2.71,0.84
40051,19.3,84714,5.6,48.2,33.5,80335,114.7,79.2,3324,41747,0.234,0.454,0.268,0.431,0.285,0.2,0.532,0.711,98.83,21.2,0.13,3.61,1.62
40053,9.7,11043,2.9,19.4,6.8,10084,120.7,0,5,5689,0.234,0.511,0.236,0.431,0.285,0.112,0.404,0.686,105.13,19.8,0.13,0,1.4
40055,39.1,11043,0,55.7,37,12120,69,0,1387,6559,0.261,0.509,0.264,0.431,0.294,0.154,0.511,0.717,85.89,22.2,0.13,6.89,5.07
40057,8.9,6430,0,27.7,31.4,5945,35,0,576,3793,0.399,0.566,0.264,0.431,0.309,0.169,0.511,0.717,68.74,22.2,0.15,7.59,16.87
40059,11.9,7307,7.1,20.2,73,7120,61.8,0,7,4063,0.236,0.534,0.123,0.413,0.303,0.113,0.511,0.586,105.39,18.1,0.12,0.04,1.74
40061,23.8,19599,2.4,58.3,24.3,18832,105.3,725.2,228,10940,0.224,0.447,0.21,0.395,0.281,0.228,0.557,0.697,69.73,21.5,0.13,0.82,1.82
40063,23.4,22058,0,23.3,28.2,21943,147.9,0,1844,13023,0.224,0.447,0.237,0.395,0.315,0.19,0.502,0.681,69.77,21.5,0.13,2.49,0.62
40065,20.7,50440,10.2,50.2,24.1,49577,89.2,41.7,5367,28764,0.275,0.516,0.19,0.431,0.309,0.162,0.532,0.619,102.66,21.2,0.13,9.4,11.26
40067,12.9,12885,8.8,38.7,53.3,11905,68.1,0,138,7010,0.234,0.454,0.253,0.431,0.308,0.19,0.532,0.689,77.56,21.2,0.13,0.54,4.17
40069,17.6,17192,0,58.3,11.9,16635,97.9,0,450,10032,0.245,0.447,0.232,0.412,0.315,0.162,0.502,0.688,73.07,22.9,0.13,2.17,1.55
40071,17.7,87167,1.7,45.4,32.8,81432,95.2,296,1712,48056,0.258,0.454,0.269,0.431,0.286,0.143,0.404,0.691,110.75,21.2,0.13,1.68,1.82
40073,18.7,26082,0,17.1,35,24934,63.3,0,630,13212,0.234,0.454,0.218,0.395,0.309,0.154,0.532,0.711,111.15,20.5,0.13,2.4,2.93
40075,40.5,19604,5.8,31.5,37.9,17826,98.5,0,1201,11347,0.261,0.509,0.21,0.431,0.294,0.2,0.532,0.619,82.43,21.2,0.13,5.29,4.63
40077,23.4,17000,0,54,20,17149,93.4,0,412,10333,0.284,0.447,0.21,0.395,0.315,0.228,0.437,0.601,80.52,19.7,0.13,1.49,0.81
