fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
41001,31.2,32042,3.8,35.4,42,32342,85.2,0,100,15317,0.224,0.505,0.188,0.414,0.362,0.146,0.507,0.654,102.35,21.8,0.2,0.19,1.81
41003,28.4,140901,1.4,34.1,29.9,142314,79.4,0,1851,70811,0.213,0.532,0.188,0.461,0.322,0.143,0.479,0.655,126.77,19,0.25,0.84,2.16
41005,25.2,647472,2.1,45.9,32.6,632877,67.3,0,3478,278850,0.213,0.515,0.191,0.486,0.314,0.094,0.609,0.701,131.85,18,0.22,0.3,2.49
41007,31.8,68350,5.9,55.2,39.8,68016,81.1,0,339,33301,0.229,0.606,0.242,0.466,0.328,0.159,0.479,0.635,113.34,19.3,0.26,0.3,2.24
41009,20.7,84759,3.4,67,30.2,86735,85,74.07001355,179,37557,0.237,0.534,0.215,0.461,0.328,0.108,0.524,0.665,115.05,19.3,0.25,0.1,2.01
41011,31.5,120315,3.8,66.7,35.5,119050,103.6,0,459,60273,0.237,0.606,0.242,0.492,0.396,0.163,0.433,0.626,104.73,19,0.25,0.17,2.39
41013,24.8,33068,2.5,40.4,39.2,33893,63.7,0,60,14111,0.237,0.534,0.225,0.49,0.322,0.155,0.532,0.685,102.67,21.8,0.2,0.07,2.53
41015,33.6,41015,1.1,55.1,31.8,40583,78.3,0,101,19327,0.206,0.583,0.218,0.482,0.396,0.163,0.433,0.626,112.19,19,0.25,0.03,1.67
41017,26.2,203676,2.2,40.6,37.1,205037,62.7,0,402,74958,0.237,0.54,0.19,0.49,0.322,0.153,0.532,0.685,121.38,20.3,0.25,0.14,1.96
41019,20.2,198505,2.6,57.2,33.2,196540,90.4,0,397,94649,0.237,0.58,0.224,0.492,0.322,0.153,0.531,0.694,104.78,20.4,0.25,0.16,2.2
41021,19.6,3963,0,0,0,3953,63.6,0,4,1717,0.224,0.532,0.191,0.441,0.314,0.126,0.532,0.654,114.13,21.8,0.24,0,2.32
41023,35.7,15498,0,49.2,53.1,15894,41.6,0,8,7853,0.224,0.494,0.225,0.457,0.37,0.146,0.532,0.665,101.52,19.7,0.18,0.01,2.22
41025,31,13449,6.5,62.7,45.2,13861,55.3,0,4,7060,0.22,0.505,0.217,0.453,0.325,0.155,0.685,0.844,101.93,21.1,0.2,0.02,3.11
41027,34.7,36192,0,33.7,36,38400,49.1,0,236,16903,0.228,0.532,0.19,0.492,0.314,0.12,0.524,0.687,102.5,19.4,0.25,0.25,15.76
41029,31,340160,3.3,42.6,40.4,327472,73.4,0,1285,146389,0.22,0.54,0.188,0.492,0.326,0.158,0.539,0.675,116.06,19.1,0.2,0.16,4.02
41031,27,26722,0,35.3,36.1,27274,57.1,0,101,13676,0.237,0.54,0.19,0.475,0.322,0.126,0.531,0.7,99.36,19.4,0.23,0.16,10.47
41033,29.1,146174,2.6,52.2,40.4,140340,74.2,0,414,62649,0.237,0.583,0.191,0.492,0.314,0.163,0.479,0.626,104.3,20.4,0.15,0.16,2.8
41035,18,116627,1.6,55.3,35.6,119525,79.8,90,1369,57702,0.22,0.559,0.224,0.499,0.322,0.147,0.527,0.675,104.06,20.3,0.23,0.62,5.16
41037,31.4,13726,5.8,54.6,31.3,14058,92.2,0,12,7186,0.22,0.54,0.191,0.499,0.314,0.155,0.609,0.844,102.4,20.4,0.2,0.23,3.65
41039,30.3,608181,2.5,41.5,34.9,581726,84.9,0,5943,282912,0.263,0.617,0.188,0.466,0.322,0.159,0.491,0.685,118.46,19.3,0.25,0.73,2.47
41041,20.9,89525,4.1,51.2,39.6,84001,78.8,0,271,38889,0.237,0.606,0.242,0.492,0.332,0.163,0.454,0.626,113.48,19.1,0.26,0.16,1.71
41043,33.1,203904,2.3,45.2,35.3,200440,74.5,0,658,91227,0.213,0.532,0.208,0.486,0.322,0.123,0.527,0.701,109.44,19.8,0.25,0.25,2.34
41045,16.2,54205,1.8,35.9,37.5,52704,54.7,0,379,26038,0.224,0.505,0.197,0.414,0.37,0.155,0.527,0.705,96.5,21.8,0.2,0.16,20.25
41047,28.5,510384,3.3,46.9,30.9,501690,79.6,0,7429,228483,0.237,0.534,0.224,0.466,0.328,0.141,0.532,0.694,116.19,20.4,0.25,0.88,7.63
41049,20,18887,0,24.3,48.7,19563,75.4,0,30,7625,0.207,0.515,0.191,0.436,0.343,0.094,0.524,0.654,97.91,21,0.22,0.09,11.06
41051,27.2,1097807,1.8,50.2,35.9,1053039,85.3,70.9,87432,583887,0.237,0.532,0.242,0.492,0.309,0.126,0.532,0.704,121.15,20.4,0.25,5.98,2.98
41053,21.7,120068,3.8,29.5,28.4,112892,51.9,0,638,49541,0.237,0.532,0.19,0.466,0.323,0.143,0.524,0.635,116.42,19,0.25,0.38,5.51
41055,0,3425,0,54.7,25.1,3607,87.4,0,12,1918,0.213,0.532,0.188,0.455,0.314,0.12,0.532,0.654,107.4,20.3,0.25,0,1.4
41057,22.8,47935,2.4,51.2,44.4,46881,70,0,141,21570,0.231,0.606,0.242,0.492,0.332,0.163,0.454,0.626,108.17,19,0.26,0.38,1.56
41059,33,121709,2.8,46.6,46.6,125019,84.5,0,1413,59249,0.138,0.502,0.185,0.381,0.402,0.131,0.598,0.654,102.14,23.2,0.25,0.59,8.77
41061,27,48809,1.6,50.8,34.8,47810,58.8,450,328,23598,0.207,0.488,0.198,0.441,0.325,0.146,0.507,0.654,107.43,21.8,0.18,0.37,1.51
41063,26.2,14550,3.5,45.5,37.6,14648,73.7,0,12,6911,0.215,0.526,0.197,0.414,0.343,0.146,0.527,0.654,102.51,21.1,0.2,0,1.53
41065,22.6,44640,1.6,42.3,25.8,42449,61.5,0,189,21683,0.237,0.532,0.224,0.466,0.322,0.137,0.532,0.665,107.56,20.4,0.25,0.41,5.09
41067,28.2,749154,1.7,42.5,31.2,721611,59.4,0,7302,311554,0.2,0.525,0.188,0.443,0.282,0.106,0.524,0.7,135.41,19.1,0.25,0.64,4.56
41069,0,3110,0,24.3,61.3,3187,41,0,4,1396,0.237,0.532,0.198,0.486,0.323,0.126,0.532,0.665,84.18,20.4,0.21,0,1.14
41071,31.2,155670,2,38.7,30.9,156659,75.3,0,1472,65551,0.237,0.534,0.206,0.461,0.328,0.12,0.524,0.665,116.38,19,0.25,0.66,6.6
