fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
42001,22.3,171971,2.2,39.3,39.7,164536,73.3,0,2701,78274,0.226,0.484,0.206,0.393,0.353,0.083,0.507,0.69,115.47,24.4,0.25,1.13,1.69
42003,29.7,2312512,2.4,46.7,32.2,2052949,84.6,58.5,294464,1336449,0.263,0.536,0.257,0.498,0.318,0.088,0.562,0.668,121.92,24.4,0.21,11.19,0.57
42005,21.3,149884,1.2,32.6,34.3,140015,70.9,86.2,1409,73478,0.248,0.52,0.244,0.464,0.354,0.088,0.411,0.55,101.11,24.4,0.17,0.69,0.22
42007,28.7,358509,4.4,41.3,30.9,329228,88,52.9,22188,186093,0.263,0.536,0.246,0.452,0.335,0.088,0.546,0.668,110.39,24.4,0.2,5.56,0.44
42009,23.6,100312,1.4,27.7,34.9,95830,65.7,198.6,485,47919,0.248,0.536,0.21,0.423,0.367,0.127,0.411,0.55,97.79,24.4,0.18,0.18,0.29
42011,31.4,694753,0.8,39,33.3,652173,73,103.3,26067,336523,0.22,0.537,0.209,0.467,0.351,0.083,0.498,0.669,120.06,24.3,0.25,2.92,4.84
42013,32.1,271799,1.6,31.7,39,243177,94,0,2725,130542,0.248,0.536,0.231,0.444,0.367,0.113,0.411,0.55,107.35,24.4,0.17,0.82,0.26
42015,38.2,126287,4.2,33.9,34.7,120415,77.6,0,413,60967,0.251,0.513,0.234,0.51,0.356,0.1,0.45,0.604,107.58,23.3,0.26,0.21,0.28
42017,27.6,1123440,2,42.4,34.3,1088906,81.7,42,36966,541174,0.226,0.503,0.209,0.472,0.322,0.083,0.498,0.67,143.8,24.9,0.23,2.78,1.57
42019,35.5,342783,3.8,35,32.8,328556,81.9,0,2230,152013,0.263,0.537,0.246,0.452,0.345,0.088,0.411,0.62,118.05,24,0.19,0.5,0.39
42021,29,314301,2.8,30,37.6,290063,80.1,31.6,10703,163029,0.263,0.536,0.21,0.423,0.318,0.113,0.562,0.606,101.97,24.4,0.17,2.26,0.5
42023,37.8,11371,0,49.2,44.7,11050,110,0,24,5913,0.251,0.537,0.217,0.432,0.335,0.091,0.495,0.55,97.86,24.9,0.23,0,0.33
42025,31.8,119980,1.8,32.9,31.4,112896,80.4,0,351,56846,0.233,0.529,0.2,0.472,0.359,0.102,0.45,0.604,108.61,25.2,0.22,0.13,0.96
42027,25.6,240527,3.1,28.5,30.7,250908,62.8,385.7,8832,123786,0.21,0.518,0.21,0.423,0.367,0.091,0.474,0.602,125.79,24,0.26,2.14,0.98
42029,27.8,776691,2,41.1,34.5,750278,64,44.6,58935,376396,0.209,0.481,0.2,0.471,0.312,0.083,0.518,0.662,146.8,25.1,0.26,6.35,2.13
42031,36,85113,0,22.8,26.3,79815,70.3,74.07001355,556,41699,0.263,0.536,0.257,0.498,0.337,0.097,0.495,0.55,101.28,24.4,0.2,0.35,0.22
42033,24.8,162361,2.1,39.9,34.1,158241,80.4,0,707,78097,0.248,0.536,0.244,0.444,0.367,0.113,0.411,0.55,99.25,24.4,0.17,0.19,0.11
42035,21.6,76273,3.6,40.5,42.5,70361,70.1,0,459,37182,0.221,0.518,0.231,0.432,0.367,0.091,0.45,0.636,102.88,24.4,0.26,0.24,0.3
42037,24.9,132917,6.4,27.3,30.3,120227,75.8,0,654,63202,0.287,0.552,0.234,0.436,0.367,0.094,0.45,0.604,111.18,23.9,0.22,0.41,0.59
