fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
45001,21,34256,3,22.6,42.5,31805,49.9,91.6,14439,23862,0.236,0.483,0.214,0.397,0.344,0.145,0.459,0.742,93.25,20.1,0.3,31.46,0.48
45003,27.3,203266,4.6,43.5,28.2,195194,89.7,96.1,61405,120940,0.253,0.486,0.187,0.371,0.36,0.138,0.372,0.709,111.02,24.2,0.17,24.06,0.65
45005,41.6,6717,0,57,36.5,7788,108,182.6,15950,11722,0.257,0.52,0.21,0.403,0.344,0.138,0.513,0.709,64.58,21.7,0.17,67.76,1.28
45007,20.7,272118,3.9,32.7,36.2,254016,86.5,95,50100,145196,0.315,0.547,0.23,0.406,0.327,0.108,0.478,0.63,104.07,20.2,0.16,16.59,0.41
45009,13.5,12984,0,47.4,14,12192,118.4,64.4,18548,16902,0.257,0.444,0.208,0.37,0.358,0.145,0.531,0.709,76.26,21.7,0.17,61.56,0.47
45011,25.2,24653,0,65.9,16.6,24248,93.4,102.3,17288,20293,0.249,0.444,0.198,0.37,0.354,0.138,0.513,0.709,90.01,23.3,0.17,43,0.62
45013,25.8,146783,2.3,50.9,22.6,156499,61.3,41.3,57270,86425,0.276,0.518,0.209,0.406,0.263,0.143,0.531,0.781,125.85,21.7,0.23,28.46,2.44
45015,28.6,192490,4.2,66.7,49,201718,124.1,85,66487,128776,0.276,0.518,0.21,0.406,0.358,0.152,0.531,0.704,114.49,24,0.23,24.09,1.88
45017,8.5,13524,0,23.8,6.3,13079,67.1,60.2,13191,12753,0.201,0.409,0.198,0.39,0.358,0.122,0.531,0.692,87.61,23.3,0.17,51.59,0.21
45019,18.4,400258,2,40.8,26.7,386756,77.7,58.2,206208,295039,0.276,0.518,0.208,0.406,0.263,0.152,0.531,0.731,115.61,24,0.23,34.91,1.27
45021,28.1,78697,5.5,36.5,29.2,74156,91.1,75.2,18807,44506,0.265,0.521,0.238,0.438,0.344,0.145,0.481,0.692,91.08,21.3,0.14,20.67,0.24
45023,29.6,41824,3.5,49.2,14.3,38811,86,102.2,25487,32170,0.26,0.52,0.247,0.438,0.344,0.122,0.513,0.688,89.9,23.3,0.17,39.9,0.52
45025,29.2,55204,0,44.4,23.4,52301,109.2,58,25648,38577,0.239,0.479,0.207,0.406,0.358,0.149,0.519,0.688,82.31,23.3,0.23,33.48,0.28
45027,23.2,25856,3.4,37.5,17,26290,95.4,89.8,33825,28450,0.257,0.518,0.21,0.406,0.358,0.152,0.531,0.688,74.64,24,0.2,56.56,0.63
45029,23.2,40823,0,46,45.6,39216,91.4,84.1,31448,34377,0.276,0.518,0.208,0.406,0.358,0.152,0.531,0.704,87.31,24,0.17,45.08,0.42
45031,21.9,80967,6.4,48.7,58.1,74983,135.9,94.6,48512,61851,0.269,0.518,0.21,0.404,0.358,0.152,0.51,0.688,94.42,23.3,0.17,40.03,0.39
45033,27.1,33811,6.9,44.1,15.8,30449,104.3,129.9,23547,29114,0.269,0.554,0.208,0.406,0.358,0.141,0.531,0.688,74.73,23.2,0.23,43.22,0.23
