fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
46003,55.2,5862,0,27.4,21,6016,47.2,74.07001355,0,3135,0.229,0.509,0.175,0.368,0.345,0.094,0.514,0.782,88.47,21.7,0.15,0,0.38
46005,20.4,35239,8.2,31.5,28,33206,91.8,0,264,18253,0.257,0.513,0.175,0.356,0.343,0.098,0,0.818,103.83,22.2,0.2,0.26,0.54
46007,22.4,3398,0,20.2,47.6,3310,132,0,20,3206,0.237,0.53,0.209,0.462,0.36,0.143,0.514,0.829,74.55,20.7,0.23,0.81,0.81
46009,8.8,13399,0,20,27.5,14373,57.2,0,98,7089,0.257,0.52,0.158,0.356,0.344,0.094,0.514,0.526,87.75,21.7,0.07,0.38,0.64
46011,35.5,49661,0,24.6,23.6,51646,63.3,0,261,25207,0.226,0.498,0.196,0.376,0.301,0.099,0.854,0.806,111.95,22.7,0.15,0.16,0.32
46013,28.7,71074,0,32.1,23.7,65381,91.6,0,129,35580,0.239,0.57,0.236,0.451,0.336,0.09,0.548,0.837,111.64,24.6,0.24,0.08,0.44
46015,22,10276,0,32.6,8.6,10078,39.2,0,31,5485,0.202,0.5,0.178,0.402,0.344,0.094,0.863,0.829,98.53,21.7,0.15,0.12,0.47
46017,0,733,0,0,176.6,800,0,0,6,1759,0.236,0.509,0.178,0.402,0.344,0.09,0.514,0.782,50.95,21.7,0.09,0,0
46019,23.2,17386,0,34.8,22.8,17275,89.9,0,67,7914,0.253,0.53,0.22,0.432,0.316,0.143,0.838,0.731,97.97,20,0.19,0.06,3.36
46021,47.1,3741,0,36.9,15.3,3814,9.7,0,1,1965,0.224,0.467,0.213,0.402,0.331,0.1,0.514,0.684,87.94,15.5,0.11,0.3,0
46023,21.9,14355,0,48.1,61.9,13966,46.2,0,20,9131,0.236,0.509,0.175,0.356,0.343,0.092,0.642,0.782,76.26,21.7,0.06,0.02,0.16
46025,38.3,8569,0,20.1,54.2,8673,43.2,0,22,4403,0.228,0.554,0.199,0.376,0.324,0.094,0.548,0.839,91.17,24.6,0.15,0,0.2
46027,44.8,25446,4.8,46.9,35.5,24439,108.1,0,209,13186,0.255,0.498,0.158,0.376,0.313,0.094,0.858,0.801,110.9,21.5,0.15,0.3,0.84
46029,20.5,50871,1.5,35.3,26,48607,77.5,0,72,22698,0.247,0.554,0.199,0.423,0.312,0.099,0.854,0.81,107.41,24.6,0.22,0.01,0.12
46031,24,4113,0,37.4,22.2,4346,53,0,4,4195,0.237,0.53,0.209,0.411,0.337,0.115,0.514,0.684,58.45,15.5,0.12,0,0.4
46033,12.8,13253,0,43.2,13.4,13566,90.2,0,43,6179,0.253,0.53,0.243,0.446,0.298,0.155,0.66,0.77,105.97,18.9,0.23,0.22,0.61
46035,24.4,36141,0,29.7,40.5,33334,85.4,0,76,17503,0.241,0.5,0.177,0.376,0.309,0.094,0.863,0.856,103.89,21.7,0.15,0.15,0.17
46037,25.5,11839,10.8,37.9,51.4,11724,66.3,0,2,6978,0.214,0.513,0.19,0.376,0.357,0.097,0.547,0.759,89.36,23.4,0.24,0.04,0.08
46039,27.5,8662,0,4.9,44,9242,39.8,0,6,4522,0.214,0.554,0.157,0.376,0.319,0.099,0.854,0.632,91.92,24.4,0.15,0,0.04
46041,51.9,3387,0,20.1,25.4,3595,37.5,0,17,5523,0.237,0.53,0.209,0.402,0.355,0.143,0.514,0.723,61.6,21,0.12,0.18,0.39
46043,46.7,7171,0,40.2,67.6,6915,64.8,74.07001355,0,3746,0.202,0.505,0.158,0.356,0.344,0.092,0.863,0.81,84.16,22.2,0.06,0,0.02
46045,10,8491,0,49.4,37.6,8422,83.1,0,6,4356,0.224,0.509,0.178,0.402,0.362,0.09,0.514,0.745,85.28,24.6,0.17,0,0
46047,52.6,12239,0,13.1,46.9,13276,88.4,0,61,7353,0.242,0.538,0.234,0.432,0.315,0.143,0.544,0.793,102.23,19.3,0.19,0.36,1.69
46049,22.3,5051,0,10.4,41.1,5057,36.9,74.07001355,0,2744,0.224,0.5,0.206,0.402,0.355,0.09,0.514,0.715,84.98,23.9,0.17,0,0.1
46051,30.8,15956,7.3,39.5,58.6,15845,50.7,0,16,8372,0.228,0.533,0.178,0.423,0.335,0.099,0.607,0.758,103.22,21.1,0.21,0,0.11
46053,26.1,9655,0,19,46.6,9087,70.1,0,4,5359,0.202,0.509,0.177,0.376,0.343,0.098,0.455,0.662,88.26,21.7,0.05,0.03,0.2
46055,27,4803,0,27.2,27,4575,37.5,0,15,2624,0.253,0.53,0.249,0.446,0.3,0.149,0.514,0.834,107.4,18.4,0.12,0.26,0.76
46057,18.2,10732,0,28.7,24.5,10580,57.6,0,9,4974,0.247,0.554,0.155,0.376,0.336,0.098,0.548,0.837,91.48,21.9,0.15,0.2,0.66
46059,16.5,8363,0,12.6,43.1,8147,55.4,0,8,4272,0.239,0.513,0.175,0.388,0.343,0.09,0.548,0.825,96.65,21.7,0.06,0.3,0.23
46061,17.6,5866,0,35.4,31.6,5938,29.1,74.07001355,0,2994,0.226,0.498,0.175,0.376,0.344,0.094,0.863,0.854,99.45,24.4,0.15,0,0.2
46063,34.6,2724,42,0,27.6,2747,0,0,96,1669,0.237,0.53,0.243,0.497,0.298,0.143,0.544,0.793,97.83,20.6,0.2,0.17,0.89
46065,25.4,29617,0,42.6,34.7,27096,65.4,0,40,14817,0.157,0.448,0.178,0.402,0.337,0.085,0.919,0.829,120.92,30,0.31,0.12,0.83
46067,34.2,16213,0,13.8,55.3,15900,109.3,0,4,8262,0.202,0.5,0.158,0.356,0.344,0.094,0.863,0.771,86.66,22.7,0.15,0,0.13
46069,33.6,3252,0,32.9,93.3,2964,143.9,0,5,1696,0.224,0.5,0.178,0.376,0.344,0.09,0.514,0.818,93.31,21.7,0.11,0.17,0.11
46071,35.6,3128,0,0,0,3034,107.7,0,25,2811,0.253,0.53,0.255,0.475,0.36,0.155,0.514,0.702,68.39,20.7,0.12,0,0
46073,14.3,4475,0,7.7,13.7,4394,86.4,74.07001355,0,2425,0.239,0.498,0.178,0.356,0.344,0.09,0.514,0.708,90.82,22.2,0.2,0,0
46075,88,2367,35.4,28.8,54.1,2565,138.3,74.07001355,0,1324,0.229,0.53,0.178,0.402,0.337,0.094,0.514,0.662,99.3,22.2,0.12,0,0
46077,10.4,11836,0,9.6,50,11242,29,74.07001355,0,5925,0.226,0.5,0.175,0.376,0.309,0.094,0.548,0.81,97.17,22.7,0.15,0,0.03
46079,16.6,21677,0,32.4,12.7,20688,44.6,0,78,10550,0.257,0.498,0.155,0.376,0.309,0.094,0.609,0.708,108.02,21.5,0.15,0,0.21
46081,19.1,42946,4.2,44,43.4,41776,57.4,0,144,20655,0.253,0.53,0.214,0.417,0.298,0.149,0.838,0.834,111.92,19.3,0.23,0.1,1.46
46083,30.6,39333,0,37.5,37.9,39643,89,0,109,15427,0.268,0.554,0.196,0.376,0.337,0.094,0.863,0.856,115.6,21.5,0.15,0.23,0.36
46085,47.1,5034,0,57.1,0,5318,60.3,0,13,3638,0.237,0.53,0.178,0.402,0.367,0.098,0.514,0.818,93.78,21.7,0.11,0.05,0.32
46087,27.2,11387,0,20.9,34.1,11077,50.3,74.07001355,0,5688,0.276,0.516,0.155,0.376,0.344,0.094,0.863,0.851,99.04,24.4,0.15,0,0.07
46089,23,5718,0,0,35.8,5428,44,74.07001355,0,3228,0.224,0.492,0.213,0.402,0.369,0.108,0.514,0.696,70.09,23.9,0.19,0,0
46091,14.1,8561,7.1,0,21.8,8642,52.3,0,9,4844,0.196,0.516,0.19,0.376,0.347,0.097,0.547,0.715,82.38,21.8,0.26,0,0.18
46093,18.5,40006,0,29.2,23.1,41997,67.5,0,1346,21878,0.237,0.53,0.209,0.411,0.298,0.149,0.595,0.834,111.22,18.4,0.23,2.23,1.52
46095,0,1991,0,39.2,22.8,2033,137,74.07001355,0,2137,0.237,0.513,0.255,0.402,0.386,0.102,0.455,0.662,53.13,21.4,0.05,0.14,0.88
46097,52.1,5609,0,14.1,23.7,5551,57.4,0,55,3272,0.239,0.498,0.155,0.368,0.324,0.094,0.548,0.708,91.46,24.4,0.15,0,0.33
46099,28.3,282152,1,31.9,38,259822,90.9,0,2821,123809,0.276,0.554,0.213,0.376,0.301,0.094,0.863,0.856,123.46,24.4,0.15,0.63,0.54
46101,6.3,11622,0,4.3,13.6,11825,97.2,0,26,6507,0.23,0.498,0.15,0.376,0.34,0.093,0.863,0.632,101.83,21.5,0.15,0.15,0
46103,20.8,155416,2,43,35.4,152722,88,0,4355,81343,0.253,0.53,0.255,0.497,0.298,0.155,0.838,0.834,117.66,18.4,0.23,1.5,2.31
46105,5,6941,0,53.1,42.4,6923,35.6,0,6,3932,0.237,0.53,0.209,0.411,0.298,0.148,0.595,0.759,97.59,19.3,0.23,0.17,0.53
46107,10.5,5821,0,12.2,18.3,5617,39.1,74.07001355,0,3190,0.224,0.492,0.178,0.402,0.357,0.1,0.514,0.684,98.36,23.9,0.2,0,0.34
46109,11.8,14506,0,20.9,45.4,14918,31.9,74.07001355,0,9914,0.226,0.498,0.19,0.423,0.32,0.106,0.578,0.759,78.87,21.9,0.21,0,0.5
46111,7.8,5275,23.6,28.2,42.5,5509,48.2,0,35,2833,0.23,0.5,0.158,0.368,0.344,0.097,0.514,0.818,95.18,22.2,0.15,0,0.42
46113,0,1110,0,394.3,0,1381,174.3,0,34,9902,0.253,0.53,0.255,0.497,0.298,0.155,0.838,0.834,-7.74,19.3,0.12,0.08,1.99
46115,32.8,15477,0,35.3,15.7,14564,25.9,0,4,7981,0.239,0.5,0.236,0.451,0.343,0.09,0.548,0.837,97.67,24.6,0.2,0,0
46117,0,5413,0,23.5,22.1,5379,105.6,0,6,2453,0.237,0.53,0.209,0.408,0.343,0.149,0.514,0.755,110.07,23.4,0.11,0,0.61
