fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
47001,24.1,139780,1.8,48.8,39,128038,112.5,61.1,5938,68250,0.282,0.496,0.276,0.452,0.344,0.121,0.486,0.615,109.07,20.3,0.18,3.92,0.85
47003,27,62261,4.1,41.1,30.3,58889,106.3,53.2,7277,30411,0.266,0.52,0.255,0.418,0.326,0.122,0.475,0.635,93.69,19.9,0.17,10.09,0.8
47005,26.6,32897,0,50.2,30.4,30001,136.7,0,804,14524,0.318,0.543,0.257,0.436,0.342,0.122,0.486,0.598,87.33,22.2,0.15,2.07,0.41
47007,13,18973,0,56.2,47.7,21769,99.1,0,1448,9669,0.299,0.513,0.24,0.398,0.31,0.12,0.494,0.604,74.36,20.4,0.21,3.8,0.23
47009,22.1,198984,1.7,42.7,35.9,185441,116.7,124,6750,85969,0.326,0.613,0.286,0.466,0.281,0.105,0.367,0.688,106.24,17.6,0.18,3.1,0.42
47011,30.3,161644,5.3,38.2,37.2,150888,98.3,39.7,6637,73712,0.269,0.505,0.23,0.398,0.329,0.12,0.5,0.628,102.85,20.3,0.21,4.27,0.83
47013,28.6,78183,5.1,58.9,33.3,71720,172.9,0,363,35079,0.282,0.586,0.297,0.452,0.298,0.178,0.494,0.604,66.9,19.7,0.21,0.41,0.42
47015,24.9,24095,3.7,36.9,12.4,22917,121,0,482,10467,0.277,0.52,0.255,0.437,0.326,0.122,0.475,0.635,86.42,19.9,0.17,1.85,0.2
47017,26.6,52416,9.2,48.1,20.3,48976,83.9,69.1,6772,27514,0.282,0.543,0.257,0.363,0.353,0.11,0.486,0.63,85.71,23.6,0.13,11.42,0.57
47019,24.7,107841,0.9,32.3,35.3,101353,89.6,0,1176,51505,0.24,0.532,0.287,0.459,0.318,0.134,0.528,0.644,86.38,20.1,0.21,0.84,0.38
47021,27.7,67195,4.4,38.6,18.2,67808,105.9,77.5,1544,27140,0.277,0.525,0.255,0.418,0.326,0.122,0.475,0.635,108.69,22.9,0.17,2.1,0.74
47023,19.6,26456,2.7,30.2,50.9,24541,137.6,0,3387,12819,0.282,0.479,0.255,0.357,0.342,0.11,0.396,0.57,85.85,20.1,0.1,11.03,0.37
47025,44.8,59051,9,40.7,54.7,55697,129.9,123,672,26137,0.282,0.554,0.313,0.497,0.298,0.168,0.486,0.536,69.4,19.7,0.18,0.9,0.1
47027,28.8,14421,0,50.7,34.3,14085,109.1,0,255,7238,0.314,0.52,0.242,0.442,0.326,0.12,0.475,0.475,63.58,23.5,0.17,1.67,0.33
47029,19.9,63999,5.5,58.6,18.9,59688,113.3,0,1344,29141,0.326,0.599,0.287,0.471,0.306,0.157,0.494,0.628,64.09,20.1,0.22,1.77,0.49
47031,34.8,89165,4.1,36.7,27.3,83594,105.2,0,3472,40339,0.277,0.52,0.255,0.418,0.326,0.122,0.475,0.635,101.05,19.9,0.17,4,0.64
47033,9.1,23627,0,51.7,27.8,21649,80.1,306.1,4933,13378,0.282,0.479,0.208,0.357,0.342,0.11,0.418,0.57,86.89,22.2,0.13,16.86,0.35
