fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
48001,30.9,68781,2.6,44.5,25.1,85806,132.8,77.7,36444,48024,0.28,0.583,0.209,0.4,0.326,0.2,0.511,0.652,100.07,22.5,0.21,23.23,7.82
48003,26.1,26672,3.7,50.2,36.5,26239,65.8,0,668,14338,0.283,0.463,0.277,0.418,0.277,0.247,0.336,0.568,96.85,18.3,0.09,1.73,31.53
48005,23,127573,4.6,50,22.1,124196,103.3,87.8,24715,69884,0.298,0.557,0.233,0.403,0.345,0.235,0.606,0.608,99.53,21.7,0.19,15.34,7.83
48007,18.9,42142,0,69.6,34.2,41491,99.6,0,849,17892,0.198,0.512,0.232,0.401,0.379,0.166,0.537,0.653,94.77,19.5,0.12,1.49,20.26
48009,42.7,16348,9.9,51.4,23.7,16417,59.9,0,23,7973,0.275,0.571,0.264,0.431,0.308,0.162,0.532,0.717,109.19,22.1,0.18,0.18,1.7
48011,32.5,4370,0,43.2,31.3,4170,87.7,74.07001355,0,2021,0.125,0.539,0.161,0.365,0.375,0.145,0.381,0.564,109.64,21.4,0.18,0,4
48013,20.1,71552,0,35.7,29.2,70252,68.3,0,455,30533,0.26,0.512,0.191,0.371,0.371,0.206,0.427,0.648,75.87,18.7,0.18,0.37,52.4
48015,27.9,39897,4.1,31,24,39693,60.1,85.6,5916,19832,0.275,0.531,0.209,0.4,0.371,0.245,0.511,0.746,99.44,22,0.21,13.24,9.84
48017,14.3,13360,0,26.9,57.1,13161,76.4,675,244,7064,0.275,0.496,0.181,0.46,0.283,0.197,0.381,0.619,84.91,21,0.09,2.15,44.01
48019,25.7,30364,11.7,36.2,21.8,30503,69.6,0,72,10562,0.231,0.474,0.188,0.41,0.243,0.206,0.511,0.794,110.66,18.7,0.12,0.32,10.85
48021,28.3,84306,0,47.1,25.8,87295,89.5,67.6,12347,38263,0.231,0.537,0.191,0.371,0.294,0.206,0.511,0.648,100.52,19.5,0.21,11.79,17.67
48023,0,8268,0,45.2,34,7444,152.6,0,345,4385,0.261,0.538,0.264,0.431,0.309,0.228,0.511,0.717,88.67,21.3,0.13,4.1,6.11
48025,17.8,49156,13.5,41.9,16.8,56530,64,0,1900,25135,0.238,0.537,0.191,0.371,0.312,0.206,0.511,0.648,85.54,18.7,0.21,3.19,51.38
48027,26.6,328797,2.3,37.9,31.7,340794,102.1,84.2,90031,191088,0.273,0.405,0.23,0.381,0.335,0.13,0.226,0.62,109.93,20.3,0.21,18.87,12.57
48029,26,2512187,3.9,33.4,30.9,2358718,68.8,61.9,183470,1185394,0.292,0.537,0.191,0.371,0.371,0.206,0.427,0.648,107.75,18.7,0.21,7.13,49.44
48031,24.1,16765,0,40.1,18.9,15385,51.5,0,235,5972,0.292,0.537,0.191,0.371,0.371,0.206,0.511,0.648,101.36,18.7,0.21,0.56,13.69
48033,0,1457,0,50.4,85,1537,85,0,8,799,0.255,0.546,0.181,0.489,0.372,0.223,0.336,0.568,101.25,18.3,0.17,0.5,13.51
48035,30.2,32910,6,32,41.3,31652,102.1,285.5,744,15125,0.263,0.512,0.193,0.414,0.294,0.2,0.5,0.713,96.83,21.3,0.17,2,9.61
48037,24.6,129361,4.5,52.1,29.3,123963,117.3,72.9,36211,81665,0.477,0.726,0.187,0.398,0.243,0.144,0,0.701,107.5,25,0,21.89,1.65
48039,28.1,394215,4.3,55.4,37.6,413825,103.7,46.9,46911,191707,0.231,0.553,0.318,0.456,0.379,0.147,0.537,0.626,118.36,26,0,8.22,17.34
48041,26.1,212806,0,37.2,34.6,226969,84.5,53.8,30173,121862,0.275,0.453,0.209,0.4,0.303,0.135,0.607,0.746,115.61,20.3,0.21,11.19,13.29
48043,48.2,17343,0,8.8,23.7,17513,34.6,0,198,8681,0.173,0.426,0.091,0.091,0.503,0.289,0.511,0.619,88.26,20.6,0,0.61,42.56
48045,111.2,3569,0,58,0,3627,160.5,0,166,1971,0.185,0.335,0.181,0.365,0.277,0.184,0.511,0.715,86.76,23.7,0.19,3.09,19.43
48047,20.4,17336,9.4,10.8,13.3,16149,74.4,0,21,8204,0.179,0.456,0.191,0.371,0.396,0.206,0.5,0.619,51.97,15.8,0.08,0.13,89.51
48049,31.7,70421,7.6,36.7,36.7,67610,93,132.2,4180,34371,0.326,0.538,0.252,0.399,0.307,0.228,0.469,0.602,95.11,21.1,0.17,4.4,11.05
48051,21.8,24799,0,45.9,40,24610,95.4,36,5428,13625,0.231,0.463,0.207,0.386,0.262,0.206,0.607,0.634,87.04,20.3,0.19,17.82,11.95
48053,28.8,62115,5,53.4,32.4,60312,102.2,0,1737,22677,0.231,0.537,0.191,0.41,0.335,0.179,0.469,0.648,102.37,19.7,0.21,1.15,10.4
48055,21.4,55816,5.9,36.5,42.1,56021,87.9,67.1,7739,26392,0.231,0.537,0.188,0.371,0.371,0.206,0.487,0.648,81.08,19.5,0.21,10.69,37.32
