FIPS,INTERSTATE_GAS,INTRASTATE_GAS,INTERSTATE_LIQ,INTRASTATE_LIQ,PERCENTAGE
48001,67.,285.,126.,34.,4.e-003
48003,117.,99.,849.,37.,1.e-002
48005,158.,70.,125.,123.,4.e-003
48007,11.,23.,0.,0.,0.
48009,0.,48.,164.,0.,1.e-003
48011,34.,6.,56.,0.,0.
48013,89.,134.,18.,68.,2.e-003
48015,31.,197.,136.,1.,3.e-003
48017,76.,0.,38.,0.,1.e-003
48019,51.,63.,0.,0.,1.e-003
48021,93.,182.,104.,58.,4.e-003
48023,0.,10.,131.,0.,1.e-003
48025,288.,268.,0.,374.,8.e-003
48027,0.,147.,4.,78.,2.e-003
48029,186.,244.,48.,139.,5.e-003
48031,14.,39.,70.,0.,1.e-003
48033,18.,0.,73.,195.,2.e-003
48035,0.,65.,53.,0.,1.e-003
48037,45.,0.,20.,0.,0.
48039,308.,1023.,1119.,1052.,3.1e-002
48041,17.,133.,128.,52.,3.e-003
48045,0.,30.,0.,0.,0.
48047,310.,281.,183.,216.,8.e-003
48049,0.,49.,24.,25.,0.
48051,5.,51.,48.,33.,1.e-003
48053,2.,45.,66.,0.,1.e-003
48055,14.,98.,152.,42.,2.e-003
48057,70.,241.,38.,55.,3.e-003
48059,30.,132.,155.,57.,3.e-003
48061,0.,260.,17.,33.,2.e-003
48063,35.,0.,0.,11.,0.
48065,194.,177.,351.,19.,6.e-003
48067,177.,54.,0.,0.,2.e-003
48069,62.,0.,50.,0.,1.e-003
48071,231.,349.,801.,178.,1.4e-002
48073,79.,214.,36.,90.,3.e-003
48075,0.,96.,114.,0.,1.e-003
48077,1.,98.,296.,0.,3.e-003
48079,35.,0.,70.,3.,1.e-003
48081,18.,57.,90.,42.,1.e-003
48083,0.,50.,0.,30.,0.
48085,0.,228.,100.,0.,3.e-003
48087,0.,69.,64.,0.,1.e-003
48089,122.,283.,42.,13.,4.e-003
48091,69.,103.,12.,0.,1.e-003
48093,0.,34.,63.,0.,0.
48095,2.,0.,36.,0.,0.
48097,0.,109.,346.,0.,4.e-003
48099,0.,33.,37.,38.,1.e-003
48101,0.,50.,41.,0.,0.
48103,134.,132.,301.,233.,7.e-003
48105,186.,189.,199.,239.,7.e-003
48107,0.,12.,0.,0.,0.
48109,354.,71.,148.,91.,6.e-003
48111,44.,0.,92.,0.,1.e-003
48113,0.,215.,111.,6.,3.e-003
48115,0.,102.,88.,326.,4.e-003
48123,176.,365.,37.,32.,5.e-003
48117,47.,5.,36.,0.,0.
48119,0.,71.,0.,0.,0.
48121,11.,172.,88.,0.,2.e-003
48127,79.,160.,0.,49.,2.e-003
48129,0.,52.,62.,0.,1.e-003
48131,180.,687.,83.,188.,1.e-002
48133,37.,181.,152.,75.,4.e-003
48135,105.,160.,521.,259.,9.e-003
48137,61.,73.,0.,0.,1.e-003
48141,209.,110.,206.,65.,5.e-003
48139,32.,320.,203.,0.,5.e-003
48143,50.,111.,59.,30.,2.e-003
48145,0.,115.,144.,82.,3.e-003
48147,15.,139.,58.,0.,1.e-003
48149,40.,179.,92.,17.,3.e-003
48151,0.,114.,188.,28.,3.e-003
48153,0.,37.,66.,0.,0.
48155,0.,13.,0.,0.,0.
48157,268.,585.,185.,126.,1.e-002
48159,20.,33.,15.,10.,0.
48161,44.,288.,217.,88.,5.e-003
48163,51.,64.,0.,163.,2.e-003
48165,152.,98.,674.,76.,9.e-003
48167,122.,411.,607.,287.,1.2e-002
48169,0.,0.,39.,63.,0.
48171,0.,55.,94.,0.,1.e-003
48173,99.,120.,152.,151.,4.e-003
48175,125.,83.,0.,44.,2.e-003
48177,16.,92.,46.,74.,2.e-003
48179,199.,127.,225.,5.,5.e-003
48181,0.,138.,174.,0.,2.e-003
48183,92.,174.,173.,209.,5.e-003
48185,9.,141.,128.,36.,2.e-003
48187,50.,100.,87.,32.,2.e-003
48189,38.,81.,40.,34.,1.e-003
48191,0.,46.,28.,0.,0.
48193,0.,72.,43.,8.,1.e-003
48195,198.,0.,171.,8.,3.e-003
48197,7.,63.,39.,0.,1.e-003
48199,118.,188.,309.,205.,7.e-003
48201,841.,1363.,3079.,1110.,5.7e-002
48203,418.,244.,165.,28.,7.e-003
48205,24.,0.,7.,0.,0.
48207,0.,82.,196.,140.,3.e-003
48209,97.,118.,82.,0.,2.e-003
48211,285.,66.,67.,0.,3.e-003
48213,0.,284.,101.,51.,3.e-003
48215,543.,1020.,20.,161.,1.5e-002
48217,0.,123.,162.,70.,3.e-003
48219,76.,28.,288.,83.,4.e-003
48221,34.,68.,26.,11.,1.e-003
48223,0.,151.,23.,33.,1.e-003
48225,38.,182.,134.,101.,4.e-003
48227,23.,103.,466.,97.,6.e-003
48229,420.,68.,207.,75.,7.e-003
48231,0.,146.,97.,20.,2.e-003
48233,321.,13.,427.,35.,7.e-003
48235,45.,17.,35.,0.,0.
48237,0.,56.,92.,0.,1.e-003
48239,439.,406.,195.,230.,1.1e-002
48241,172.,41.,89.,12.,2.e-003
48245,450.,478.,1432.,889.,2.9e-002
48247,143.,333.,2.,0.,4.e-003
48249,259.,359.,76.,181.,7.e-003
48251,32.,174.,172.,36.,3.e-003
48253,0.,121.,71.,27.,2.e-003
48255,157.,288.,0.,136.,5.e-003
48257,2.,207.,66.,0.,2.e-003
48259,8.,36.,0.,0.,0.
48261,85.,98.,40.,0.,2.e-003
48263,0.,22.,20.,17.,0.
48265,27.,97.,0.,0.,1.e-003
48267,0.,37.,126.,0.,1.e-003
48269,0.,30.,19.,85.,1.e-003
48273,258.,434.,125.,138.,8.e-003
48275,0.,49.,13.,51.,1.e-003
48283,40.,37.,0.,96.,1.e-003
48277,75.,97.,0.,0.,1.e-003
48279,96.,43.,125.,0.,2.e-003
48281,0.,45.,0.,1.,0.
48285,157.,315.,63.,0.,4.e-003
48287,8.,23.,74.,28.,1.e-003
48289,0.,150.,100.,24.,2.e-003
48291,324.,184.,944.,376.,1.6e-002
48293,0.,291.,1.,41.,3.e-003
48295,41.,0.,50.,0.,0.
48297,115.,428.,85.,192.,7.e-003
48299,2.,38.,1.,0.,0.
48301,51.,0.,72.,56.,1.e-003
48303,8.,134.,93.,16.,2.e-003
48305,0.,111.,4.,27.,1.e-003
48313,0.,43.,48.,0.,0.
48315,130.,54.,0.,4.,1.e-003
48317,83.,135.,224.,199.,5.e-003
48319,0.,0.,63.,0.,0.
48321,254.,574.,169.,316.,1.1e-002
48323,0.,0.,0.,19.,0.
48307,0.,0.,68.,0.,0.
48309,0.,145.,162.,64.,3.e-003
48311,53.,169.,29.,100.,3.e-003
48325,41.,41.,0.,59.,1.e-003
48327,0.,0.,6.,0.,0.
48329,149.,179.,652.,396.,1.2e-002
48331,0.,85.,57.,29.,1.e-003
48333,0.,24.,0.,28.,0.
48335,35.,125.,267.,104.,4.e-003
48337,36.,62.,200.,0.,2.e-003
48339,244.,170.,254.,94.,6.e-003
48341,244.,25.,276.,74.,5.e-003
48343,48.,3.,0.,6.,0.
48345,0.,0.,70.,0.,0.
48347,140.,86.,53.,132.,3.e-003
48349,31.,255.,296.,22.,5.e-003
48351,73.,7.,288.,0.,3.e-003
48353,30.,188.,171.,61.,4.e-003
48355,581.,975.,301.,823.,2.4e-002
48357,223.,0.,172.,0.,3.e-003
48359,0.,0.,91.,49.,1.e-003
48361,181.,197.,563.,60.,9.e-003
48363,3.,47.,51.,26.,1.e-003
48365,417.,148.,87.,76.,6.e-003
48367,78.,78.,189.,37.,3.e-003
48369,99.,0.,14.,0.,1.e-003
48371,391.,453.,22.,192.,9.e-003
48373,283.,143.,162.,171.,6.e-003
48375,113.,146.,71.,76.,3.e-003
48379,0.,51.,6.,0.,0.
48381,68.,92.,85.,31.,2.e-003
48383,96.,6.,116.,36.,2.e-003
48385,35.,35.,0.,0.,0.
48387,4.,65.,8.,0.,0.
48389,98.,109.,68.,43.,2.e-003
48391,399.,304.,176.,331.,1.e-002
48393,135.,6.,53.,0.,1.e-003
48395,0.,107.,190.,80.,3.e-003
48397,0.,36.,12.,0.,0.
48399,0.,62.,52.,53.,1.e-003
48401,139.,447.,107.,197.,8.e-003
48403,107.,0.,16.,0.,1.e-003
48405,55.,13.,18.,0.,0.
48407,151.,11.,44.,28.,2.e-003
48409,447.,386.,107.,546.,1.3e-002
48411,10.,32.,87.,0.,1.e-003
48413,28.,33.,175.,0.,2.e-003
48415,31.,82.,342.,192.,5.e-003
48417,0.,25.,50.,1.,0.
48419,114.,0.,25.,10.,1.e-003
48421,41.,0.,131.,11.,1.e-003
48423,66.,123.,93.,205.,4.e-003
48425,1.,16.,0.,13.,0.
48427,154.,703.,38.,31.,8.e-003
