fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
49001,31.2,11757,0,18.8,29.1,11340,65.1,0,5,4765,0.185,0.423,0.146,0.286,0.309,0.151,0.517,0.654,107.81,14.8,0.12,0,2.32
49003,19.4,80669,1.6,15.3,42.1,80727,21.5,0,76,36485,0.205,0.403,0.147,0.31,0.304,0.12,0.502,0.666,121.68,17.5,0.12,0.00548,3.88
49005,17.6,164085,0,10.5,30.7,164727,17,0,858,70183,0.17,0.403,0.147,0.31,0.295,0.123,0.502,0.666,120.83,16.5,0.13,0.32,2.35
49007,17.7,41802,2.7,36.6,24.8,39915,38.8,0,263,20228,0.241,0.495,0.167,0.334,0.295,0.115,0.375,0.666,108.24,18.3,0.12,0.27,11.54
49009,0,1426,0,0,0,1472,0,74.07001355,0,690,0.274,0.558,0.108,0.242,0.295,0.175,0.509,0.644,100.65,16.3,0.12,0,2.89
49011,26,438974,1.3,15.5,36.2,441422,35.6,0,8122,187941,0.124,0.314,0.108,0.221,0.3,0.085,0.509,0.691,131.6,13.6,0.12,1.16,3.8
49013,29.1,26531,4,8.5,47.4,27465,39.3,0,25,12645,0.194,0.403,0.147,0.31,0.295,0.182,0.502,0.644,101.9,18.3,0.12,0.11,2.91
49015,0,21130,12.3,21.8,42.7,22017,44.6,0,5,10332,0.21,0.449,0.147,0.31,0.295,0.123,0.544,0.666,113.02,18.3,0.12,0.1,2.26
49017,22.2,8060,0,0,54.4,8507,34.3,74.07001355,0,3980,0.23,0.403,0.165,0.346,0.278,0.154,0.514,0.654,103.64,18.3,0.18,0,0.77
49019,29.3,15949,11.6,36.2,37.6,15188,94,0,116,6620,0.238,0.472,0.156,0.334,0.284,0.12,0.375,0.619,105.19,15.5,0.15,0,3.26
49021,23.5,54755,2.3,24.5,46.6,54000,60,0,236,20789,0.194,0.403,0.146,0.321,0.309,0.151,0.517,0.644,113.61,18.3,0.12,0.19,1.7
49023,33.4,14542,19,8,19.5,14594,39.4,0,12,5817,0.136,0.387,0.147,0.31,0.335,0.146,0.502,0.653,105.21,15.9,0.12,0,0.87
49025,13.4,11868,5.9,31.9,101.7,12068,64,0,11,5169,0.194,0.403,0.147,0.31,0.295,0.134,0.502,0.654,105.49,18.9,0.18,0.19,1.48
49027,28.8,23596,4.5,7.6,59.6,24080,20.5,0,12,11333,0.124,0.314,0.138,0.277,0.335,0.141,0.517,0.653,111.24,14.8,0.12,0,3.16
49029,12.1,13720,0,8,46.4,14014,74.7,0,30,5528,0.17,0.403,0.147,0.31,0.295,0.123,0.502,0.666,127.08,16.3,0.14,0.05,1.28
49031,55.9,2722,0,19.4,0,2927,98.2,74.07001355,0,1277,0.209,0.41,0.171,0.358,0.304,0.154,0.502,0.653,92.8,17.6,0.12,0,0.78
49033,0,3581,0,25.2,51.4,3795,0,74.07001355,0,1725,0.194,0.403,0.147,0.31,0.295,0.154,0.61,0.666,110.65,18.3,0.14,0,1.68
49035,25,1603421,1.9,21.8,33.6,1577835,36.5,195.9,20312,725956,0.194,0.403,0.147,0.31,0.295,0.123,0.502,0.666,125.54,18.3,0.18,0.76,5.94
49037,7.2,12218,0,21,33.5,12640,11.2,0,49,12621,0.248,0.454,0.184,0.38,0.278,0.178,0.57,0.662,37.48,18.4,0.11,0.2,3.82
49039,24.9,40187,0,11.5,57.4,41803,40.4,0,285,16259,0.17,0.403,0.147,0.31,0.284,0.141,0.502,0.644,101.14,16.3,0.12,0.03,3.67
49041,28.7,35551,0,12.9,42.7,35394,37.9,0,25,15431,0.188,0.403,0.152,0.346,0.284,0.123,0.502,0.644,109.86,18.9,0.18,0,2.39
49043,24.1,50149,0,9.3,37.4,53084,34.2,0,86,15518,0.188,0.426,0.147,0.334,0.295,0.123,0.502,0.666,135.44,17.5,0.12,0,1.37
49045,29.7,62022,0,21.4,40.8,63973,54.8,0,676,26601,0.205,0.449,0.185,0.349,0.335,0.119,0.502,0.653,113.4,16.3,0.12,0.83,11.3
49047,18.8,45363,0,34.9,49.6,45166,59.6,0,32,22211,0.224,0.41,0.156,0.31,0.295,0.182,0.502,0.624,102.22,18.3,0.12,0.06,3.34
49049,26.9,660412,1.4,8.4,41.9,644108,28.2,0,1500,263590,0.08,0.239,0.06,0.145,0.284,0.115,0.375,0.619,121.91,14.8,0.12,0.09,3
49051,20.4,25592,0,24.8,83.5,26028,24.1,0,18,10089,0.186,0.354,0.108,0.334,0.295,0.118,0.375,0.644,118.22,17.5,0.12,0.05,2.69
49053,24.4,159184,2.9,19,31,155449,37.9,0,373,48560,0.207,0.474,0.179,0.358,0.315,0.179,0.517,0.654,119.2,18.6,0.16,0.26,1.76
49055,24.8,4452,0,18.9,0,4828,30.4,0,35,2177,0.241,0.472,0.167,0.376,0.278,0.179,0.514,0.654,101.12,18.4,0.12,0,1.74
49057,21.1,353395,2.6,18.5,31.8,343413,36.6,25.1,7645,158330,0.188,0.403,0.147,0.31,0.295,0.123,0.502,0.644,121.71,16.3,0.13,1.44,6.93
