fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
51001,31.4,41684,2.5,44.5,37.5,38149,105,54.1,22127,31703,0.285,0.553,0.231,0.483,0.362,0.139,0.528,0.712,87.19,26.8,0.19,34.44,1.2
51003,25.8,136748,2.1,32.3,41.5,130924,66.1,73.6,17382,68040,0.221,0.536,0.127,0.505,0.278,0.051,0.376,0.704,132.87,16,0.26,10.07,1.27
51007,53.2,13140,0,69.5,19.7,13067,111.2,75.5,7081,8787,0.24,0.546,0.221,0.492,0.325,0.076,0.516,0.745,94.13,22.1,0.15,31.88,0.13
51009,27.1,47941,2,41,28.3,43920,90.1,70.8,13269,28578,0.278,0.536,0.251,0.448,0.339,0.133,0.588,0.704,99.93,24.3,0.15,20.15,0.73
51011,20.7,19802,0,24,26.1,18882,99.5,20.9,6314,12298,0.233,0.506,0.242,0.43,0.316,0.133,0.588,0.639,95.29,24.3,0.15,22.92,0.21
51015,27.1,114884,3.4,43.7,49.7,114365,98.2,148.8,6634,54677,0.297,0.506,0.251,0.469,0.29,0.12,0.742,0.809,111.22,27.4,0.13,3.79,0.53
51017,23.7,9029,0,28.7,28.7,9340,30.7,0,557,4799,0.225,0.506,0.216,0.425,0.316,0.179,0.376,0.704,93.04,24.4,0.15,5.23,0.64
51021,32.8,12491,0,31,33.7,13563,54.5,158.9,919,6514,0.306,0.607,0.229,0.46,0.376,0.143,0.468,0.617,92.16,22.2,0.19,3.26,0.36
51023,16,54013,3.1,36.4,37.8,53339,69.5,43.1,3510,24992,0.285,0.542,0.242,0.46,0.341,0.143,0.458,0.566,115.52,20.9,0.19,4.14,0.42
51025,34.1,12747,0,52.7,21.2,13322,94.8,81.3,22331,15987,0.243,0.526,0.207,0.445,0.393,0.141,0.568,0.746,73.25,24.6,0.19,58.37,0.16
51027,44.1,57175,5,49.2,22.2,56214,82.6,0,2580,31333,0.24,0.532,0.275,0.473,0.385,0.206,0.387,0.533,70.21,20.9,0.19,0.19,0.52
51029,35.6,14592,0,49.5,39.9,16785,88.4,56.8,15226,12873,0.233,0.506,0.216,0.43,0.314,0.104,0.376,0.704,80.31,25.7,0.15,40.91,0.47
51031,19.4,83920,4,41.2,22.5,81873,94.2,57.9,16007,47572,0.285,0.568,0.222,0.459,0.339,0.131,0.588,0.639,107.65,23.2,0.15,14.42,0.34
51033,39.2,24843,4.1,44.8,43.3,24911,82,63.8,17647,19217,0.237,0.5,0.254,0.479,0.333,0.116,0.484,0.736,98.64,26,0.19,37.84,0.36
51035,21.5,55932,1.3,32.8,22.8,54305,92.7,0,354,26594,0.289,0.599,0.243,0.447,0.338,0.132,0.563,0.666,80.14,21.5,0.23,0.33,0.34
51036,51.4,3533,0,136.7,33,3744,42.6,65.4,8934,6282,0.237,0.531,0.254,0.453,0.325,0.076,0.516,0.746,95.68,22.1,0.19,63.33,0.6
51037,30.7,15020,0,53.1,29.6,14466,166.7,114.1,9282,11688,0.248,0.546,0.207,0.43,0.336,0.131,0.565,0.725,70.86,21.9,0.15,36.61,0.25
51041,37.3,415421,3.1,59,36.4,404049,119.5,102.4,70069,209274,0.24,0.5,0.221,0.492,0.318,0.076,0.538,0.745,139.17,25.7,0.23,12.93,1
51043,47,22917,0,40.7,32.9,22519,71.3,0,2559,12101,0.234,0.433,0.235,0.439,0.219,0.127,0.484,0.651,121.28,24.8,0.19,8.79,0.23
51045,8.4,9652,0,17.4,29.3,9790,36.5,0,23,4372,0.283,0.607,0.216,0.43,0.316,0.162,0.516,0.639,97.21,20.9,0.18,0,0.16
51047,28,51095,0,42.9,40.5,50323,85.7,42.2,15054,27791,0.164,0.474,0.235,0.393,0.308,0.127,0.484,0.736,115.69,21.9,0.23,17.23,0.65
51049,0,9147,0,63.6,11.1,8900,111.9,38.8,6251,7825,0.24,0.5,0.221,0.43,0.333,0.133,0.515,0.704,88.96,25.7,0.23,38.55,0.9
51051,30.7,34604,3.1,45.8,20.7,32897,114.8,0,253,17620,0.24,0.532,0.314,0.483,0.367,0.2,0.493,0.533,64.45,20.5,0.14,0.28,0.15
51053,35.9,29969,3.5,59.4,29.7,29909,113.5,44.1,20035,20960,0.248,0.494,0.221,0.445,0.393,0.141,0.538,0.745,97.12,24.3,0.19,35.68,0.93
51057,26.9,11180,0,42.4,14.4,10132,80.4,125.2,6997,8689,0.243,0.5,0.254,0.449,0.348,0.161,0.543,0.745,99.8,26.8,0.19,37.65,0.52
51061,35.4,91821,3.2,46.8,35.5,92322,89.8,53.2,13421,48741,0.164,0.423,0.23,0.393,0.264,0.104,0.511,0.704,139.39,18.7,0.25,11.1,1.37
51063,15.2,25436,3.4,26.5,20.2,25092,77.2,0,715,12005,0.289,0.569,0.252,0.452,0.316,0.138,0.516,0.707,87.53,21.5,0.18,2.44,0.27
51065,41.5,27216,6.4,31.7,38.4,27057,77.6,25.4,9631,12429,0.24,0.506,0.221,0.459,0.318,0.105,0.456,0.745,113.83,20.6,0.19,22.92,0.52
51067,25.6,78260,2.5,26.1,30.2,76566,61.4,36.2,10427,39549,0.283,0.569,0.216,0.446,0.341,0.114,0.557,0.639,98.81,21.5,0.19,10.79,0.18
51069,32.2,106655,1.9,45.9,44.5,106913,105.1,280.6,2692,45723,0.232,0.508,0.223,0.439,0.323,0.127,0.503,0.602,116.74,23.4,0.19,1.73,0.66
51071,38.7,32555,0,49.4,30.9,30913,84.1,0,739,16366,0.306,0.607,0.241,0.466,0.316,0.138,0.493,0.639,96.87,22.2,0.19,1.61,0.28
51073,38.5,59688,1.9,46.3,29.2,59374,145.5,65.7,8228,30131,0.183,0.51,0.231,0.49,0.332,0.128,0.482,0.727,119.39,22.8,0.19,11,0.97
51075,31.1,22951,3.7,24.3,13.4,22647,81.3,92.4,10609,14163,0.243,0.536,0.221,0.445,0.318,0.079,0.376,0.746,117.12,21.9,0.19,29.83,0.3
51077,31.9,32223,0,31.6,20.5,30850,75.9,0,1021,16278,0.291,0.603,0.274,0.46,0.318,0.138,0.468,0.617,78.02,20.1,0.18,3.2,0.3
51079,25.2,25388,5.5,37.8,18.3,25195,56.9,0,1961,10297,0.221,0.5,0.206,0.448,0.323,0.127,0.478,0.704,105.61,18.8,0.19,6.46,0.47
51081,9.5,6985,0,56.7,14.9,9313,168.4,14.1,16773,8853,0.275,0.5,0.224,0.488,0.393,0.132,0.515,0.746,81.1,24.6,0.19,55.87,0.28
51085,22.8,144327,2.5,48.8,30.8,138478,97.5,41.4,18411,63306,0.237,0.5,0.236,0.445,0.325,0.076,0.538,0.746,133.46,18.7,0.19,9.85,0.52
51087,23.5,382530,2.3,48.1,32,335968,94.1,138.3,98271,217881,0.237,0.486,0.254,0.445,0.333,0.075,0.602,0.746,126.71,20.6,0.15,20.15,1.01
51091,31.5,5063,0,24.2,36,4986,54.2,74.07001355,0,2635,0.249,0.514,0.242,0.448,0.346,0.138,0.516,0.602,87.72,24.4,0.15,0,0.26
51093,38.3,37312,0,36.7,45.5,37105,90.6,88.3,18735,25053,0.288,0.494,0.236,0.414,0.345,0.139,0.506,0.712,106.54,24.6,0.17,31.65,0.43
51097,12.5,7006,15.7,21.4,18.8,6870,162.4,130.5,5618,6289,0.248,0.553,0.254,0.49,0.325,0.139,0.516,0.746,94.65,26.5,0.19,41.78,0.04
51099,25,25558,0,77.6,42.5,25993,94.2,0,7351,13527,0.243,0.513,0.23,0.393,0.276,0.111,0.516,0.73,122.18,25.8,0.23,20.02,0.77
51101,17,16489,4.9,22.5,38.9,15956,64.8,85.1,7877,10913,0.237,0.553,0.229,0.445,0.325,0.155,0.538,0.742,111.78,24,0.19,30.31,0.14
51103,36.4,16166,0,53.7,36.6,14245,61.2,85.1,6853,10896,0.285,0.553,0.231,0.463,0.348,0.139,0.446,0.712,103.16,24.6,0.2,30.35,0.8
51105,27.9,49394,3.9,59.7,30.5,45543,111.6,0,432,24496,0.253,0.534,0.313,0.459,0.37,0.227,0.528,0.538,60.69,20.5,0.17,0.22,0.54
51107,25.6,246755,1.5,42.3,29.1,245749,72.7,78.4,22310,86129,0.226,0.48,0.223,0.439,0.281,0.083,0.507,0.736,156.6,22.1,0.22,7.3,2.46
51109,25.1,34300,9,38.6,12,33936,110.5,67.3,13687,20325,0.213,0.474,0.235,0.479,0.333,0.104,0.538,0.704,98.05,21.9,0.22,25.74,0.45
51111,42.1,13354,6.4,16.1,37.8,13519,130.6,128.4,11677,11419,0.274,0.5,0.254,0.492,0.327,0.118,0.515,0.745,79.03,24.6,0.19,37.77,0.32
51113,26.6,21001,4,26.1,41.1,20676,49.2,156.1,3930,11949,0.242,0.5,0.235,0.479,0.323,0.127,0.668,0.71,99,23.2,0.19,14.2,0.46
51115,41,15763,16.4,51.4,35,14849,97.3,30,2616,8348,0.279,0.523,0.231,0.49,0.292,0.107,0.482,0.712,109.56,26.4,0.19,14.07,0.92
51117,27.1,37004,6.5,59.2,21.3,34945,69.6,73.4,24854,29241,0.248,0.5,0.221,0.474,0.393,0.115,0.538,0.739,85.7,21.9,0.19,38.35,0.18
51119,8.4,14415,0,26.2,8.2,13368,98.4,37.1,5093,8653,0.24,0.544,0.254,0.49,0.333,0.129,0.516,0.712,106.9,26.9,0.19,24.7,0.57
51121,21.9,134584,4.3,39.9,28.9,141320,75.4,80.4,6876,73913,0.229,0.415,0.274,0.452,0.247,0.098,0.458,0.566,113.55,20.9,0.18,3.77,0.93
51125,22.2,22126,3.8,52.2,27.8,21388,76.1,47,5721,12778,0.233,0.536,0.251,0.43,0.339,0.136,0.516,0.731,86.68,24.3,0.19,18.82,0.79
51127,26.2,18703,0,72,27.3,18897,118.7,42.5,6045,10445,0.24,0.518,0.254,0.492,0.318,0.155,0.516,0.712,125.02,24.6,0.2,20.49,0.87
51131,33.2,13672,0,62.8,37.2,12341,75.1,90.3,11195,13061,0.279,0.504,0.231,0.49,0.362,0.139,0.482,0.712,74.42,21.7,0.19,46.32,2.24
51133,21.5,16144,0,61,28.4,14886,110.4,38.6,6623,10524,0.285,0.544,0.231,0.456,0.351,0.129,0.543,0.712,98.54,25.2,0.19,29.28,0.1
51135,30.8,16666,2.6,30.8,38.1,16478,136.3,91.6,14389,14993,0.24,0.5,0.221,0.492,0.393,0.141,0.538,0.745,88.37,24.6,0.15,41.43,0.51
51137,37.4,42388,3.4,41.2,16.2,40867,84.4,60.2,8220,21421,0.242,0.513,0.236,0.479,0.333,0.127,0.511,0.704,114.36,23.9,0.2,14.34,1.03
51139,34.6,45477,0,32.1,37.1,43464,97.2,0,1233,21690,0.242,0.506,0.235,0.425,0.323,0.127,0.511,0.649,94.16,21.9,0.21,2.02,0.41
51141,30.1,34020,4,32.8,16.6,32849,93.7,120.9,3064,17473,0.283,0.569,0.222,0.446,0.316,0.114,0.588,0.72,85.9,21.5,0.32,7.14,0.29
51143,22.5,79976,4.7,22.3,17.2,77843,103,70.4,32852,55655,0.278,0.569,0.229,0.409,0.341,0.115,0.557,0.639,91.84,21.7,0.19,26.82,0.32
51145,18.8,30600,0,45.8,27.6,34061,121.4,20.4,12573,15328,0.237,0.495,0.221,0.43,0.333,0.081,0.468,0.736,120.89,22.1,0.19,21.47,0.24
51147,16.2,23442,2,33.3,22.3,22008,106.9,118.8,14295,17320,0.248,0.536,0.24,0.505,0.393,0.104,0.468,0.704,90.51,20.6,0.19,35.92,1.09
51149,61.7,34966,0,65.9,44.1,39549,164.4,71.2,20009,27394,0.24,0.5,0.236,0.466,0.333,0.104,0.45,0.745,117.34,22.1,0.19,29.1,3.58
51155,27.6,65997,4.2,41.2,27.9,61589,91.4,102.4,5049,34496,0.306,0.603,0.216,0.466,0.338,0.138,0.468,0.617,95.1,20.9,0.18,5.81,0.21
51157,12.1,13109,0,24.8,13.1,13296,68.4,0,1680,6622,0.221,0.506,0.236,0.479,0.294,0.127,0.511,0.649,105.52,21.9,0.19,7.47,0.7
51159,18.5,10140,0,39.6,14.2,10664,109.2,24.4,8707,7273,0.273,0.544,0.229,0.449,0.332,0.129,0.536,0.727,88.62,25,0.19,29.83,0.53
51161,26.2,164453,1.6,38.4,27.4,147168,76.8,28.3,4640,79332,0.311,0.607,0.153,0.364,0.291,0.143,0.236,0.493,114.41,18.2,0.23,2.66,0.45
51163,39.4,36899,0,32.4,34.3,36649,80.4,0,1436,18350,0.22,0.536,0.216,0.43,0.341,0.138,0.376,0.639,98.07,23.2,0.19,2.62,0.22
51167,24.3,58258,3,40.6,26.5,55914,113.7,0,875,28667,0.308,0.601,0.314,0.483,0.372,0.189,0.386,0.612,72.64,20.1,0.14,0.64,0.16
51169,29.4,46504,2,43.2,30.2,43396,119.7,0,402,23204,0.253,0.534,0.278,0.491,0.328,0.18,0.386,0.533,70.53,20.9,0.17,0.5,0.2
51171,24.2,69594,1.8,33.5,27.9,65285,80.6,0,903,31636,0.221,0.5,0.223,0.43,0.367,0.12,0.507,0.704,105.2,24,0.2,1.24,0.87
51173,30.4,66891,7.1,43.3,23.2,60993,112.2,0,1494,32370,0.306,0.603,0.254,0.473,0.326,0.129,0.387,0.628,84.87,20.9,0.19,1.92,0.2
51175,40.4,16790,0,33.6,24.2,18509,93.7,75.6,18943,17550,0.237,0.494,0.231,0.423,0.393,0.141,0.506,0.692,86.4,25.7,0.17,44.87,1.16
51181,29.4,5281,11.4,22.3,66.9,5165,172.5,95.8,7189,6145,0.24,0.5,0.265,0.49,0.351,0.135,0.515,0.746,89.16,25.7,0.19,55.5,0.3
51183,48.8,7858,6,24.3,28.5,8465,116,90.1,12592,10248,0.269,0.516,0.265,0.409,0.393,0.124,0.516,0.745,78.21,25.7,0.19,58.26,0.13
51185,33.6,92727,1.7,43.1,33,86369,112.6,39.1,2938,45960,0.275,0.601,0.241,0.46,0.385,0.173,0.482,0.644,86.77,23.2,0.13,2.59,0.1
51187,48.2,57229,3.6,56.2,56.7,55492,124.3,0,3462,26142,0.164,0.508,0.235,0.452,0.298,0.127,0.507,0.736,112.97,23.4,0.19,4.55,1.02
51191,30.7,99478,4.1,46.9,19.4,94110,116.1,0,1715,45887,0.291,0.532,0.279,0.483,0.367,0.155,0.386,0.533,93.5,20.1,0.19,1.3,0.14
51193,9.8,21177,0,53.7,13,20071,119.2,95,11125,15480,0.209,0.433,0.172,0.393,0.337,0.111,0.543,0.736,96.63,26,0.25,33.1,0.4
51195,35.9,79189,4.4,43.9,51.5,74258,140.6,0,2260,39573,0.24,0.532,0.297,0.483,0.385,0.164,0.528,0.552,82.16,20.5,0.21,1.71,0.36
51197,28.7,52573,1.1,32.5,46.1,47845,102.5,58.7,1933,25466,0.275,0.555,0.241,0.46,0.338,0.129,0.528,0.67,89.53,20.9,0.18,4.06,0.69
51520,34,35500,1,55.3,52.5,27992,96.2,0,2023,18426,0.289,0.54,0.284,0.451,0.318,0.166,0.528,0.533,93.5,23.1,0.19,5.86,0.36
51530,11.4,13476,14,41.3,27.3,11231,93.6,77.5,606,6406,0.233,0.506,0.216,0.425,0.341,0.143,0.376,0.639,98.07,20.1,0.19,4.4,0
51540,32.3,57765,2.1,46.5,25.8,51105,63.4,74.2,16031,40341,0.233,0.5,0.236,0.43,0.314,0.103,0.376,0.704,132.87,20.1,0.19,21.37,0.95
51550,32,267200,0,54.8,31.6,263280,110.7,86.8,116019,151976,0.183,0.494,0.262,0.414,0.373,0.139,0.506,0.768,127.01,22.8,0.17,27.4,1.03
51560,17.4,7893,0,80.8,22,6346,42.2,70.5,1337,4679,0.311,0.607,0.216,0.466,0.341,0.138,0.516,0.678,101.42,24.3,0.19,14.85,0.29
51570,33.6,33292,3.6,50.8,43.3,29186,101.1,0,298,16064,0.269,0.494,0.254,0.492,0.325,0.141,0.538,0.746,139.17,25.7,0.19,0.36,1.23
51590,23.5,67814,1.4,38.7,35.3,56721,93.8,45.7,37046,53056,0.285,0.538,0.229,0.43,0.33,0.131,0.588,0.72,91.84,21.5,0.19,36.78,0.35
51595,35,6292,0,27.1,33.5,5415,101,87.2,5471,5306,0.275,0.516,0.224,0.409,0.393,0.141,0.516,0.712,81.1,24.6,0.19,45.94,0.49
51620,29.3,8383,0,39.8,45.9,7461,116.2,183.7,7973,7864,0.277,0.496,0.218,0.445,0.38,0.139,0.506,0.712,86.4,24.6,0.18,53.22,0.21
51640,16.7,13574,4.1,45.2,43.4,11146,105.8,0,791,6670,0.289,0.538,0.229,0.446,0.33,0.109,0.516,0.672,78.02,20.9,0.19,6.02,1.1
