fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
50001,34.2,68650,2.9,46.3,43.2,69253,55,0,341,32953,0.232,0.546,0.221,0.497,0.304,0.125,0.512,0.658,121.94,24.6,0.27,0.41,0.56
50003,27.7,73286,1.9,34.5,33.7,69300,81,0,257,35845,0.233,0.554,0.208,0.509,0.314,0.103,0.589,0.7,118.73,24.9,0.25,0.4,0.41
50005,28.5,57677,1.3,27.6,39,56032,68.8,0,157,27846,0.242,0.546,0.208,0.484,0.324,0.15,0.512,0.698,110.96,24.6,0.25,0.26,0.37
50007,24.3,283842,1.1,44.7,30.9,268811,86.1,356.8,2976,131761,0.244,0.546,0.19,0.463,0.255,0.095,0.512,0.695,137.87,22.7,0.3,0.79,0.98
50009,30.8,13201,14.2,42.3,74.9,12828,113.5,0,71,6405,0.26,0.568,0.215,0.484,0.324,0.129,0.512,0.687,94.26,26.2,0.27,0.23,0.56
50011,29.4,86451,4.8,36.1,32.3,85269,90.3,0,345,39980,0.266,0.578,0.22,0.502,0.337,0.162,0.512,0.687,114.4,26.2,0.27,0.06,0.46
50013,8.4,12100,0,57,35.8,12397,66,0,76,5318,0.266,0.578,0.216,0.502,0.324,0.162,0.512,0.657,119.33,26.2,0.27,0.22,0.43
50015,37.7,42622,0,45.2,35.4,42826,75,0,127,19735,0.242,0.546,0.208,0.502,0.291,0.162,0.512,0.687,116.71,26.2,0.25,0.15,0.52
50017,32.4,54666,9.1,37.4,38.8,55300,92.5,0,155,26149,0.244,0.568,0.216,0.487,0.304,0.136,0.657,0.687,117.2,24.6,0.25,0.14,0.39
50019,37.8,50566,0,50.2,35.7,49731,72.4,0,152,24053,0.262,0.578,0.215,0.481,0.324,0.162,0.512,0.687,101.31,24.7,0.27,0.13,0.4
50021,27.4,127074,7,39.3,36.1,120637,99.4,0,531,62142,0.235,0.546,0.227,0.509,0.305,0.125,0.582,0.678,120.27,25.1,0.24,0.19,0.45
50023,29.1,113105,3.4,42.8,25.5,109462,91.1,0,519,54928,0.244,0.568,0.215,0.481,0.304,0.115,0.512,0.687,123.85,25.1,0.25,0.48,1.34
50025,29.7,85298,3.2,50.9,33.7,82489,92,0,461,41588,0.232,0.546,0.201,0.509,0.291,0.107,0.543,0.678,120.77,24.6,0.25,0.32,0.69
50027,25.2,110881,3.9,40.9,34.7,107355,67.6,0,403,54055,0.242,0.554,0.208,0.49,0.301,0.116,0.592,0.678,123.43,24.4,0.25,0.2,0.5
