fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
53001,5.2,29731,0,62.6,48.3,30330,57.4,0,78,13603,0.24,0.529,0.198,0.455,0.323,0.131,0.524,0.654,94.81,21.1,0.21,0.19,31.97
53003,14.2,42723,7.3,41.5,30,39260,73.9,0,136,17605,0.207,0.529,0.243,0.459,0.323,0.161,0.579,0.654,106.18,19.1,0.21,0.29,1.56
53005,28.7,259756,1.2,40,31.2,257465,69.7,73.9,3121,112560,0.207,0.432,0.198,0.455,0.318,0.105,0.507,0.665,123.34,21.1,0.31,0.85,7.64
53007,29.2,116577,1.6,57.6,41.5,117254,83.2,0,324,52250,0.228,0.534,0.196,0.475,0.31,0.11,0.583,0.7,109.06,19.4,0.26,0.16,8.78
53009,23.7,119066,3.4,45.9,30.6,118577,76.1,0,1410,56464,0.2,0.507,0.182,0.461,0.274,0.106,0.545853,0.7,114.44,19.4,0.29,0.59,1.75
53011,24.2,609397,1.9,49.7,31.5,601905,77.9,0,10258,238053,0.237,0.534,0.215,0.49,0.328,0.11,0.532,0.701,125.02,20.4,0.25,1.15,2.38
53013,24,8286,0,60.3,32.8,8263,122.7,0,1,4024,0.207,0.529,0.225,0.459,0.343,0.155,0.507,0.654,94.37,21.1,0.24,0,11.9
53015,27.4,175325,2.9,53.2,24.4,173600,86.3,0,761,82119,0.207,0.507,0.182,0.461,0.334,0.106,0.524,0.7,112.32,19.4,0.25,0.29,1.99
53017,24.2,64261,4.9,33.6,18.5,65966,50.7,0,190,26205,0.237,0.534,0.243,0.459,0.328,0.131,0.524,0.687,109.17,19.1,0.24,0.15,10.71
53019,7.3,11005,0,38,27.2,12244,82.5,0,63,6295,0.229,0.529,0.243,0.459,0.323,0.19,0.579,0.687,83.04,19.1,0.21,0.11,1.71
53021,19.6,81450,0,48.6,48.2,87967,82.9,54,3723,37473,0.207,0.529,0.243,0.459,0.323,0.131,0.579,0.654,95.92,21.1,0.24,3.21,30.12
53023,80.1,4682,0,28.5,18,4479,95.8,0,1,2248,0.24,0.529,0.198,0.459,0.323,0.131,0.579,0.654,110.64,21.1,0.2,0,0
53025,21.3,130726,1.5,41.1,26.6,136422,61,0,2060,54758,0.2,0.507,0.182,0.436,0.328,0.11,0.583,0.654,98.12,19.4,0.24,0.94,16.95
53027,25.2,126833,6.1,71.8,31.5,127173,104.5,0,408,64175,0.229,0.534,0.215,0.466,0.328,0.141,0.545853,0.694,103.39,19.1,0.25,0.07,1.98
53029,30.7,126499,4.2,43.5,21.4,132676,52.8,0,3573,60195,0.229,0.534,0.224,0.498,0.328,0.11,0.577,0.687,128.98,20.2,0.26,2.57,3.08
53031,30.4,49238,7,51.9,47.9,49591,69.9,0,559,20146,0.228,0.532,0.215,0.492,0.323,0.106,0.541,0.7,113.64,19.4,0.29,0.28,1.1
53033,28.3,2739784,2,45,30.4,2676709,63.9,74.1,193942,1507319,0.2,0.507,0.182,0.436,0.274,0.106,0.583,0.7,140.53,19.4,0.29,4.97,2.79
53035,29.4,406397,2.1,51.1,28.7,424165,76.7,72,14708,189731,0.2,0.534,0.182,0.444,0.323,0.106,0.577,0.7,127.69,19.4,0.29,2.58,3.13
53037,15.9,60339,1.5,41.8,28.6,60445,80.4,0,456,26725,0.228,0.534,0.203,0.436,0.323,0.12,0.583,0.7,109.38,19.4,0.23,0.38,2.74
53039,39.3,35620,8.5,26.4,43,37063,92.4,74.07001355,121,16616,0.2,0.523,0.242,0.457,0.309,0.12,0.524,0.665,97.97,20.3,0.23,0.13,6.25
53041,25.3,133598,1.8,57,34.3,130833,84.8,0,715,59358,0.228,0.507,0.198,0.436,0.29,0.106,0.583,0.7,107.23,19.3,0.22,0.49,1.9
53043,37.2,18882,0,20.7,14.4,19035,72.3,0,24,8864,0.24,0.529,0.226,0.459,0.323,0.131,0.579,0.716,109.45,19.1,0.21,0,0.92
53045,17.1,89473,2.1,61.7,23.7,95388,86.9,0,1948,38341,0.229,0.534,0.213,0.492,0.328,0.11,0.524,0.682,112.46,19.4,0.27,0.82,2.42
53047,14.6,65479,2.9,45,31.9,68070,83.3,0,204,33350,0.229,0.534,0.224,0.511,0.328,0.163,0.517,0.682,89.59,20.2,0.24,0.1,8.41
53049,24.9,39405,3.7,41.1,23.6,38676,77.9,0,231,18882,0.237,0.606,0.215,0.466,0.322,0.159,0.545853,0.685,101.14,19.1,0.25,0.51,2.33
53051,23.3,22073,4.1,59.8,13.6,22061,62.9,0,29,8915,0.215,0.506,0.206,0.499,0.328,0.19,0.461,0.654,92.31,18.5,0.19,0.26,1.15
53053,25.6,1124972,1.8,49.8,30.3,1123333,82.8,70.2,113392,586203,0.228,0.534,0.249,0.498,0.334,0.12,0.524,0.687,124.05,19.4,0.22,7.21,3.31
53055,28.6,24313,2.4,36.3,19.5,24109,47.7,0,106,10035,0.216,0.576,0.224,0.461,0.323,0.126,0.545853,0.7,132.45,20.2,0.31,0.19,0.97
53057,25.2,190042,2.8,46.5,23.4,187091,66.5,0,959,79555,0.228,0.576,0.214,0.461,0.325,0.134,0.532,0.695,118.76,19.4,0.28,0.23,5.23
53059,33.4,18088,5.4,81.2,47,19268,47.7,0,17,8289,0.228,0.534,0.213,0.492,0.309,0.12,0.531,0.687,106.97,20.3,0.25,0,1.55
53061,27.4,1056217,1.7,47.4,29.7,1063497,75.7,13.3,16795,465642,0.229,0.534,0.234,0.511,0.328,0.11,0.513,0.682,136.13,20.2,0.24,0.95,2.03
53063,28.8,783349,2.1,45.1,30.1,750768,74.2,47.2,15406,361364,0.24,0.529,0.243,0.459,0.323,0.131,0.579,0.729,118.43,19.1,0.21,1.4,1.61
53065,25.2,72584,0,36.1,28.5,73691,63.6,0,285,30948,0.229,0.534,0.226,0.499,0.328,0.19,0.517,0.654,102.05,19.4,0.24,0.28,1.68
53067,25.6,373471,3.3,55,31.4,359387,80.2,162.2,9575,161238,0.229,0.534,0.215,0.461,0.328,0.11,0.524,0.682,128.13,19.1,0.28,1.68,2.65
53069,47.4,7470,0,35.7,21.4,7449,75.5,0,13,3327,0.2,0.532,0.224,0.486,0.322,0.159,0.583,0.7,105.38,19.4,0.25,0.39,2.16
53071,23.5,100999,1.1,46.3,29.5,102803,68.3,158.9,3497,48439,0.207,0.502,0.203,0.455,0.323,0.131,0.507,0.654,111.66,21,0.23,1.41,9.83
