fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
55001,25.9,33834,3.8,37.2,24.6,36532,99.6,0,1761,15682,0.196,0.547,0.214,0.456,0.351,0.105,0.523,0.569,96.19,22.4,0.17,2.38,2.23
55003,15.3,29973,3.5,30.4,37.5,29122,41.9,0,135,16307,0.229,0.527,0.246,0.499,0.361,0.09,0.523,0.634,96.7,20.2,0.22,0.09,0.64
55005,23.5,86969,3.5,38.3,28.4,85811,68.4,0,203,40750,0.268,0.528,0.221,0.433,0.357,0.095,0.523,0.593,103.16,21.5,0.24,0.09,0.36
55007,48.6,26939,2.3,54.8,22.6,27817,75.6,0,113,14008,0.229,0.529,0.227,0.49,0.361,0.092,0.523,0.612,100.06,21.9,0.22,0.17,0.3
55009,31.5,419727,1.8,31,28.6,398649,67.7,74.07001355,3875,194594,0.21,0.437,0.201,0.452,0.329,0.092,0.548,0.698,122.65,22.6,0.13,0.52,0.75
55011,21.3,27935,4.6,17.4,52.7,28581,83.5,0,60,13584,0.212,0.497,0.182,0.391,0.373,0.076,0.523,0.604,102.9,22,0.19,0,0.27
55013,23.6,28035,4.3,42.3,38.7,27619,68.4,0,146,13084,0.258,0.527,0.194,0.414,0.315,0.083,0.531,0.691,95.15,22,0.24,0.13,0.22
55015,34.6,75484,1.4,25.5,59,75464,62.4,0,132,34291,0.252,0.568,0.23,0.467,0.341,0.088,0.597,0.664,119.13,21.9,0.13,0.14,0.39
55017,29.8,108609,3,35.7,28.5,106376,65.3,0,130,52360,0.198,0.506,0.247,0.484,0.353,0.095,0.568,0.593,107.8,22,0.26,0.05,0.31
55019,35.6,65311,0,25.7,35.2,66298,26.4,0,102,31647,0.207,0.529,0.253,0.484,0.373,0.092,0.523,0.569,95.57,21.9,0.26,0.08,0.34
55021,30.3,100693,2.5,40.8,24.6,99688,76,0,1453,45088,0.276,0.579,0.214,0.456,0.35,0.078,0.523,0.586,116.14,20.4,0.31,0.55,0.9
55023,31.9,32864,3.2,45.9,28.8,32590,33.4,0,106,15940,0.183,0.476,0.232,0.456,0.373,0.108,0.461,0.599,98.47,23.5,0.18,0.37,0.4
55025,23.2,800064,1.8,33.4,30.4,769814,52.9,0,31982,367085,0.196,0.501,0.214,0.456,0.264,0.067,0.555,0.724,134.91,17.1,0.31,2.83,1.41
55027,31,158545,1.9,32.4,33.8,164388,78.7,0,6306,76559,0.256,0.544,0.238,0.467,0.341,0.081,0.576,0.664,112.81,22.4,0.18,1.38,1.05
55029,28.5,53919,2,23.6,37.3,52644,54.5,0,134,25690,0.245,0.542,0.199,0.467,0.364,0.099,0.555,0.664,114.04,19.3,0.29,0.04,0.42
55031,30.9,84784,5.7,42.4,37.2,81123,94.6,0,540,41758,0.227,0.527,0.23,0.484,0.361,0.095,0.531,0.612,105.24,22,0.22,0.33,0.37
