fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
54001,28.8,32753,0,44,35.1,30411,84.8,0,289,15699,0.252,0.536,0.223,0.439,0.357,0.179,0.466,0.632,72.85,24.4,0.16,0.59,0.68
54003,28.4,135395,4.3,40.4,26.7,132632,115.9,240.2,5708,59253,0.219,0.518,0.223,0.439,0.367,0.127,0.507,0.704,106.53,23.4,0.21,3.84,0.42
54005,16.6,53269,13.7,65.7,48.7,50595,131.2,223,481,25870,0.308,0.593,0.275,0.483,0.385,0.19,0.464,0.612,75.57,24.4,0.13,0.91,0.22
54007,33.5,27000,16.1,63.6,24.2,25775,98.8,0,128,12998,0.25,0.532,0.268,0.46,0.36,0.147,0.493,0.653,70.98,24.4,0.14,0.4,0.2
54009,29,53817,3.2,45.8,17.4,49522,109.1,1469.3,481,26992,0.263,0.536,0.257,0.452,0.356,0.118,0.562,0.632,107.45,24.4,0.2,1,0.21
54011,33.2,191425,5.1,53.6,36.5,168566,105.7,124.5,7623,96827,0.308,0.619,0.256,0.423,0.344,0.158,0.534,0.663,103.68,23.6,0.21,3.93,0.24
54013,35.9,15972,0,42.8,23.6,15601,116.3,74.07001355,0,7885,0.29,0.545,0.231,0.444,0.369,0.179,0.493,0.632,52.64,24.4,0.13,0,0.03
54015,36.5,21102,5.2,43.9,33.3,20651,118,0,16,9983,0.306,0.575,0.268,0.471,0.356,0.179,0.518,0.648,44.05,24,0.14,0,0.38
54017,13.2,14752,0,49.7,24.4,14720,95.7,0,6,6994,0.263,0.537,0.257,0.46,0.373,0.172,0.508,0.628,76.55,24.4,0.14,0,0.1
54019,34.8,92475,5.4,51,30.1,86720,99.6,92.8,6101,47952,0.267,0.532,0.268,0.46,0.376,0.179,0.493,0.648,77.95,22.2,0.14,6.45,0.37
54021,37.5,14236,0,50.9,26.8,14138,138.5,0,92,7669,0.25,0.53,0.268,0.46,0.354,0.179,0.518,0.655,63.86,24.4,0.13,0.32,0.18
54023,22.5,22136,4.4,28.2,36.7,21710,26.9,0,236,10428,0.234,0.491,0.223,0.439,0.37,0.146,0.507,0.628,85.8,23.2,0.17,0.94,0.18
54025,23.3,70659,2,60.6,26,65311,93.2,307.1,2610,34693,0.229,0.532,0.22,0.46,0.358,0.179,0.493,0.639,89.36,21.5,0.19,3.75,0.28
54027,28,37994,6.5,53.5,28.3,37270,87.4,0,246,16498,0.232,0.5,0.223,0.452,0.367,0.138,0.45,0.58,82.41,24,0.19,0.88,0.32
