fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
56001,27.8,54461,0,35.2,40.2,58880,29.4,387.7,676,30797,0.233,0.517,0.218,0.472,0.266,0.145,0.544,0.702,120.16,19.4,0.14,0.62,6.37
56003,23.7,22125,0,36.5,27,22375,76.5,74.07001355,0,10525,0.211,0.502,0.228,0.478,0.321,0.161,0.639,0.761,103.77,20,0.14,0,5.06
56005,38.5,61836,6.5,50.2,38,64768,81.8,0,171,29370,0.252,0.538,0.22,0.48,0.304,0.164,0.639,0.787,123.75,25.6,0.18,0.06,2.71
56007,37.1,28513,0,45.9,15.1,32509,56.7,0,370,16659,0.267,0.534,0.228,0.467,0.33,0.159,0.532,0.702,111.71,19.4,0.14,0.54,13.87
56009,8.9,24444,0,32.2,10.1,23859,92.1,0,57,11128,0.252,0.534,0.214,0.417,0.304,0.164,0.639,0.755,110.19,20,0.14,0.04,4.07
56011,21.9,11392,0,40.4,22.9,11596,53.4,0,6,5294,0.252,0.53,0.214,0.417,0.33,0.144,0.639,0.787,105.35,20.6,0.19,0,0.3
56013,30,58080,4.6,41.3,36,57931,77.7,0,162,33662,0.237,0.55,0.237,0.485,0.321,0.175,0.61,0.761,101.59,19.4,0.15,0.05,3.48
56015,12.2,25982,0,28.1,19.5,24595,70.2,0,91,12373,0.222,0.574,0.214,0.417,0.315,0.159,0.544,0.714,102.32,19.9,0.19,0.17,8.71
56017,10,9136,0,26.1,22,8879,62.5,0,39,4809,0.237,0.55,0.209,0.485,0.33,0.161,0.639,0.656,108.44,20,0.14,0.18,1.64
56019,5.4,13568,5.3,39.4,45.4,13255,96.3,0,2,6145,0.211,0.502,0.209,0.466,0.289,0.161,0.315,0.656,110.65,20,0.14,0,1.8
56021,31.2,148990,1.9,34.6,42.6,148807,62.9,198.2,4885,73142,0.233,0.538,0.234,0.434,0.315,0.136,0.544,0.723,121.28,19.9,0.19,2.97,9.77
56023,33.8,26732,3.6,7.8,19.4,28224,46.9,0,77,12625,0.187,0.403,0.204,0.366,0.3,0.161,0.639,0.691,113.36,16.3,0.12,0.09,1.71
56025,32.6,126021,3.1,53.7,48.1,121778,67.8,310.2,1061,61226,0.252,0.55,0.247,0.485,0.33,0.184,0.639,0.825,117.27,19.2,0.14,0.58,3.5
56027,57.9,5597,0,38.7,100.3,4907,71.9,74.07001355,0,2499,0.222,0.517,0.209,0.417,0.33,0.159,0.544,0.718,101.63,19.7,0.14,0.4,2.2
56029,29.2,50849,0,50.4,27.6,49880,52.6,0,65,23178,0.17,0.46,0.204,0.442,0.299,0.159,0.639,0.656,115.94,17.5,0.18,0.18,2.76
56031,4.4,17066,0,22.9,43.1,16986,47.5,0,16,8145,0.196,0.485,0.207,0.467,0.329,0.145,0.629,0.714,104.58,20,0.19,0.03,5.1
56033,24.9,49932,2.7,35.4,41.3,49077,66.3,0,132,23562,0.235,0.534,0.218,0.466,0.33,0.164,0.639,0.755,113.44,20,0.14,0.19,2.37
56035,40.6,10667,0,20.1,111.8,11637,56.7,0,16,4843,0.188,0.54,0.233,0.412,0.295,0.153,0.619,0.669,115.76,18.1,0.13,0,0.9
56037,13.3,76051,0,31.2,34.5,79156,51.7,192.8,632,38823,0.274,0.56,0.319,0.478,0.363,0.161,0.751,0.761,121.3,19.2,0.12,0.66,9.02
56039,46.7,26320,0,42.8,70.9,28788,33.4,0,124,11172,0.188,0.502,0.189,0.412,0.295,0.161,0.639,0.666,134.43,16.7,0.15,0.17,0.98
56041,20.6,39057,3.7,38.7,66.7,40993,67.9,0,93,18705,0.204,0.505,0.189,0.407,0.321,0.124,0.61,0.666,119.94,18.3,0.15,0.02,4.28
56043,46.6,16639,16.1,24.7,13.9,17120,46.3,0,37,8388,0.222,0.547,0.209,0.466,0.326,0.159,0.639,0.656,110.43,20,0.14,0,9.41
56045,12.6,12656,0,50,22.4,12899,101.3,0,26,6518,0.242,0.538,0.234,0.434,0.33,0.145,0.639,0.787,108.93,20,0.14,0.07,0.46
