FIPS,EV,Kerry,Bush,Nader
1,9,32,56,1
2,3,30,57,5
4,10,44,49,0
5,6,45,46,0
6,55,51,43,0
8,9,42,47,3
9,7,47,38,4
10,3,78,11,6
11,3,45,38,1
12,27,47,47,1
13,15,41,51,0
15,4,51,41,4
16,4,30,59,3
17,21,55,39,0
18,11,40,53,0
19,7,47,47,2
20,6,38,57,0
21,8,38,57,0
22,9,44,52,0
23,4,49,47,0
24,10,56,41,0
25,12,50,36,2
26,17,48,40,1
27,10,47,45,1
28,6,42,51,1
29,11,47,49,0
30,3,34,55,0
31,5,30,61,2
32,5,48,47,1
33,4,49,45,2
34,15,44,42,2
35,5,46,47,3
36,31,58,35,0
37,15,45,52,0
38,3,33,62,1
39,20,46,49,0
40,7,30,64,0
41,7,49,44,2
42,21,48,45,0
44,4,56,36,0
45,8,42,55,0
46,3,42,52,0
47,11,39,58,0
48,34,37,60,0
49,5,27,64,4
50,3,53,40,3
51,13,47,50,0
53,11,49,44,2
54,5,44,50,1
55,10,48,47,0
56,3,29,65,2
