,Y2000,Y2001,Y2002,Y2000inThousands,Y2001inThousands,Y2002inThousands,Y2000Log10,Y2001Log10,Y2002Log10
AD,5,1,0,0.005,0.001,0,0.698970004,0,0
AE,436,461,472,0.436,0.461,0.472,2.639486489,2.663700925,2.673941999
AF,1012,1207,1764,1.012,1.207,1.764,3.005180513,3.08170727,3.246498581
AG,431,463,382,0.431,0.463,0.382,2.63447727,2.665580991,2.582063363
AI,27,55,20,0.027,0.055,0.02,1.431363764,1.740362689,1.301029996
AL,4756,4363,3768,4.756,4.363,3.768,3.677241846,3.639785213,3.576110894
AM,1259,1786,1811,1.259,1.786,1.811,3.10002573,3.251881455,3.25791845
AN,53,116,98,0.053,0.116,0.098,1.72427587,2.064457989,1.991226076
AO,88,95,92,0.088,0.095,0.092,1.944482672,1.977723605,1.963787827
AR,2331,3328,3685,2.331,3.328,3.685,3.367542274,3.522183318,3.566437492
AS,7,28,27,0.007,0.028,0.027,0.84509804,1.447158031,1.431363764
AT,409,527,487,0.409,0.527,0.487,2.611723308,2.721810615,2.687528961
AU,2059,2830,2576,2.059,2.83,2.576,3.313656347,3.451786436,3.410945859
AW,25,29,32,0.025,0.029,0.032,1.397940009,1.462397998,1.505149978
AZ,1054,1169,1167,1.054,1.169,1.167,3.022840611,3.067814511,3.067070856
BA,11828,23640,25373,11.828,23.64,25.373,4.072911316,4.373647472,4.404371819
BB,783,910,817,0.783,0.91,0.817,2.893761762,2.959041392,2.912222057
BD,7215,7171,5492,7.215,7.171,5.492,3.858236335,3.855579723,3.739730529
BE,679,818,782,0.679,0.818,0.782,2.831869774,2.912753304,2.893206753
BF,48,68,64,0.048,0.068,0.064,1.681241237,1.832508913,1.806179974
BG,4925,4411,3616,4.925,4.411,3.616,3.692406235,3.644537058,3.558228422
BH,106,119,85,0.106,0.119,0.085,2.025305865,2.075546961,1.929418926
BI,28,79,121,0.028,0.079,0.121,1.447158031,1.897627091,2.08278537
BJ,62,76,137,0.062,0.076,0.137,1.792391689,1.880813592,2.136720567
BM,72,99,110,0.072,0.099,0.11,1.857332496,1.995635195,2.041392685
BN,13,24,30,0.013,0.024,0.03,1.113943352,1.380211242,1.477121255
BO,1772,1826,1670,1.772,1.826,1.67,3.248463718,3.261500773,3.222716471
BR,6959,9505,9474,6.959,9.505,9.474,3.842546836,3.977952121,3.97653338
BS,768,931,811,0.768,0.931,0.811,2.88536122,2.968949681,2.909020854
BY,2207,2909,2928,2.207,2.909,2.928,3.343802333,3.463743721,3.466571072
BZ,760,939,974,0.76,0.939,0.974,2.880813592,2.972665592,2.988558957
CA,16210,21933,19519,16.21,21.933,19.519,4.209783015,4.341098039,4.290457564
CC,0,0,0,0,0,0,0,0,0
CD,124,148,178,0.124,0.148,0.178,2.093421685,2.170261715,2.250420002
CF,4,11,13,0.004,0.011,0.013,0.602059991,1.041392685,1.113943352
CG,191,313,678,0.191,0.313,0.678,2.281033367,2.495544338,2.831229694
CH,1039,1304,1010,1.039,1.304,1.01,3.016615548,3.115277591,3.004321374
CI,439,605,630,0.439,0.605,0.63,2.64246452,2.781755375,2.799340549
CK,3,4,4,0.003,0.004,0.004,0.477121255,0.602059991,0.602059991
CL,1712,1947,1858,1.712,1.947,1.858,3.23350376,3.289365952,3.26904571
CM,865,795,985,0.865,0.795,0.985,2.937016107,2.900367129,2.99343623
CN,45652,56426,61282,45.652,56.426,61.282,4.659459809,4.751479265,4.78733293
CO,14498,16730,18845,14.498,16.73,18.845,4.161308095,4.223495941,4.275196142
CR,1324,1744,1602,1.324,1.744,1.602,3.121887985,3.241546481,3.204662512
CU,20831,27703,28272,20.831,27.703,28.272,4.318710119,4.442526802,4.451356532
CV,1083,872,880,1.083,0.872,0.88,3.034628457,2.940516485,2.944482672
CX,0,0,0,0,0,0,0,0,0
CY,162,218,162,0.162,0.218,0.162,2.209515015,2.338456494,2.209515015
CZ,915,1175,1176,0.915,1.175,1.176,2.961421094,3.070037867,3.070407322
DE,7638,9886,8961,7.638,9.886,8.961,3.882979654,3.995020606,3.952356477
DJ,14,23,30,0.014,0.023,0.03,1.146128036,1.361727836,1.477121255
DK,541,716,614,0.541,0.716,0.614,2.733197265,2.854913022,2.788168371
DM,96,93,148,0.096,0.093,0.148,1.982271233,1.968482949,2.170261715
DO,17536,21313,22604,17.536,21.313,22.604,4.243930537,4.328644585,4.354185299
DZ,907,878,1031,0.907,0.878,1.031,2.957607287,2.943494516,3.013258665
