ID AU
2.4857 -0.1843
2.4592 -0.3026
2.3681 -0.2567
2.3920 -0.2115
2.3192 -0.2012
2.2887 -0.2168
2.2609 -0.2592
2.2174 -0.2391
2.1393 -0.3000
2.1255 -0.3325
2.0532 -0.3559
1.9956 -0.3828
1.9949 -0.4538
2.0314 -0.5512
2.0263 -0.5786
2.0143 -0.5849
2.0152 -0.5978
2.0347 -0.6074
2.0769 -0.6058
2.0944 -0.5892
2.1591 -0.5908
2.1642 -0.5760
2.2005 -0.5620
2.2305 -0.5627
2.2548 -0.5508
2.2932 -0.5529
2.3736 -0.6091
2.4086 -0.5704
2.3944 -0.6114
2.4145 -0.5957
2.4166 -0.6173
2.4492 -0.6582
2.5119 -0.6744
2.5299 -0.6594
2.5606 -0.6763
2.5904 -0.6568
2.6171 -0.6529
2.6911 -0.5027
2.6707 -0.4355
2.5604 -0.3293
2.5379 -0.2592
2.5107 -0.2438
2.4857 -0.1843
ID AU
2.5278 -0.7088
2.5230 -0.7156
2.5508 -0.7573
2.5742 -0.7535
2.5904 -0.7105
2.5592 -0.7159
2.5278 -0.7088
ID AU
2.2749 -0.2068
2.2923 -0.2068
2.3021 -0.1979
2.2982 -0.1935
2.2916 -0.1963
2.2784 -0.1963
2.2749 -0.2068
ID NZ
3.0172 -0.7058
3.0042 -0.7112
3.0088 -0.7189
3.0037 -0.7266
3.0000 -0.7243
2.9887 -0.7404
2.9733 -0.7540
2.9543 -0.7632
2.9409 -0.7653
2.9060 -0.7966
2.9269 -0.8015
2.9510 -0.8116
2.9658 -0.8105
2.9845 -0.7981
2.9878 -0.7742
3.0250 -0.7624
3.0274 -0.7617
3.0189 -0.7564
3.0194 -0.7496
3.0304 -0.7479
3.0480 -0.7280
3.0419 -0.7220
3.0456 -0.7130
3.0374 -0.7072
3.0262 -0.7161
3.0172 -0.7058
ID NZ
3.0161 -0.5993
3.0238 -0.6109
3.0215 -0.6144
3.0437 -0.6351
3.0521 -0.6540
3.0475 -0.6768
3.0363 -0.6807
3.0360 -0.6859
