,Rate1999,Se1999,Lci1999,Uci1999,Cnt1999,Pop1999,Rate2000,Rate2001,Rate2002,Rate2003,Rate2004,Rate2005,Rate2006,Rate2007,Rate2008,Rate2009,Se2009,Lci2009,Uci2009,Cnt2009,Pop2009,HeavyD1999,BingeD1999,HeavyD2009,BingeD2009,HeavyPC,BingePC,rate9909Pc,nonHwhitePc,LBtrend0408,LBtrendLb,LBtrendUb,OverwtPct,OverLb,OverUb
AK,NA,2.1,2.2,11.1,9,0.323513,8.1,5.6,6,11.1,9.7,7.9,9.8,5.6,10,7.6,1.8,4.5,12,24,0.362225,4.8,18.9,6.2,17.9,29.17,-5.29,NA,68.025900098286,2.1,0.6,3.7,69.7,64.3,74.7
AL,7.7,0.7,6.5,9.1,145,2.136882,7.2,7.3,8,7.8,7.6,6.8,7.3,8.7,9.7,9.3,0.6,8.1,10.6,217,2.281612,3.1,11.7,3.9,10.7,25.81,-8.55,20.7792207792208,65.1588536707933,6.9,-2.1,16.7,75.9,73.3,78.4
AR,7.9,0.8,6.4,9.6,96,1.292415,8.4,7.1,6.4,6.6,8.9,8.1,7.7,8.5,8.3,8.8,0.8,7.4,10.5,135,1.4155,2.5,10.3,4.6,11.3,84,9.71,11.3924050632911,57.3168320704548,-0.5,-1.7,0.8,71.6,67.7,75.2
AZ,6.4,0.5,5.3,7.5,143,2.505524,5.7,5.9,7.1,7.1,7.7,7.1,6.2,7.2,7.8,7.5,0.5,6.6,8.5,246,3.306841,4.4,8.8,6,14.9,36.36,69.32,17.1875,75.0921109553721,3.3,2.8,3.7,73.5,70.5,76.3
CA,7.8,0.2,7.3,8.3,1017,16.699043,8.6,8.3,8.4,9.2,9,9.5,9,10,10,10.2,0.3,9.7,10.7,1676,18.505202,3.8489932885906,15.5,6.1,15.8,58.4829991281604,1.94,30.7692307692308,41.6989640942572,3,2.9,3.2,68.2,66.6,69.8
CO,5.4,0.6,4.3,6.7,85,2.12466,4.9,4.9,5.3,7.1,5.5,6.3,6.1,6.5,6.8,8.2,0.6,7,9.5,180,2.531085,4.5,17.2,5.6,16.3,24.44,-5.23,51.8518518518518,70.7083021874928,2.8,2.2,3.4,67.1,64.9,69.3
CT,6.1,0.6,5,7.5,95,1.639253,6.4,6.2,6.4,6.8,7.7,7.7,8.3,5.9,8,8.1,0.7,6.8,9.6,147,1.717636,3.9,14,6.2,19,58.97,35.71,32.7868852459016,73.1923026199106,2.3,1.9,2.8,71.3,68.5,74
DC,10.3,2.1,6.6,15.4,24,0.268416,11.3,8.1,9.6,7.8,9,9,10.9,13.8,14,11.1,2.1,7.4,16,30,0.283063,3.1,13,7.8,20.1,151.61,54.62,7.76699029126212,67.5428923922352,0.6,-0.2,1.4,61.1,58.3,63.9
DE,5.1,1.3,2.9,8.3,17,0.376258,5.4,5.8,8.1,6.9,7.4,8.3,6.8,9.6,9.3,9.7,1.4,7.1,13,47,0.429662,3.9,18.9,5.8,18.5,48.72,-2.12,90.1960784313725,33.5455101833215,2.5,1.5,3.5,71.2,67.5,74.7
FL,6,0.3,5.5,6.5,525,7.685574,6.5,7.1,6.9,7.4,7.4,7.8,7.9,8,8.2,8.6,0.3,8.1,9.2,945,9.123926,3.6,12.8,5.1,13.3,41.67,3.91,43.3333333333333,59.4866622120255,2.5,2,2.9,73.6,71.7,75.5
GA,5.6,0.5,4.8,6.6,157,3.949934,5.3,5.6,6.7,6.4,6,6.9,7.1,7,7,8,0.5,7.1,8.9,335,4.835262,3.1,12.5,4.2,10.5,35.48,-16,42.8571428571429,57.4689362147175,1.9,1.5,2.3,72.9,70,75.7
HI,9.1,1.3,6.8,11.9,53,0.60847,9.3,10,10.9,9.8,11.4,11.1,9.8,9,11.6,11.2,1.3,8.8,14,77,0.654421,5.2,14,6.5,17.1,25,22.14,23.0769230769231,25.0538536015899,1.1,0.5,1.6,66.9,64.2,69.5
IA,4.9,0.6,3.8,6.2,68,1.429411,5.3,4.9,4.5,5.1,5.7,5.4,5.7,5.8,6.6,6.6,0.6,5.4,8,108,1.485609,4.4,18.3,5.3,18.5,20.45,1.09,34.6938775510204,84.5046678065288,2.7,2.2,3.2,74.3,71.5,76.9
ID,5.1,1,3.3,7.3,27,0.638876,6.1,4.1,4.4,4.4,5.4,7.5,6.9,3.9,5.7,4.2,0.7,2.9,5.9,34,0.775918,3.5,14.7,4.6,13,31.43,-11.56,-17.6470588235294,64.5848245396408,3.5,2.5,4.4,71,68.2,73.7
