ID AR
0.53933 1.455831
0.559419 1.457638
0.567963 1.444925
0.541474 1.425529
0.551477 1.41815
0.546314 1.401731
0.536016 1.40562
0.539459 1.391885
0.52449 1.389652
0.535815 1.359137
0.514879 1.341623
0.515808 1.324913
0.501846 1.329387
0.503339 1.312689
0.494651 1.316813
0.493902 1.30772
0.493203 1.306524
0.492321 1.299514
0.495481 1.286914
0.494768 1.276183
0.463915 1.254799
0.47509 1.246649
0.462928 1.240583
0.469248 1.236173
0.469248 1.231133
0.450394 1.223064
0.460604 1.202383
0.446215 1.201368
0.456738 1.191298
0.439833 1.191768
0.448479 1.181347
0.440368 1.176809
0.444058 1.157806
0.455859 1.164969
0.4493 1.148157
0.458378 1.14542
0.44868 1.114662
0.324767 1.109352
0.18171 1.107241
0.180458 1.166679
0.139503 1.175561
0.141026 1.371073
0.129167 1.45109
0.128149 1.457772
0.122656 1.496302
0.372574 1.503477
0.463959 1.509737
0.516836 1.509737
0.527813 1.489021
0.502116 1.453118
ID UT
-1.085511 2.073571
-1.146439 1.62937
-1.239943 1.644997
-1.38826 1.666775
-1.581758 1.701376
-1.519964 2.021142
-1.515471 2.044295
-1.475489 2.250264
-1.366328 2.228263
-1.228758 2.210755
-1.250321 2.097875
-1.164066 2.084544
ID UT
-1.350075 2.144826
-1.325802 2.158136
-1.346667 2.154476
-1.352497 2.167929
-1.365349 2.141669
-1.378798 2.196662
-1.399342 2.195645
-1.407732 2.15693
-1.392742 2.145442
-1.391141 2.117738
-1.373937 2.121277
-1.383429 2.097372
-1.371576 2.110549
-1.363612 2.080264
-1.325161 2.103141
-1.347113 2.142881
ID NM
-0.642553 1.273688
-0.649461 1.195642
-0.663751 1.016051
-0.808173 1.027129
-0.996496 1.047468
-0.991189 1.022966
-1.148009 1.041462
-1.154467 0.991761
-1.233507 1.002225
-1.204653 1.20942
-1.195882 1.272233
-1.146439 1.62937
-0.616738 1.57343
-0.62072 1.517555
-0.629628 1.432982
-0.639007 1.322192
ID CA
-1.733337 1.243136
-1.957152 1.269693
-1.961247 1.337205
-1.970952 1.36107
-2.014176 1.419942
-2.042916 1.427818
-2.046755 1.462794
-2.082062 1.472482
-2.120274 1.520264
-2.205121 1.549768
-2.217124 1.564821
-2.201967 1.630131
-2.218429 1.641583
-2.214423 1.666578
-2.242713 1.714985
-2.276369 1.78517
-2.274698 1.816609
-2.260538 1.819302
-2.251797 1.841258
-2.285467 1.880958
-2.282914 1.959172
-2.253182 1.912751
-2.270313 1.976369
-2.254041 1.984107
-2.262796 1.996569
-2.283447 1.962789
-2.31915 1.994161
-2.306403 2.020342
-2.347982 2.110472
-2.328646 2.211249
-2.35685 2.269318
-2.354476 2.291537
-2.310943 2.346789
-2.287356 2.452791
-1.953551 2.358269
-2.037477 2.033501
-1.675952 1.492074
-1.665509 1.427634
-1.646799 1.401739
-1.690209 1.372968
-1.697615 1.331338
-1.721677 1.307235
-1.724138 1.2834
-1.704354 1.265112
-1.714706 1.243827
ID AZ
-1.204653 1.20942
-1.233507 1.002225
-1.423452 1.030515
-1.620761 1.145012
-1.746865 1.220331
-1.733337 1.243136
-1.714706 1.243827
-1.704354 1.265112
-1.724138 1.2834
-1.721677 1.307235
-1.697615 1.331338
-1.690209 1.372968
-1.646799 1.401739
-1.665509 1.427634
-1.675952 1.492074
-1.662878 1.612672
-1.628182 1.612648
-1.611053 1.596013
-1.581758 1.701376
-1.38826 1.666775
-1.239943 1.644997
-1.146439 1.62937
-1.195882 1.272233
ID NV
-1.519964 2.021142
-1.581758 1.701376
-1.611053 1.596013
-1.628182 1.612648
-1.662878 1.612672
-1.675952 1.492074
-2.037477 2.033501
-1.953551 2.358269
-1.716044 2.300062
-1.475489 2.250264
-1.515471 2.044295
ID OK
0.129167 1.45109
0.141026 1.371073
0.139503 1.175561
0.116986 1.18197
0.070658 1.210857
0.066035 1.201054
0.03644 1.208277
