id, rate,precip,pov,population
1,412.17,38.455,7.6,30570
2,618.2,47.26,5.1,43190
3,516.83,41.41,5.5,58820
4,357.45,48.45,3.6,173450
5,401.98,43.425,5.2,44530
6,536.9,45.105,5.6,89775
7,584,45.185,8.9,58390
8,369.29,38.11,5.2,73925
9,413.61,44.31,4.1,55850
10,419.95,38.76,4.6,78105
11,590.28,44.27,16,11520
12,531.75,43.27,7.8,38740
13,727.77,45.875,13.5,21985
14,430.59,43.28,5.2,77800
15,372.67,37.885,4.4,41055
16,479.83,46.85,5.1,270930
17,481.54,40.91,6.5,40495
18,569.17,50.8,9.4,51830
19,396.2,36.97,5.4,66380
20,414.55,49.695,4.3,202145
21,453.57,35.075,4.2,39465
22,373.71,47.995,4,490220
23,476.88,45.7,3.7,166710
24,505.02,43.63,8.4,43365
25,482.72,38.48,5.1,44125
26,399.71,39.215,7.4,40780
27,655.02,51.24,10.4,16030
28,404.44,45.96,5.5,541735
29,612.16,49.5,9.1,22870
30,605.66,36.645,8,15190
31,487.8,41.96,9.6,29520
32,383.31,50.05,5.9,101745
33,482.14,40.5,4.9,106815
34,573.22,46.265,8.5,38380
35,379.61,41.3,6.8,37670
36,375.59,46.785,4.2,329085
37,615.17,51.45,14.8,14630
38,471.33,41.18,6,33310
39,544.9,40.65,11.4,29730
40,598.39,41.735,8.2,8690
41,354.69,46.38,3.2,205530
42,431.47,38.49,5.7,447535
43,407.61,35.215,3.8,98870
44,405.36,35.295,6,29850
45,639.54,52.53,8.6,29865
46,552.42,43.32,10.9,62815
47,358.58,39.86,5.2,58565
48,418.23,38.865,2.9,87990
49,440.99,38.64,4.4,23810
50,493.51,52.615,11,11550
51,601.31,48.1,16.1,19125
52,356.26,40.76,7.7,20210
53,584.98,52.96,12,12650
54,403.49,35.11,5.4,347465
55,725.89,48.44,12.3,14465
56,438.17,45.075,5.1,103385
57,402.13,41,6.8,92755
58,386.05,38.7,6,36265
59,417.57,47.255,5.5,71125
60,486.25,40.38,11.2,29820
61,335.07,43.81,4,182350
62,472.95,51.38,12.2,13955
63,324.64,33.085,5.5,18790
64,395.24,41.18,4.4,57940
