"","COUNTY","CTYNAME","CENSUS2000POP","ESTIMATESBASE2000","2000","2001","2002","2003","2004","2005","2006","2007"
"22001",22001,"Acadia",470,471,470,1.27659574468085,6.9327731092437,2.55402750491159,2.68199233716475,1.67910447761194,4.95412844036697,0.349650349650350
"22003",22003,"Allen",1020,1020,1040,0.480769230769231,-0.287081339712919,-0.287907869481766,1.05871029836381,-5.23809523809524,10.4522613065327,0.181983621474067
"22005",22005,"Ascension",1726,1726,1742,11.0792192881745,13.0749354005168,7.3583180987203,7.91826309067688,12.1499013806706,11.2557157931762,10.6228264306039
"22007",22007,"Assumption",202,202,208,6.25,7.23981900452489,4.21940928270042,23.0769230769231,2.63157894736842,2.88461538461538,3.42679127725857
"22009",22009,"Avoyelles",315,315,315,5.3968253968254,2.40963855421687,-0.294117647058824,2.06489675516224,2.02312138728324,6.23229461756374,0
"22011",22011,"Beauregard",370,370,372,12.3655913978495,13.3971291866029,2.32067510548523,17.1134020618557,13.7323943661972,9.13312693498452,9.50354609929078
"22013",22013,"Bienville",89,89,92,8.69565217391304,1,9.9009900990099,9.009009009009,3.30578512396694,5.6,4.54545454545455
"22015",22015,"Bossier",2700,2701,2712,8.99705014749263,6.79972936400541,4.97307570478302,7.48340374170187,8.81527231892195,7.94633642930857,5.35372848948375
"22017",22017,"Caddo",2878,2877,2886,8.21205821205821,9.47806596221582,4.62123427902896,8.05143975398379,5.51099611901682,5.54193231976459,5.11152416356877
"22019",22019,"Calcasieu",1992,1992,1996,5.56112224448898,4.9359278595159,10.9000452284034,4.73083197389886,5.88006230529595,6.1787421846267,7.75891929338414
"22021",22021,"Caldwell",150,150,150,2.66666666666667,0.649350649350649,0.64516129032258,3.20512820512821,0.62111801242236,1.85185185185185,1.21212121212121
"22023",22023,"Cameron",210,210,210,6.66666666666667,6.25,5.04201680672269,9.2,1.83150183150183,-24.8201438848921,5.26315789473684
"22025",22025,"Catahoula",73,73,73,0,1.36986301369863,-1.35135135135135,0,1.36986301369863,1.35135135135135,0
"22027",22027,"Claiborne",59,59,59,3.38983050847458,1.63934426229508,8.06451612903226,19.4029850746269,1.25,1.23456790123457,3.65853658536585
"22029",22029,"Concordia",204,204,213,0.469483568075117,3.27102803738318,5.42986425339367,0,1.28755364806867,11.8644067796610,1.13636363636364
"22031",22031,"De Soto",298,298,302,3.97350993377483,5.09554140127389,6.96969696969697,3.68271954674221,10.9289617486339,5.17241379310345,7.02576112412178
