"","COUNTY","CTYNAME","CENSUS2000POP","ESTIMATESBASE2000","2000","2001","2002","2003","2004","2005","2006","2007"
"22001",22001,"Acadia",47199,47201,47140,-0.366991938905388,0.0660037898950327,-0.491510277033065,-0.256591186092758,-0.0836066628078976,1.06634054239616,0.428829211336376
"22003",22003,"Allen",17351,17351,17303,-0.392995434317748,-1.16623150565709,0.457907713983797,-0.116877045348294,-0.462204540135736,1.12854875683301,-0.23830281894798
"22005",22005,"Ascension",58463,58394,58866,2.03343186219549,2.45408987230075,3.12007410175992,2.51036134705391,3.30361260568793,4.43012544829536,3.07227542179663
"22007",22007,"Assumption",15589,15589,15581,-1.68795327642642,-0.0326413369891631,-0.568144713642003,-0.604229607250755,-0.792916611603013,-0.546156920207806,-0.113849450843825
"22009",22009,"Avoyelles",28191,28191,28149,-0.56485132686774,-0.425151839942837,0.20092569337304,-0.293622659075447,-0.588974681271323,0.697229146345869,-0.584774341680419
"22011",22011,"Beauregard",27565,27565,27610,-0.525172039116262,-0.338612779901693,0.526085050416484,1.09027474923681,1.01020995110728,0.402178168487739,-0.0708968450903935
"22013",22013,"Bienville",8615,8615,8603,-1.65058700453330,0.614584564472285,-0.869258780688359,-0.355492356914326,-0.594601022713759,-1.74662040913985,-0.0852307317667113
"22015",22015,"Bossier",71874,72064,72169,0.187060926436559,0.463321531312237,0.772312394168422,1.39617486338798,0.980841260003772,1.11274182788526,0.833949118547451
"22017",22017,"Caddo",131839,131654,131406,-1.15063239121501,-1.33108534651331,-0.965942339952405,-0.505802547921246,-0.71267371421784,-1.19551780516011,-0.851589364415672
"22019",22019,"Calcasieu",134076,134076,133912,-0.607861879443216,-0.451546980420442,0.181136176668151,-0.0783504222635738,-0.0233727654505289,-1.32577185864467,0.423404970804928
"22021",22021,"Caldwell",8401,8401,8430,-1.04389086595492,0.239750659314313,-0.574025352786415,0.601395236949723,-1.39885222381636,-1.22468776524797,-0.45421065553646
"22023",22023,"Cameron",9258,9255,9224,-1.85385949696444,-1.19297470451784,-0.782560089435439,-0.901408450704225,-0.795906765207504,-18.9914040114613,-4.37181663837012
"22025",22025,"Catahoula",7787,7787,7787,-1.60523950173366,-1.03106238580005,-1.16049057101411,-1.06737825216811,-1.92852326365475,-0.783828382838284,0.956340956340956
"22027",22027,"Claiborne",8681,8681,8639,-1.19226762356754,-0.937207122774133,-0.98155156102176,-1.19431506031291,-0.181312703976792,-0.339065148946476,-1.00850546780073
"22029",22029,"Concordia",12184,12184,12151,-1.89284832524072,-1.09890109890110,-1.95928753180662,-2.18011938749027,-1.97222959228796,-1.18188379646337,-1.25079886789008
"22031",22031,"De Soto",14106,14104,14118,0.0283326250177079,1.08341594674975,0.924693520140105,1.40209620323454,0.369635156410432,0.0818386414785515,0.96763202725724
"22033",22033,"East Baton Rouge",228344,228344,227790,-1.28583344308354,-1.30258248429029,-0.939927545374259,-1.05346469801588,-1.56851928469636,-0.153653592878693,-1.27321798595812
"22035",22035,"East Carroll",2936,2936,2925,-1.26495726495726,-1.83518005540166,-2.82186948853616,-1.70598911070780,-2.99113737075332,-5.51960411115341,-1.36986301369863
"22037",22037,"East Feliciana",11002,11002,11007,0.0726810211683474,-0.508397639582388,0.684369011771147,-0.362515860068878,0.0727669637984355,0.772586802399564,-0.117254442139443
"22039",22039,"Evangeline",24780,24780,24745,-0.590018185492019,-0.71141103296882,-1.25696036685228,-0.23634780445329,0.241064006650042,0.339995024463057,0.665289256198347
"22041",22041,"Franklin",14209,14209,14210,-1.54820548909219,-1.04360257326662,-0.332273909274776,-0.463835338454849,-1.47080238823358,-1.47058823529412,0.0900022500562514
