Planning District,1980,1990,2000,2009,2010,2015,2020,2025,2030,2035
Annandale,23600,24901,25614,25774,25806,26072,26666,27462,28147,28890
Baileys,13963,16573,17367,17451,17634,17829,18183,18687,19128,19600
Bull Run,7705,24559,38745,44530,44671,45299,47190,49858,52164,54685
Fairfax,11838,17181,20992,25286,25550,26351,26725,27242,27686,28175
Jefferson,15033,17365,18862,20930,21005,22902,24483,25854,26904,28045
Lincolnia,4128,5464,5908,6790,6905,7073,7172,7319,7439,7577
Lower Potomac,3968,3936,5898,9278,9432,10059,10757,11729,12578,13496
McLean,19874,23601,26269,28148,28286,30233,32527,34781,36565,38511
Mount Vernon,31491,35338,37000,37401,37819,38982,41108,43759,46006,48462
Pohick,22547,41032,45153,46613,46669,46918,47286,47722,48092,48548
Rose Hill,7591,13524,19102,20379,20414,20917,21546,22160,22641,23203
Springfield,11432,14590,17151,18807,18647,20055,21469,22514,23260,24074
Upper Potomac,25702,44898,58989,69316,70329,74068,78656,84115,88692,93678
Vienna,16774,19502,21910,23853,24281,26136,27936,29659,31037,32502
