Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009
001,25737,26850,27821,28269,28743,29932,31378,32564,33205
003,37190,38161,39006,40865,42333,44548,46340,47735,49200
005,36240,37573,39104,40694,42274,44085,45715,46511,47237
009,31701,33036,34509,34840,36405,37922,39116,40008,40947
011,24513,25842,27487,28970,29390,30242,31457,32287,32658
013,28159,28983,29943,30916,31972,33230,34193,34873,35575
015,34761,34744,37119,37982,38607,40688,42586,43850,43242
017,29481,31328,32296,33290,34585,35946,37279,38451,39999
019,26037,27133,27796,29089,30419,31544,32477,33608,33918
021,32799,34033,35969,37792,38546,40288,42418,43919,45301
023,22439,23054,23659,24502,25326,26221,27071,28745,29546
025,31794,32981,34572,36617,37695,39152,41199,41846,43256
027,40191,41700,42792,45168,47159,48795,51074,52566,54561
029,24902,25877,27519,28594,30539,31765,33219,34453,33318
031,45893,47198,48886,51801,54160,56396,59700,60881,62392
033,38986,39943,40822,42407,44108,45813,47411,48943,49842
035,25011,26184,27523,29199,29951,31110,32129,32585,33272
037,38683,40603,42342,44308,46012,48359,50694,52504,55790
039,27135,28682,29177,30562,31362,32712,35172,36170,36789
041,28117,28824,29935,30517,31650,33075,34268,34968,36046
043,29020,30034,31338,32431,33596,35013,35655,36222,35782
045,28278,29355,30340,31207,32375,33301,34782,35860,36336
047,21734,21957,23157,23904,24928,26127,27067,27571,28066
510,40508,41879,43041,45441,47656,49134,51899,53793,53482
