Series ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
009,3.0,3.2,3.5,3.5,3.4,3.4,3.1,2.9,3.6,5.8
011,3.6,4.7,4.6,5.2,4.7,4.4,4.3,4.2,5.5,8.9
019,5.1,6.4,6.5,6.9,5.9,5.4,5.6,5.9,7.0,10.7
023,5.2,5.4,5.5,5.3,4.9,4.8,4.8,4.5,5.0,7.8
029,3.9,4.1,4.5,5.0,4.3,4.2,3.8,3.6,4.9,7.5
035,3.1,3.4,3.6,3.8,3.6,3.5,3.3,3.2,4.2,6.7
039,6.3,6.7,6.7,6.6,6.5,6.0,5.4,5.5,6.6,9.4
041,3.3,3.6,3.8,4.4,4.1,3.9,3.5,3.4,4.3,7.0
047,6.2,6.6,6.3,6.6,6.8,6.6,5.9,6.0,7.5,10.9
510,5.9,6.6,7.1,7.4,7.3,6.9,6.3,5.6,6.7,10.2
003,3.0,3.5,3.9,3.8,3.7,3.5,3.3,3.1,3.9,6.4
025,3.3,3.7,4.3,4.4,4.1,3.9,3.5,3.4,4.2,7.2
013,3.0,3.2,3.6,3.7,3.5,3.3,3.1,3.0,3.8,6.4
027,2.5,3.0,3.5,3.4,3.3,3.1,2.8,2.6,3.2,5.2
043,3.7,4.5,4.9,5.0,4.5,4.4,4.4,4.4,5.7,9.7
001,5.9,6.4,6.2,6.0,6.1,6.1,5.5,5.2,5.9,8.5
015,3.5,4.0,4.5,5.2,4.4,4.6,4.3,3.9,5.2,9.0
045,4.2,4.8,4.8,4.8,4.4,4.2,4.0,4.0,5.3,8.3
017,3.0,3.2,3.5,3.5,3.4,3.4,3.1,3.0,3.7,5.8
037,3.2,3.4,3.6,3.5,3.4,3.5,3.3,3.0,3.7,5.7
031,2.6,3.1,3.5,3.3,3.2,3.1,2.8,2.7,3.3,5.3
033,3.7,4.2,4.9,4.7,4.5,4.5,4.1,3.7,4.5,6.9
005,3.7,4.2,4.6,4.7,4.5,4.3,3.9,3.6,4.5,7.4
021,2.7,3.2,3.5,3.5,3.3,3.1,3.1,2.9,3.7,6.2
