STATE,Ownerships,2001,2002,2003,2004,2005,2006,2007,2008,2009
AL,Federal government,48542,52919,55657,57517,60528,62818,66608,68296,70103
AK,Federal government,50169,52521,54561,57759,59862,60789,64871,65019,65496
AZ,Federal government,46051,48363,50440,53825,56510,58322,61368,61764,62560
AR,Federal government,43533,45708,48275,51879,54166,56986,58296,60682,61581
CA,Federal government,49840,52992,54215,57832,59672,61363,63418,64665,65581
CO,Federal government,49480,52031,53876,58182,60764,62745,65568,66769,67856
CT,Federal government,47111,49260,51078,55118,54492,57164,57929,58560,64154
DE,Federal government,44909,46808,47222,49452,49794,52607,55373,62232,60727
DC,Federal government,64038,67765,71605,76401,80255,83061,86271,90865,93109
FL,Federal government,47298,50574,52241,56138,57271,59596,61840,63296,64855
GA,Federal government,46389,50392,53868,55683,58954,61193,63703,64287,66298
HI,Federal government,47095,50778,52235,54068,56721,57872,61403,61867,63540
ID,Federal government,42442,43539,45825,50742,52064,55319,56694,56334,57110
IL,Federal government,47941,50939,52406,56673,58810,61025,63491,64842,66137
IN,Federal government,45038,48228,49878,53686,54705,56766,59174,59781,60256
IA,Federal government,41478,44512,46118,48454,48633,51829,53646,55592,55934
KS,Federal government,43807,46788,48339,52084,51979,53290,56566,56302,57679
KY,Federal government,40695,42696,44934,48552,50223,52210,53880,55863,56488
LA,Federal government,45131,47991,50333,52596,55339,58658,60410,63159,63597
ME,Federal government,46553,49463,52149,55018,58271,59690,62847,63469,62955
MD,Federal government,59865,63015,66896,70517,74740,77376,81624,83780,86768
MA,Federal government,49439,53175,55483,59556,60864,64218,66922,68066,70264
MI,Federal government,45717,48553,50200,53305,54608,57184,59196,60404,61647
MN,Federal government,46247,49723,50401,53797,55481,58395,60182,61751,62663
MS,Federal government,42812,46236,48260,51057,54121,55980,56994,58356,60027
MO,Federal government,44682,46958,48330,51036,52572,54702,55504,58176,59254
MT,Federal government,42651,44318,46695,49546,52692,54569,57390,57479,57784
NE,Federal government,41398,43474,46179,48794,50712,53979,55029,55862,56714
NV,Federal government,48561,49905,51672,56292,56390,59753,61062,62438,63148
NH,Federal government,47211,50437,52767,58597,58937,62035,69293,67545,67668
NJ,Federal government,49186,53328,55758,59157,60955,64970,68361,68127,69636
NM,Federal government,47046,49301,51288,54501,56668,59384,62779,63889,64750
NY,Federal government,46616,49595,51343,55318,56100,58771,60230,61704,62543
NC,Federal government,42503,44906,47605,50808,52288,54893,57767,56889,58604
ND,Federal government,36961,38496,40059,42995,44934,46716,52123,53942,54388
OH,Federal government,49295,52683,54736,58061,59357,61876,64062,64223,65005
OK,Federal government,46007,48850,50944,53264,54721,56914,60029,60205,62350
OR,Federal government,47587,50077,51258,54239,56830,59571,61405,62707,63186
PA,Federal government,47284,49441,51561,54485,56707,59695,61958,63173,64897
RI,Federal government,51849,56490,58445,63224,64282,67286,70122,70704,72349
SC,Federal government,43036,46872,48180,51124,52857,54768,57175,59221,59567
SD,Federal government,41114,42262,43962,46585,48357,50336,52557,53373,54054
TN,Federal government,48831,50652,52835,56227,57371,60017,62552,62921,63790
TX,Federal government,46432,49548,51681,55132,57270,59399,61595,62354,63674
UT,Federal government,43565,45524,47033,50068,52587,54301,57360,57544,59652
VT,Federal government,43868,46201,47623,51269,53995,56191,58627,60157,60191
VA,Federal government,54447,58698,61507,65911,68258,71280,75732,78074,80302
WA,Federal government,48119,50958,52890,56170,57168,58877,61593,62852,63968
WV,Federal government,45895,48508,50733,54148,56909,59197,60766,64643,65389
WI,Federal government,42889,44745,46429,49735,50553,53026,53880,54691,55355
WY,Federal government,41653,42910,44912,48444,50097,52885,55515,56264,56543
PR,Federal government,46331,48907,53483,53402,53811,54675,61529,62461,63324
VI,Federal government,54849,54850,54732,57985,60677,63527,66495,67605,66020
AL,State government,35045,35997,37570,38328,39447,42313,44147,46008,46392
AK,State government,39386,40747,41328,41858,44226,45509,46812,48714,50139
AZ,State government,35086,35800,37004,38593,40482,43551,45139,47061,46841
AR,State government,30779,31888,33039,34234,34975,36389,37079,38441,40103
CA,State government,47602,48876,50237,51308,52324,54244,56777,58792,57746
CO,State government,40441,42541,43066,43919,44990,46341,46722,50310,51224
CT,State government,47847,49835,50673,55487,58447,52137,59246,61759,63634
DE,State government,35782,39803,40255,42365,44148,45946,47655,47769,49370
DC,State government,48263,50086,51058,52906,55787,58585,59469,65410,70586
FL,State government,29950,31239,32090,34857,37177,39489,41796,41877,43047
GA,State government,31475,32796,33300,33314,34086,34947,36414,37724,38635
HI,State government,31742,33714,34826,35264,37308,39621,41391,43270,44057
ID,State government,31499,32591,32219,34262,34104,35743,36728,38050,38536
IL,State government,43988,45925,47561,48295,49770,51876,53925,56682,58523
IN,State government,32896,33342,33370,34598,35677,37205,38575,40697,41461
IA,State government,42273,43453,44755,45951,47893,49552,51689,53814,56034
KS,State government,35851,37285,37491,40557,40014,41487,43748,44924,46155
KY,State government,33061,34660,35651,37007,37644,38931,40226,41862,41494
LA,State government,31178,32707,34248,35288,37505,38403,40779,44361,46166
ME,State government,33756,35476,36094,36402,37962,39169,41083,42412,43260
MD,State government,39176,42111,41736,42358,43604,45754,47483,48916,49021
MA,State government,45942,47891,49420,52030,52808,54295,56289,58157,57377
MI,State government,41390,43088,43463,43908,48017,51432,51958,53810,55032
MN,State government,43526,46254,46835,47027,48125,49509,51181,54205,55835
MS,State government,29038,29546,30835,31241,32645,34047,36683,38288,39159
MO,State government,30958,31256,30535,31165,32247,33682,35244,36500,37669
MT,State government,31112,33026,34025,34260,35080,36965,39624,42741,42892
