FIP,Gender,RWF5054,RWF5559,RWF6064,RWF6569,RWF7074,RWF7579,RWF8084,RWF8589,RWF9094
AL ,Female,124.3408,123.8567,118.1679,115.2098,115.765,114.5772,125.7839,130.22,132.0583
AK ,Female,,,149.1383,99.6015,128.9198,135.7523,134.5234,148.9992,141.3557
AZ ,Female,123.1896,113.2822,121.1592,112.4665,115.1292,119.9319,125.5681,129.3826,133.6302
AR ,Female,117.4341,114.9849,113.824,110.8075,116.3717,115.064,120.0778,129.7402,136.012
CA ,Female,139.6124,136.2988,131.2447,133.4283,134.2983,138.9121,143.4812,145.798,143.0625
CO ,Female,135.4074,129.2719,119.0276,115.145,114.2591,115.1611,119.1686,121.1213,125.1948
CT ,Female,158.4611,152.3187,143.6635,136.0259,137.191,142.4011,142.5194,143.8097,138.1734
DE ,Female,142.4967,145.0906,142.2534,138.0161,138.7082,140.8733,152.3737,149.1272,154.276
DC ,Female,155.3759,154.4117,143.3472,142.0313,147.485,147.8726,143.7252,136.5372,124.9057
FL ,Female,119.3846,115.0667,118.1107,114.8205,121.5132,124.5264,127.678,131.7416,134.7586
GA ,Female,124.4067,117.5529,116.1279,113.4986,112.715,112.7572,120.2641,129.8935,130.2799
HI ,Female,-9999.99,-9999.99,121.182,121.3535,119.5852,119.3225,123.4197,123.504,146.3793
ID ,Female,125.1123,117.0428,111.4433,115.0411,109.6786,114.8829,119.1273,123.8271,126.1493
IL ,Female,155.328,146.5953,142.345,138.2352,136.9197,136.7235,138.9975,142.8176,145.0453
IN ,Female,143.727,138.8989,134.4066,134.6656,130.9492,130.9494,136.7983,140.0915,141.4424
IA ,Female,138.0958,133.0835,128.8318,125.9291,126.2131,123.2374,125.4336,128.9198,132.1654
KS ,Female,126.533,119.8689,118.6124,120.0715,117.4359,118.3318,119.883,125.8746,130.2218
KY ,Female,134.5846,129.0644,127.525,123.0472,127.7645,128.3814,136.9911,142.1132,149.354
LA ,Female,132.7903,126.5352,123.0683,123.522,124.0866,126.8967,132.3984,136.7884,141.1411
ME ,Female,160.5921,149.5251,147.1808,138.0948,141.3483,138.4461,142.2853,151.7441,152.8923
MD ,Female,152.5588,149.8511,141.8794,142.2473,138.9675,146.1246,149.1862,152.0009,150.2305
MA ,Female,157.5481,152.3854,138.6047,142.1126,139.3564,142.0961,149.3996,151.0377,152.1525
MI ,Female,154.4516,146.484,139.2025,135.8824,133.4024,133.1028,139.1953,141.3497,142.7258
MN ,Female,144.6488,136.1099,130.732,129.3343,126.527,123.3318,125.4951,130.2622,131.3785
MS ,Female,126.2474,118.1688,118.7668,117.2374,113.9685,112.1105,117.2702,124.9754,128.65
MO ,Female,140.9493,133.8816,129.8128,126.7105,126.7718,126.6862,132.7379,134.9621,139.1294
MT ,Female,132.8257,127.03,122.2139,121.0555,119.107,120.2788,131.9456,131.1984,133.886
NE ,Female,140.6636,131.3281,126.9485,126.9095,123.3906,122.7934,124.1951,127.3526,126.7886
NV ,Female,122.0488,120.6803,127.5673,126.7552,137.3894,136.0038,148.8581,152.7088,159.4781
NH ,Female,156.8984,149.5371,141.9106,144.8556,138.8585,141.5769,146.2137,152.925,154.7636
NJ ,Female,167.2318,159.1465,156.0383,149.1748,146.1546,146.9236,150.5427,153.0405,152.803
NM ,Female,126.0647,122.6049,118.7261,119.7185,122.7399,119.8723,124.0822,126.0203,122.1972
NY ,Female,166.246,158.0423,151.4632,150.0185,147.1239,146.3418,146.9136,149.3269,147.665
NC ,Female,117.1333,114.6015,111.3337,110.0637,111.6609,114.3643,118.1359,127.7623,131.2571
