State,Gender,1999,2000,2001,2002,2003,2004,2005,2006,2007
AL ,Female,190.4,192.2,197.2,190.9,193.2,193.4,196.6,189.8,188.3
AK ,Female,97.9,109.3,103.1,102.2,102.3,99.4,101.9,117,117
AZ ,Female,166.7,165.2,166.1,156.5,159.1,154.8,153,149.3,147.5
AR ,Female,204.3,203.1,200.4,206,199.8,211.3,201.8,196.2,208.5
CA ,Female,154.2,154.4,154,151.9,151.5,147.5,149.4,147.5,147.6
CO ,Female,136.8,135.1,140.9,139.3,137.7,134.8,137.5,136.3,134
CT ,Female,199.9,203.5,207.2,200.2,197.6,201.3,197.6,201.7,193.3
DE ,Female,212.2,197.3,213.4,179.2,195.7,202.2,199.3,192.4,205.7
DC ,Female,222.3,214.9,212.2,203.5,181.2,184.5,176.3,177.4,194.5
FL ,Female,219.3,219.8,215.7,213.1,210.6,209,206.3,201.7,199.6
GA ,Female,148.8,154.7,152.8,150.4,152.8,149.1,145.7,143.8,146.2
HI ,Female,138.9,141.8,147.5,139.7,152.2,146.7,156.2,157.6,153.6
ID ,Female,158.9,154.5,149.2,151.2,159.8,152.6,153.5,147.6,156.7
IL ,Female,195.3,197.7,188.9,189.9,187,185.5,186,183.7,184.3
IN ,Female,200.7,199.5,193.7,200.9,198.3,192.1,193,193.8,188.5
IA ,Female,202.4,204.4,210.5,210.2,209.9,205.7,204.2,204.6,205.1
KS ,Female,188.4,189.4,187.7,190.3,188.3,184.7,189,186.2,181.6
KY ,Female,202.4,204.8,206.8,208.5,207.1,207.7,206.5,204.4,211.5
LA ,Female,187.1,191.8,189.9,191.1,193.6,187.2,193.7,188,179.3
ME ,Female,230.9,232.3,217.8,229.2,231.9,224.7,227.2,217.3,222.1
MD ,Female,180.6,184.7,181.8,182,178.6,177.4,176.3,179.1,173.6
MA ,Female,209,213.4,210.1,211.7,204.8,202.4,198.9,199.8,192.6
MI ,Female,189.6,189,185.8,190.3,186.3,184.3,190.8,193,190.5
MN ,Female,174.8,181.2,171.9,176.4,176.4,174.1,169.8,170.7,167.5
MS ,Female,188,186.9,177.6,187.3,182.4,184.6,187.1,184.9,173
MO ,Female,207.9,202.7,208.4,202.9,203.5,201.7,198.7,201.8,195.3
MT ,Female,193.5,189.1,200.3,207,191.8,194.4,199.5,194.5,194.5
