State,Race,1999,2000,2001,2002,2003,2004,2005,2006,2007
AL ,Black,189.5,189,200,189.4,188.8,184.9,188.9,182.7,191.3
AK ,Black, ,76.3,73.8,74.1,52.9,51.1,81.3, ,74.5
AZ ,Black,112,110.2,107.1,107.5,104,102.1,97.8,89.2,98.2
AR ,Black,196.7,190.7,177.5,188.6,189.8,182.5,190.4,178.1,181.2
CA ,Black,158.6,156.2,160.8,158.1,160.4,160.5,160.7,155.6,158.3
CO ,Black,115.8,111,116.4,101,104.7,90.2,108.6,101.9,107.6
CT ,Black,130.2,137.7,121.6,131.7,128.6,127.2,125.7,128.7,129.1
DE ,Black,184.2,150.8,161.1,150.7,173.4,152.3,159.1,161.8,141.9
DC ,Black,292.1,293.5,284.7,288.9,246.1,254.8,254.6,257.2,267.7
FL ,Black,143.1,143.6,137,137.1,138.8,137.9,137,132.9,133.5
GA ,Black,144.7,139,140.2,142.4,139.1,138.2,136,130.6,134.3
HI ,Black,51.3, , , , , ,42.2,35.9,35.9
ID ,Black, , , , , , , , , 
IL ,Black,191.4,194.3,190.2,190.7,188.4,188.1,187.5,186.8,190.3
IN ,Black,192.1,175.8,182.2,190.4,183.9,167,173.3,168.5,165.4
IA ,Black,145.5,122.4,125.9,125.3,119.3,111.9,116.7,108.7,114.7
KS ,Black,162.5,161.2,174.3,168.7,145.7,153.8,165.2,148.3,133.9
KY ,Black,193,200.7,194.7,194.3,198.1,179.9,177.4,183.1,176.3
LA ,Black,194.9,188.8,190.9,193.5,192.8,198.8,196.2,187.7,182.1
ME ,Black, , , , , , , , , 
MD ,Black,160.2,161.4,162.6,163.4,160.8,156,154.9,157.2,158.2
MA ,Black,121.6,126.5,114.5,121.3,132.6,111.9,117.1,120,111.4
MI ,Black,176.3,177.6,172.8,178.7,172.7,172.5,173.1,182.2,181.1
MN ,Black,85,86.1,76.4,71.7,72.8,70.2,86.9,87.8,81.5
MS ,Black,184.6,177.6,180,184.8,180,177.8,180.7,187.4,175.7
MO ,Black,191.9,182.6,186.3,184,188.8,185.4,178,184,180.2
MT ,Black, , , , , , , , , 
NE ,Black,143,133.1,147.1,116.7,149.6,137.1,117.8,114,131.9
NV ,Black,131.4,127.6,141.6,122.6,128.4,136.4,135.9,117.7,123.9
NH ,Black, , , , , , , , , 
NJ ,Black,173.7,173.8,170,167.7,170.2,159.9,158.3,160,154.2
NM ,Black,121.2,109.3,124.9,96.8,99.5,104.9,91.2,79.9,63.3
NY ,Black,145.5,143.1,145.3,142.6,139.6,141.7,140.4,135.7,141
NC ,Black,188.3,180.2,184.6,179.8,171.5,177.2,174.2,182.7,180.8
ND ,Black, , , , , , , , , 
OH ,Black,197.5,204.2,193.3,195.2,187.3,198.5,195.3,190.8,193.9
OK ,Black,171.8,164,153,165.5,146.8,149,155.8,154.5,144.2
OR ,Black,120.5,105.6,99,123.2,113.5,121.3,105.3,86.9,91.6
PA ,Black,222.1,204.8,204.5,204.2,205.5,192.3,193.3,197.6,190.8
RI ,Black,102.7,98.2,106.1,107.8,91.3,117.9,108.9,87.2,100.5
SC ,Black,189.1,191.1,184.4,182.2,190,183.3,183.9,185.7,183
SD ,Black, , , , , , , , , 
TN ,Black,188.6,187.3,185.9,177.8,180.9,176.6,188.1,183.5,174.4
TX ,Black,168.7,165.6,163.8,161.4,161.3,157.9,157.8,149.2,150.4
UT ,Black,84.2, ,73.6, ,68.6,57.7,53.9, , 
VT ,Black,  , , , , , , , , 
VA ,Black,193.6,194.8,184.7,187.1,186.1,176.4,180.2,173.7,184.4
WA ,Black,104.8,104.9,102.6,103.6,104.9,86.2,102.5,105.9,109.8
WV ,Black,247.6,226.1,231.4,230,221.4,200.9,198.1,168.4,205.6
WI ,Black,119.9,131.6,116,117.1,126.1,126.5,135.1,133.6,128.1
WY ,Black,  , , , , , , , , 
AL ,Hispanic,26.1, ,21.8,26.1,18,23.8,28.5,15.3,26.1
AK ,Hispanic, , , ,51.8, , , , , 
AZ ,Hispanic,57.3,61.1,58.9,59.3,62.6,57.7,57,50.3,55.5
AR ,Hispanic, , , , , ,22.5,24.6,20.5,19.9
CA ,Hispanic,53,52.5,54.6,54.7,55.3,55.1,58.8,59.3,59.2
CO ,Hispanic,58.4,59.7,64.3,66.9,71.4,66.8,64.1,65.1,59.9
CT ,Hispanic,42.1,46.7,40.9,46.1,50.9,48.7,48.3,55.8,53.5
DE ,Hispanic,48.8, , ,49.5,35.5, ,49.4,42.8,28.3
DC ,Hispanic, , , , , , ,34.7, ,60.5
FL ,Hispanic,110.1,106.4,109.1,108.6,106.6,104.4,108.2,104.9,103.9
GA ,Hispanic,19.7,18.6,17.9,20.6,17,19.9,21.8,16,17.2
HI ,Hispanic,71.3,113.6,95.9,104.3,115.6,111.8,101.9,94.8,103
ID ,Hispanic,32.2,38.9,29.6,23.8,32.1,46,36.7,31.5,40.4
IL ,Hispanic,37.5,38.4,38.9,37.9,36.4,37.6,38.3,41.8,39.7
IN ,Hispanic,45.2,48.5,41.6,38.8,32.8,31.2,31.5,28.1,33.3
IA ,Hispanic,44.5,31.3,31.5,25.5,39.4,27.8,36.5,19.9,24.8
KS ,Hispanic,40.6,32.6,43,34.1,37.6,40.9,45.1,44.8,39.5
KY ,Hispanic,69.8,59.5,70.3,53,48.2,53.8,47.9,37.5,66.1
LA ,Hispanic,94.4,77.3,83.4,67.1,68.6,40.2,59.1,50,56.5
ME ,Hispanic, , , , , , , , , 
MD ,Hispanic,12.6,20.4,26.4,34.1,24.8,26.3,35.9,35.5,32.3
MA ,Hispanic,47.2,42.7,41.6,44.5,37.4,40,46.3,41.9,45.4
MI ,Hispanic,54.9,54.1,48.2,49,53.1,63.2,57.1,68,64.9
MN ,Hispanic,39.4,38.6,26.3,27.4,32.4,28.1,26.8,34,28.8
MS ,Hispanic, , , , , , , , ,27.3
MO ,Hispanic,65.9,66,67.1,50.5,45.6,44.4,53.7,39.5,44.6
MT ,Hispanic, , ,86.3, , , , , ,57.9
NE ,Hispanic,39.9,36.7,29.5,40.7,36.8,31.9,40.2,38.5,32.6
NV ,Hispanic,31,32.7,30.6,34.6,37.5,36.5,32.5,33,38.3
NH ,Hispanic, , , , , , , , , 
NJ ,Hispanic,48.8,57.8,58.9,60.7,61.8,53.7,59.3,63.2,59.7
