Region,Grade,2003,2005,2007,2009
AL ,Grade4,207.0838476,207.752033,216.3889539,216.2733559
AK ,Grade4,211.5471536,211.0613186,214.4769544,211.1273683
AZ ,Grade4,208.8728014,207.1427366,209.5206243,209.9892695
AR ,Grade4,213.6153045,217.0715289,217.0278177,216.1515814
CA ,Grade4,205.6324371,206.5120265,208.522186,209.7624054
CO ,Grade4,223.660982,223.65613,223.7326529,225.6966406
CT ,Grade4,228.340615,225.7530197,227.2036492,228.9721167
DE ,Grade4,223.9288114,225.8384591,225.0705423,225.5130868
DC ,Grade4,188.3744785,190.7873557,197.0859504,201.9846377
FL ,Grade4,218.0144882,219.4652222,223.5349268,225.6734073
GA ,Grade4,213.5972193,214.4309205,218.8881713,217.8481057
HI ,Grade4,208.2595675,209.5787676,213.496555,210.6164187
ID ,Grade4,218.2598855,221.8595114,223.4040653,221.0229244
IL ,Grade4,216.304288,216.48972,219.3868114,219.16578
IN ,Grade4,220.4064911,218.0725333,221.6730923,222.6594808
IA ,Grade4,223.2711298,220.8094002,224.8947954,221.4222981
KS ,Grade4,220.1432297,220.4687493,224.6583622,223.9242133
KY ,Grade4,219.0444173,219.9268179,222.4323142,225.6062424
LA ,Grade4,204.7294875,209.1656583,207.4068055,207.4861372
ME ,Grade4,223.8594938,224.5777722,225.5440458,223.790428
MD ,Grade4,218.6737598,220.0295858,224.7812651,226.0477839
MA ,Grade4,227.6042594,231.2794393,235.7534621,233.7494631
MI ,Grade4,218.7890567,218.2606891,220.1184528,218.2355503
MN ,Grade4,222.6089623,225.2265781,224.9170043,223.3366618
MS ,Grade4,205.4644068,204.393607,207.8095188,210.5065175
MO ,Grade4,222.2602301,221.1686228,220.7768279,223.8423578
MT ,Grade4,222.7465416,224.5521798,226.6665326,224.6517501
NE ,Grade4,220.6118021,221.3774628,222.9025543,222.5233073
NV ,Grade4,206.9596827,207.1869744,210.8190091,211.140589
NH ,Grade4,227.7895085,227.4383241,229.0171734,229.1445204
NJ ,Grade4,225.073328,223.2983935,230.646972,229.3944864
NM ,Grade4,203.1853126,206.7916207,211.6318846,207.6457308
NY ,Grade4,222.1882071,222.6952,223.7520273,224.3687488
NC ,Grade4,221.2205797,217.1344487,217.9340426,219.2960459
ND ,Grade4,221.6422457,224.8108467,226.3254811,225.9674719
OH ,Grade4,221.8657991,222.5332538,225.6669878,224.5321781
OK ,Grade4,213.5793571,213.8614501,216.955654,217.1906276
OR ,Grade4,217.6145353,216.8999802,215.0173234,218.1423405
PA ,Grade4,218.6984275,222.7719804,226.3536582,223.6794399
RI ,Grade4,216.4940152,216.4398673,218.7614449,222.7048852
SC ,Grade4,214.8077245,213.2035072,213.8365272,215.9422982
SD ,Grade4,222.2731786,222.3986921,223.3985267,222.1665928
TN ,Grade4,211.9475411,214.2212693,215.7492686,216.7378111
TX ,Grade4,214.8080056,218.733824,219.6043131,218.8582724
UT ,Grade4,219.2703384,221.3109271,221.2614281,219.2041302
VT ,Grade4,226.1217466,226.886251,228.2485382,228.7357836
VA ,Grade4,223.3403592,225.8137107,227.1367249,226.527568
WA ,Grade4,221.0966951,223.4863979,223.9993368,221.3301104
