State,2001,2002,2003,2004,2005,2006,2007,2008,2009
AL,30102,31163,32236,33414,34598,36204,37492,38734,39422
AK,36170,37134,37804,39062,40216,41750,43972,45805,47103
AZ,33411,34036,35056,36646,38154,40019,41551,42518,42832
AR,27260,28074,28893,30245,31266,32389,34118,34919,35692
CA,41327,41419,42592,44641,46211,48345,50538,51487,51566
CO,37952,38005,38942,40276,41601,43506,45396,46614,46861
CT,46993,46852,48328,51007,52954,54814,58029,58395,57771
DE,38427,39684,40954,42487,44622,46285,47308,47569,47770
DC,55908,57914,60417,63887,66696,70151,73450,76518,77483
FL,31553,32426,33544,35186,36800,38485,39746,40568,40970
GA,35136,35734,36626,37866,39096,40370,42178,42585,42902
HI,31253,32671,33742,35198,36353,37799,39466,40675,41328
ID,27768,28163,28677,29871,30777,32580,33544,33897,34124
IL,39083,39688,40540,42277,43744,45650,47685,48719,48358
IN,31779,32603,33379,34694,35431,36553,37528,38403,38270
IA,28837,29668,30708,32097,33070,34320,35738,36964,37158
KS,30153,30825,31489,32738,33864,35696,37044,38178,38154
KY,30021,30904,31855,33165,33965,35201,36480,37434,37996
LA,29131,30115,30782,31880,33566,36604,38229,40381,40579
ME,28815,29736,30750,31906,32701,33794,35129,36317,36617
MD,38253,39382,40686,42579,44368,46162,48241,49535,50579
MA,44975,44954,46323,48916,50095,52435,55244,56746,56267
MI,37391,38135,39433,40373,41214,42157,43357,44245,43645
MN,36587,37458,38610,40398,40800,42185,44375,45826,45319
MS,25923,26665,27591,28535,29763,31194,32291,33508,33847
MO,32421,33118,33788,34845,35951,37143,38603,40361,40022
MT,25195,26001,26907,27830,29150,30596,32224,33305,33762
NE,28377,29448,30382,31507,32422,33814,35238,36243,36644
NV,33121,33993,35329,37106,38763,40070,42149,42984,42743
NH,35481,36176,37321,39176,40551,42447,43863,44912,44932
NJ,44320,45182,46351,48064,49471,51645,53853,55280,55168
NM,28702,29431,30202,31411,32605,34567,36379,37910,38529
NY,46727,46328,47247,49941,51937,55479,59439,60288,57739
NC,32024,32689,33532,34791,35912,37439,38909,39740,39844
ND,25707,26550,27628,28987,29956,31316,33086,35075,35970
OH,33283,34214,35153,36441,37333,38568,39917,40784,40900
OK,28016,28654,29699,30743,31721,34022,35491,37284,37238
OR,33204,33684,34450,35630,36588,38077,39569,40500,40757
PA,34978,35808,36995,38555,39661,41349,43239,44381,44829
PR,19728,20662,21548,22259,22859,23707,24741,25554,26359
RI,33603,34810,36415,37651,38751,40454,41646,43029,43439
SC,29255,30003,30750,31839,32927,34281,35393,36252,36759
SD,25601,26360,27210,28281,29149,30291,31655,32822,33352
TN,31520,32531,33581,34925,35879,37564,39082,39996,40242
TX,36045,36248,36968,38511,40150,42458,44695,45939,45692
UT,30077,30585,31106,32171,33328,35130,37054,37980,38614
VT,30238,31041,32086,33274,34197,35542,36956,38328,38778
VA,36733,37222,38585,40534,42287,44051,45995,47241,48239
WA,37459,38242,39021,39361,40721,42897,45021,46569,47470
WV,27981,28612,29284,30382,31347,32728,34106,35987,36897
WI,31540,32464,33425,34743,35471,36821,38050,39119,39131
WY,28043,28975,29924,31210,33251,36662,39254,41487,40709
