Fips,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AL ,6.5,6.6,6.6,6.2,5.1,5,4.3,4.2,4,4.3,4.1,5.2,5.3,5.5,4.8,3.6,3.5,3.7,6.1,10.8,8.9
AK ,7.1,8.9,8.5,7.5,7.2,7.3,7.3,6.7,6.2,6.1,6.2,6.2,7.4,7.6,7.3,7,6.3,6.2,6.7,8.4,7.9
AZ ,5.2,6.6,7.2,5.9,6,5.3,5.6,4.3,4.3,4.3,4,5.3,6,5.5,4.7,4.7,4.1,4.2,7,9.3,9.5
AR ,7,7.1,6.8,5.9,5,4.9,5.1,5,5,4.5,4,5,5.3,5.9,5.5,5,5.2,5.2,5.7,7.5,7.8
CA ,6.3,8,9.8,9.3,8.1,7.9,7,6.1,6,5.1,4.8,6.1,6.8,6.8,6,5.3,4.8,5.6,8.2,12.2,12.4
CO ,5.1,5.5,6,4.9,3.8,4.2,4,3.3,3.7,3.2,2.9,4.9,5.6,6.1,5.5,5,4.3,4.2,5.4,7.5,8.4
CT ,5,6.8,7.2,5.8,5.3,5.1,5.5,4.3,3.1,2.6,2.1,3.4,4.9,5.4,4.8,4.9,4.5,4.8,6.1,8.7,9.1
DE ,5.9,5.5,5.3,5.1,4.2,4.5,4.9,3.5,3.4,3.2,3.3,3.5,3.8,3.9,3.9,4,3.4,3.6,5.8,8.5,8.3
DC ,6.6,8.3,8.9,8.3,7.9,8.7,8.3,8.3,7.7,6,5.5,6.5,6.7,7,7.3,6.1,5.6,5.5,7.4,11.4,9.7
FL ,6.5,8,7.6,7,6.1,5.7,5.2,4.8,4.3,3.9,3.8,5.9,5.5,5,4.5,3.5,3.4,4.5,7.3,11.4,11.9
GA ,5.4,4.7,6.7,5.7,4.7,4.7,4.6,4.2,4.1,3.7,3.3,4.3,4.8,4.5,5,5.2,4.5,4.8,7.1,10.2,9.8
