Series ID,2001,2002,2003,2004,2005,2006,2007,2008,2009
001,22162,22991,24547,25843,26780,27289,28240,29629,30236
003,34196,34739,36104,38235,40165,41608,43246,44297,45216
005,25528,26155,26649,27952,29290,29939,29924,30929,30429
007,23922,23520,25366,25691,27363,29224,30075,30297,30598
009,26850,27201,27496,28066,28740,30182,31499,32357,32469
011,23272,23572,23863,24878,24962,26030,26557,28206,27958
013,55390,57427,58988,63686,67340,71401,73053,74312,76721
015,28930,29803,30471,31545,32332,33916,34737,35483,36078
017,25862,25744,26655,27041,26023,27228,28286,30652,30695
019,25411,26134,27455,28256,28910,29710,30349,32496,30941
021,28104,30300,29318,30510,31289,31653,33719,35197,35593
023,28526,29077,29880,31068,32037,33031,33127,34123,33143
025,23446,24038,24903,26034,27247,28301,28903,29838,29823
027,29533,29808,31365,32561,34385,36807,37511,40873,41031
029,24396,25392,25651,26660,27467,28705,29737,30620,30606
031,26166,27080,27568,28751,29740,30398,31708,31412,31324
033,25655,28527,27198,28708,29951,31061,32490,34509,34108
035,21368,21775,21816,22532,23710,25164,25851,26367,26580
036,26472,26359,27998,30148,31573,32845,35844,36758,35644
037,22687,23173,23217,23114,24782,26013,26257,27003,26914
041,32957,33668,34080,35506,36928,38191,39607,40936,41343
043,27487,28357,30093,32001,33292,33790,35030,36517,37360
045,22128,22918,23086,23345,23980,24218,26134,28429,28029
047,30163,31258,32400,32657,34180,35041,35619,35658,35854
049,20467,22242,21755,23117,23906,25832,26726,27750,27013
051,24192,23739,24278,25821,29425,31349,32911,35766,36374
053,28651,29880,30580,31300,32425,33992,36708,37087,36715
057,20523,21564,22073,23160,23953,25899,27532,28398,27644
059,52641,53598,56379,59161,62342,64977,68132,70316,72117
061,29308,30267,32854,35191,36141,37705,38690,40214,40302
063,22648,22061,22717,23815,24195,24919,24782,25219,25642
065,24922,25643,27066,27827,28421,29800,31703,32731,32681
067,23457,24582,25980,26869,26770,27255,27834,28500,29026
069,29708,31120,31690,33143,34005,35520,36215,36759,37394
071,28670,29328,30231,30503,31345,32437,31728,33583,35157
073,21949,22459,23117,24281,25211,26693,28201,29452,28722
075,32284,32639,34107,68832,74850,60739,63441,62818,61909
077,22700,22947,22761,23762,23923,24413,25581,25148,25444
079,23814,24041,26291,25630,27249,28085,28629,29164,30191
081,28092,28765,28970,29292,29713,30476,31702,32231,30688
083,24950,25957,25850,26585,27330,28372,29219,30282,31091
085,29581,29953,31001,32202,32940,34395,36044,36818,36962
087,37869,38668,39597,41777,44199,45009,47108,47218,46795
089,24081,26104,25781,26706,27004,28101,28776,29436,29231
091,18177,18482,19664,19688,20319,21318,22732,23840,24487
093,32699,33859,34150,35155,36267,39178,37428,38157,38496
095,25958,26307,27027,28729,29749,31569,31305,34038,33331
097,24227,25798,28293,29282,30306,30865,32161,34502,35252
099,48213,50785,53174,55402,56719,59132,62222,64675,67100
101,30044,30906,31687,33013,33483,36388,37820,37289,37296
103,24397,24899,25933,26738,28327,28573,30003,29748,29910
105,22741,24250,25180,27031,27776,28426,28688,29935,30537
107,61321,47761,47570,50836,52283,53787,54424,55216,55010
109,34674,34140,36051,38743,38453,42247,45715,45144,45483
111,25370,25426,25494,26152,25647,25961,27161,28460,30208
113,22025,23169,23527,24543,25628,26886,27851,28447,28622
115,19366,19906,20695,21481,22495,23318,24017,25271,25059
117,21628,22416,24631,23762,24542,25214,26263,27942,28269
119,20604,21796,22121,23348,23811,25567,26911,27793,27830
121,27998,28936,29402,30682,32083,33777,36275,35717,36074
125,21205,22068,23934,25075,25660,26762,27828,28485,27805
127,23340,24128,24265,25348,28297,29798,31742,33046,32124
131,22507,24852,26882,29188,25154,26779,29069,29730,30765
133,21328,22196,22745,23784,24735,25755,27388,28025,28157
135,23347,23803,23894,24846,25588,26491,28971,29830,29590
137,27735,25636,25290,27359,28924,30898,30586,31774,31755
139,21649,22474,23491,23389,24536,25220,26356,26810,26547
141,21864,22311,22648,23093,23726,24419,24693,24402,24539
143,28448,29309,30258,25945,26486,27481,28150,29124,28834
145,27799,28568,28959,30102,31601,32513,33291,34077,34848
147,22708,23920,24643,25439,25855,26549,27881,28701,29196
149,30817,32197,34758,36978,38528,41106,42786,43510,44732
153,30909,32089,33478,34949,36525,37877,39685,40493,41396
155,27880,29490,30074,31522,32492,34738,33620,33251,31332
157,29718,29862,30195,33785,34707,39037,41895,42595,40019
159,25214,25632,26793,27785,27913,29999,31824,29602,29746
161,29423,30177,29371,30960,30853,31525,34563,35089,35542
163,23252,24030,23881,25814,25935,27270,27751,28028,27561
165,27689,28142,28725,29487,29919,31043,32696,34317,34702
167,25573,27466,26218,27606,28023,28320,28767,31572,31637
169,22632,22505,23271,24876,25431,26270,26917,27850,28514
171,23648,24469,25358,26644,27596,28635,29422,29773,29529
173,24532,26007,25886,27249,28332,29049,29585,30157,31024
175,26508,27499,27905,28042,28547,29333,29588,29976,29782
177,27330,28571,29898,31731,33705,34839,33897,34098,34267
179,28727,29464,30570,31451,33406,38091,40865,41983,42784
181,49471,48800,56827,54262,52519,60610,60573,66539,69720
183,24685,25431,26769,26703,28163,29180,30342,31006,31160
185,22865,23137,23557,25202,26550,27462,28624,30499,30525
187,25749,26292,26520,28036,29650,30924,31569,31584,32104
191,25353,25898,26556,27468,28879,29847,31548,32621,33491
193,20417,21258,21388,22990,24000,24358,25578,27403,26575
195,27835,27729,27972,29293,30042,30819,31445,34001,35564
197,22801,23144,23413,24630,24972,26192,27245,27883,28433
199,25472,26458,26959,28727,30036,30707,34201,33014,33256
510,44560,46984,48124,50101,52392,55318,60671,63095,64435
515,25175,25487,26278,27248,28114,30287,30597,31923,31961
520,27010,25036,30250,27965,27658,29415,29047,29864,35514
530,25138,25824,27025,26142,25770,26010,26593,27786,27371
540,32185,33545,34543,35369,36834,38832,40748,41698,42859
550,27722,28761,29205,30879,32050,33633,34793,35477,36779
570,20153,21044,22376,23430,24345,25119,25342,26228,26555
580,32992,33594,35595,35325,36270,36357,37856,39609,40129
590,23666,24304,25038,28739,29362,29550,31124,31176,31585
595,20536,20699,21370,22728,23305,24362,26304,25842,26362
600,41536,43172,44437,45997,47945,49579,52448,53170,55212
610,48051,48421,50345,53165,54738,57257,57574,58646,60806
620,22777,23510,23467,24567,24748,25919,26900,27785,28819
630,28649,29280,30493,31771,32460,33681,35412,36489,37772
640,21941,22972,23135,23853,24142,25741,25581,26426,27572
650,31085,32825,34174,35587,36197,37608,39926,40923,42785
660,27154,27403,28550,28825,30769,31968,32738,34085,34917
670,36749,37130,37750,39156,40086,41984,43708,45492,45191
678,26727,27944,30008,30617,31023,32242,33229,34183,35182
680,31152,31751,32564,33680,34979,36287,37606,38199,39190
683,35229,41654,43081,45651,47378,51649,53279,54876,55595
685,36566,36545,37828,39820,42104,42709,44112,45240,44535
690,23311,23916,23312,24461,25457,25604,25791,26854,27549
700,33572,33053,34044,35521,36503,37653,39403,41224,42246
710,33504,34769,36857,38001,39242,40810,43264,43957,45136
720,27658,28289,28962,30326,31496,32719,33758,34668,37041
730,28661,29424,30040,31078,32374,34176,34451,35502,35763
735,20860,22347,23470,24264,25114,26664,27638,28135,28573
740,33351,35755,37315,38800,39503,41818,43498,44328,44339
750,30384,31421,31674,31130,32821,34984,35350,37908,38502
760,40173,41559,42994,45156,46351,48573,51492,52454,51557
770,30218,32143,32410,34052,33973,35027,36133,37352,38306
775,32333,33651,34609,35842,37541,39099,41094,42318,42986
790,23798,24126,24151,24780,25586,26505,27990,28988,29361
800,27477,28790,30459,31634,33001,34345,36954,38045,39065
810,26750,27661,29351,30443,31898,33494,34752,35473,36262
820,30737,31274,33032,32604,34281,31913,31582,32308,31632
830,25670,26828,27594,27895,29623,30318,31469,32055,31564
840,29601,31010,32002,33142,34955,35727,37342,38811,40409
