Fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
001,8.1,9,8.8,6.4,6.2,3,3.4,4.1,4.3,4.6,4.6,4.2,4,5,6.6
003,1.9,2.1,1.6,1.1,1.1,1.7,2.2,3.1,3.4,3,2.8,2.4,2.2,3,5.1
005,6.3,5.5,5.6,5.1,5.5,3,4.2,5.3,4.6,4.6,4.7,4.7,4.3,5.4,9.4
007,5.1,3.7,4.5,2.6,2.4,2,2.5,3.8,3.9,3.5,3.4,3,2.7,4.5,7.6
009,3.6,3.9,3.1,2.2,1.7,2.1,3.6,5.5,5,4.5,4.1,3.2,3.4,4.1,7.6
011,6,5.8,5.5,4,3.9,2.5,4.3,5.7,5.6,4.5,4.7,3.6,3.8,4.4,7.8
013,3.5,3.2,2.3,1.6,1.5,1.6,2.4,3,2.7,2.4,2.3,1.9,1.9,2.4,4.2
015,5.8,3.8,2.9,2.2,2.3,1.9,2.8,3.5,3.4,3.1,3,2.6,2.6,3.6,6.6
017,9.3,6.9,6.4,6,4.6,2.6,3.7,4.4,4.6,3.6,3.5,3.2,3.1,4.1,6.4
019,3.1,3.2,3.1,2.3,1.9,1.9,3.2,4.6,4.1,3.7,3.4,2.9,2.9,3.5,6.5
021,6.5,6.9,6.2,4.2,4.3,5.2,5.7,5.3,5,4.5,3.9,3.7,3.7,4.7,7.6
023,2.5,2.5,2.9,2.4,1.7,1.8,2.7,3.6,3.6,3.3,3,2.5,2.6,3.2,6.3
025,6.9,7.1,6.1,4.2,3.9,3.5,5.4,6.4,7,6.4,5.1,4.8,4.7,6.6,11.4
027,13.4,14.8,13.6,14,13.5,5.8,6,7.1,7,5.6,5.3,4.9,4.8,5,9
029,4.9,5,5.6,5.1,4,3.2,3.4,3.8,4.4,4.2,4.3,3.5,3.4,4.9,8.2
031,3.9,3.8,3.6,2.7,2.1,2.3,4.2,5.7,5,4.3,3.9,3.2,3.4,4,7.2
033,7.4,8.1,7.2,4.9,3.2,2.2,3,4.3,4.3,3.9,3.8,3.3,3.7,4.8,8.2
035,4.8,5.9,4,5.3,6.6,4,6.9,6.6,5.6,4.9,5.6,5.2,5.6,6.6,10.9
036,5.7,4.8,4.5,3.2,2.7,2.4,4.9,5.2,5,5,4.3,3.9,3.9,5,8.8
037,7.2,8.6,6.1,3.6,3.1,3.1,4.3,7.4,6.5,5.9,8.1,6.5,5.2,5.9,9.5
041,3,3,2.6,2.1,1.9,1.8,2.6,3.4,3.5,3.3,3.1,2.7,2.6,3.6,6.6
043,3,2.9,2.4,1.8,1.4,1.6,2.2,3,3.1,2.8,2.6,2.4,2.6,3.4,6.1
045,4.6,4.4,4.1,6.8,4.1,2.4,2.9,4,4.1,3.9,3.9,3.4,3.7,4,7.2
047,4.4,4.6,3.1,2.1,1.9,1.9,2.6,3.8,4,3.5,3.3,3.2,3.5,4.8,8.1
049,2.6,2.8,4.6,2.8,1.9,2.2,2.8,3.7,4,3.9,3.9,3.4,3.2,4.7,7.2
