FIPS,1985,1990,1995,2000,2005
001,10.37,10.86,8.85,8.87,11.55
003,15,15,16.45,15.49,15.46
005,68.38,61.63,57.08,64.15,47.22
007,1.3,1.5,2.31,1.79,1.44
009,20.11,21.26,18.18,20.09,19.13
011,1.38,1.52,1.85,0.99,2.34
013,0.27,0.28,0.14,0.44,0.14
015,14.72,17.01,17.46,14.23,44.13
017,10.89,1.99,2.1,0.49,259.23
019,15.96,20.38,16.96,5.54,18.46
021,0.93,0.96,1.15,0.4,0.98
023,5.28,22.11,18.44,16.47,19.03
025,4.21,2.52,3.97,20.7,27.64
027,4.05,12.81,3.58,1.51,7.97
029,1.76,1.85,2.25,1.22,2.47
031,10.73,10.25,11.29,8.97,10.65
033,2.8,2.95,3.07,4.28,5.63
035,2.93,3.12,3.53,2.22,3.08
036,3.89,3.73,1.66,0.79,1.08
037,2.73,1.7,1.93,1.27,1.67
041,820.26,796.97,1007.84,997.42,1016.63
043,1.3,1.89,1.95,1.09,1.79
045,3.35,0.45,0.55,0.29,0.52
047,2.92,3.13,3.82,3.35,4.72
049,0.92,1.11,0.91,0.74,2.11
051,3.31,10.24,3.26,3.72,5.53
053,5.78,4.73,4.15,1.96,2
057,1.09,1.03,1.07,1.19,1.06
059,40.43,53.57,76.65,79.3,313.79
061,4.54,5.69,6.62,4.95,26.44
063,1.36,1.37,1.62,0.97,1.85
065,130.71,123.24,117.6,137.27,223.52
067,5.7,5.33,5.69,3.99,5.18
069,3.52,3.56,5.54,4.57,7.3
071,388.29,415.31,309.32,329.18,333.61
073,2.27,2.21,2.77,3.05,3.57
075,1.66,2.74,2.93,0.59,2.76
077,1.96,1.9,2.07,1.33,2.19
079,1.04,1.18,1.6,0.7,0.84
081,3.75,1.82,3.39,1.6,4.55
083,7.91,4.1,7.13,16.53,15.61
085,9.23,23.49,26.35,6.97,155.27
087,3.77,4.26,7.99,4.72,45.65
089,51.31,62.78,41.6,20.44,13.56
091,6.46,1.86,5.9,4.81,15.5
093,50.7,50.99,56.34,39.07,97.74
095,7.08,38.87,33,11.88,13.05
097,0.68,0.65,0.66,0.63,0.75
099,1.66,3.47,3.73,3.04,5.89
101,15.53,19.35,22.37,21.31,65.56
103,0.95,2.35,2.33,0.87,1.06
105,2.67,4.2,3.75,1.24,3.78
107,14.71,17.43,18.23,23.05,10.65
109,1829.47,1329.05,2077.53,2128.54,2281.42
111,2.9,1.68,1.8,1.07,1.99
113,1.78,1.59,1.78,0.82,3.17
115,0.8,0.74,0.77,0.66,0.68
117,12.43,8.04,10.66,10.22,61.11
119,2.15,0.95,1.05,0.85,1.01
121,36.29,24.03,24.59,21.84,35.29
125,2.33,1.85,2.81,0.89,4.79
127,1.11,38,40.08,28.8,31.3
131,4.25,6.84,6.35,3.23,4.74
133,1.34,1.15,1.21,0.75,3.72
135,1.76,2.55,3.22,1.13,1.66
137,2.64,2.89,3.41,1.38,3.3
139,3.01,3.48,4.58,3.4,3.68
141,2.91,2.24,2.38,1.96,2.64
143,14.96,10.83,10.55,10.26,60.09
145,2.01,1.68,1.74,1.6,2.9
147,2.07,2.19,2.75,2.12,1.45
149,15.3,21.55,22.07,17.94,58.14
153,245.67,372.32,330.12,310.26,254.9
155,6.77,5.9,8.69,5.1,6.75
157,0.64,0.72,0.93,0.59,1
159,0.66,0.93,2.05,0.46,1.12
161,9.18,6.68,8.07,14.11,20.11
163,7.7,6.85,7.17,5.94,37.09
165,24.03,30.72,29.05,30.67,44.2
167,10.98,18.35,15.69,17.97,22.04
169,2.81,2.86,2.69,1.87,2.47
171,5.63,6.68,6.92,5.59,18.78
