Country Code,2005,2006,2007,2008,2009
AFG,208.4,205.9,203.5,201,198.6
ALB,19.7,18.5,17.4,16.3,15.3
DZA,37.7,36.3,34.9,33.5,32.3
AGO,181.8,176.2,170.8,165.6,160.5
ARG,16.7,16,15.3,14.7,14.1
ARM,27.2,25.7,24.3,22.9,21.6
AUS,5.6,5.5,5.3,5.2,5.1
AUT,4.9,4.7,4.5,4.3,4.1
AZE,46.1,42.6,39.3,36.3,33.5
BHS,16,15,14.1,13.2,12.4
BHR,12.4,12.3,12.3,12.2,12.1
BGD,66.2,62.3,58.7,55.2,52
BRB,12.4,12,11.7,11.3,11
BLR,14.3,13.7,13.1,12.6,12.1
BEL,5,4.9,4.8,4.7,4.6
BLZ,21.6,20.6,19.7,18.8,18
BEN,129.1,126.2,123.4,120.7,118
BTN,89.8,86.8,84,81.2,78.6
BOL,64.5,60.9,57.5,54.2,51.2
BIH,15.8,15.3,14.9,14.6,14.4
BWA,65.8,60.7,58.9,58.8,56.9
BRA,25.8,24.4,23.1,21.8,20.6
BRN,7,6.9,6.8,6.7,6.7
BGR,13.4,12.5,11.6,10.8,10
BFA,175.5,173.2,170.9,168.7,166.4
BDI,171.2,170,168.7,167.5,166.3
KHM,95.5,93.4,91.4,89.5,87.5
CMR,155.6,155.3,155.1,154.7,154.3
CAN,6.1,6.1,6.1,6.1,6.1
CPV,32.8,31.4,30,28.7,27.5
CAF,177.3,175.8,173.8,172.3,170.8
TCD,209,209,209,209,209
CHL,9.2,9,8.8,8.7,8.5
CHN,25.3,23.6,22,20.5,19.1
COL,21.8,21.1,20.3,19.6,18.9
COM,108.4,107.3,106.2,105.1,104
COD,198.6,198.6,198.6,198.6,198.6
COG,122.6,124,125.4,126.8,128.2
CRI,11.6,11.3,11.1,10.9,10.6
CIV,128.9,126.3,123.7,120.9,118.5
CUB,6.9,6.6,6.3,6,5.8
CYP,4.9,4.5,4.2,3.8,3.5
CZE,4.4,4.1,3.9,3.7,3.5
DNK,5.2,4.8,4.5,4.2,4
DJI,99,97.6,96.2,94.9,93.5
DMA,12.3,11.6,11,10.4,9.8
DOM,35,34.2,33.4,32.6,31.9
ECU,28.2,27.2,26.1,25.1,24.2
EGY,30,27.5,25.1,23,21
SLV,22.7,21,19.4,17.9,16.6
ERI,68.1,64.6,61.3,58.2,55.2
EST,7.2,6.7,6.3,5.9,5.5
ETH,121.9,117.3,112.8,108.5,104.4
FJI,18,17.9,17.9,17.7,17.6
FIN,3.8,3.6,3.5,3.3,3.2
FRA,4.6,4.4,4.2,4.1,3.9
GAB,76.5,74.9,72.8,70.6,68.9
GMB,114.7,111.6,108.6,105.7,102.8
GEO,31.5,30.9,30.2,29.7,29.1
DEU,4.8,4.6,4.5,4.4,4.2
GHA,83.8,79.7,75.8,72,68.5
GRC,4.6,4.3,4,3.7,3.4
GTM,43.3,42.4,41.5,40.7,39.8
GIN,159.6,154.8,150.3,145.8,141.5
GUY,39.5,38.4,37.3,36.3,35.3
HTI,97.7,94.8,92,89.3,86.7
HND,33.8,32.7,31.7,30.6,29.7
