Country Code,2001,2002,2003,2004,2005,2006,2007
AGO,1.6,1.7,1.9,1.9,2,2.1,2.1
ARG,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AUS,0.1,0.1,0.1,0.1,0.1,0.2,0.2
AUT,0.1,0.1,0.2,0.2,0.2,0.2,0.2
BHS,3.1,3,3,3,3,3,3
BRB,1.2,1.2,1.2,1.2,1.2,1.2,1.2
BLR,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BEL,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLZ,2.1,2.1,2.1,2.1,2.1,2.1,2.1
BEN,1.3,1.3,1.3,1.3,1.3,1.2,1.2
BOL,0.1,0.1,0.1,0.2,0.2,0.2,0.2
BWA,26.5,26.2,25.9,25.4,24.9,24.3,23.9
BRA,0.6,0.6,0.6,0.6,0.6,0.6,0.6
BFA,2.1,2,1.9,1.8,1.7,1.7,1.6
BDI,3.5,3.2,2.9,2.6,2.4,2.2,2
KHM,1.5,1.4,1.2,1.1,1,0.9,0.8
CMR,6,5.9,5.7,5.5,5.4,5.2,5.1
CAN,0.3,0.3,0.3,0.3,0.3,0.3,0.4
CAF,6.4,6.4,6.4,6.4,6.4,6.3,6.3
TCD,3.4,3.5,3.5,3.6,3.5,3.5,3.5
CHL,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CHN,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COL,0.5,0.6,0.6,0.6,0.6,0.6,0.6
COM,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COG,4.4,4.2,4,3.9,3.7,3.6,3.5
CRI,0.2,0.3,0.3,0.3,0.3,0.4,0.4
CIV,6,5.7,5.3,5,4.6,4.2,3.9
DNK,0.1,0.1,0.1,0.1,0.2,0.2,0.2
DJI,3.1,3.1,3.1,3.1,3.1,3.1,3.1
ECU,0.3,0.3,0.3,0.3,0.3,0.3,0.3
SLV,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ERI,1.2,1.2,1.2,1.2,1.2,1.3,1.3
ETH,2.4,2.3,2.2,2.2,2.1,2.1,2.1
FJI,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRA,0.4,0.4,0.4,0.4,0.4,0.4,0.4
GAB,5.6,5.8,5.9,5.9,6,6,5.9
GMB,0.9,0.9,0.9,0.9,0.9,0.9,0.9
DEU,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GHA,2.3,2.2,2.2,2.1,2,2,1.9
GRC,0.1,0.1,0.2,0.2,0.2,0.2,0.2
GTM,0.8,0.8,0.8,0.8,0.8,0.8,0.8
GIN,1.2,1.3,1.4,1.5,1.5,1.6,1.6
GNB,1.8,1.9,1.9,1.9,1.9,1.9,1.8
GUY,2.5,2.5,2.5,2.5,2.5,2.5,2.5
HTI,2.2,2.2,2.2,2.2,2.2,2.2,2.2
HND,0.9,0.8,0.8,0.8,0.7,0.7,0.7
HUN,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ISL,0.2,0.2,0.2,0.2,0.2,0.2,0.2
IND,0.5,0.4,0.4,0.4,0.4,0.4,0.3
IRN,0.1,0.1,0.2,0.2,0.2,0.2,0.2
IRL,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ISR,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ITA,0.4,0.4,0.4,0.4,0.4,0.4,0.4
JAM,1.4,1.5,1.5,1.5,1.5,1.6,1.6
LAO,0.1,0.1,0.1,0.1,0.1,0.1,0.2
LVA,0.3,0.5,0.6,0.7,0.8,0.8,0.8
LBN,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LSO,23.9,23.8,23.7,23.6,23.4,23.3,23.2
LBR,1.4,1.4,1.5,1.5,1.5,1.6,1.7
LUX,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MWI,13.3,13,12.8,12.5,12.3,12.1,11.9
MYS,0.3,0.4,0.4,0.4,0.5,0.5,0.5
MLI,1.5,1.5,1.5,1.5,1.5,1.5,1.5
MLT,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MRT,0.7,0.8,0.8,0.8,0.8,0.8,0.8
MUS,0.3,0.4,0.6,0.9,1.2,1.7,1.7
MEX,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MOZ,10.3,11,11.5,11.9,12.2,12.3,12.5
MMR,0.9,0.9,0.9,0.8,0.8,0.7,0.7
NAM,14.6,15,15.2,15.3,15.3,15.2,15.3
NPL,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NLD,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NZL,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NIC,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NER,0.7,0.8,0.8,0.8,0.8,0.8,0.8
NGA,3.2,3.2,3.2,3.2,3.2,3.1,3.1
NOR,0.1,0.1,0.1,0.1,0.1,0.1,0.1
