Country Code,2000,2001,2002,2003,2004,2005,2006,2007
AFG,0,0,0,1.2,2.8,3.9,4,3.8
ALB,6.7,10.3,16.8,8.9,7.3,9,10.2,12.3
DZA,211.3,220.5,229.7,280.7,344,350.3,413.4,480.7
AND,0.5,0.6,1,0.5,0.7,0.6,1.5,2.7
AGO,4.4,5,4.6,1.1,2.6,3.5,2.6,3.2
ATG,0,0,0,0,0,0.5,0.3,0.8
ARG,2846.1,2930.7,3178.1,2919.3,2981.6,3058.4,3263.8,3362.1
ARM,175.4,156.7,172.8,184.1,191.2,179.9,179.5,174.8
AUS,14588.6,14483.7,14255.2,14933.6,15587.9,15971.9,17214.9,17830.6
AUT,4257.1,4479.5,4460,4692.1,4716,4567.9,4612.3,4825.2
AZE,78.6,67.9,78.1,110.3,110.1,115.9,116.4,96.8
BHS,2.5,3.1,2,2.8,1.4,1.6,1.3,4.6
BHR,21,24.8,20.4,38.2,35.5,33.3,40.9,48.3
BGD,154.8,181,150.6,200.1,186.7,195.1,218.6,235.3
BRB,14.2,22.3,20.1,26.8,29.2,17.6,19.8,15
BLR,572.3,501.7,492.3,520.6,496.8,490.6,446.7,411.5
BEL,5735.4,5827,6036.7,6301.8,6625.4,6847,6734.4,7070.8
BLZ,0.3,1.7,0.9,1.6,1,3,2.9,1.1
BEN,25.1,21.1,29.4,27.5,30.8,27.9,29.9,43.1
BTN,1.3,1.2,2.8,2.3,5.4,1.9,8.8,3.4
BOL,29.1,28.9,33.2,38.8,31.7,39,43.1,50.6
BIH,9.6,16.8,9.1,18.5,14,26.1,29.5,53.7
BWA,54.9,50.6,60.4,66.5,63.6,48.4,67.1,61.6
BRA,6407.3,7052.3,7881.1,8330.2,9573,9896.7,10799.3,11884.9
BRN,22.2,10.3,11.5,19.2,14.8,13,10.7,16.2
BGR,909.3,746.1,814.8,774.7,807.8,766.5,766.4,801.4
BFA,25.6,25.4,27.8,40.6,41.8,32.3,48.5,42.9
BDI,0.7,2.9,1.3,5.1,3.1,2.5,1.2,3.2
KHM,5.5,7.2,10.5,12.7,18.5,21,26.1,25.5
CMR,73.3,76.1,107.4,120.4,126.8,130.9,151.2,154.2
CAN,22701.3,21945.2,22341.5,23552.3,24231.3,25857.4,27202,27799.5
CPV,0,0.2,0,1.3,0.3,0.3,1.2,0
CAF,2.6,2.9,4.3,6,6.5,8.5,6.1,3.9
TCD,2.8,2,4.4,5.4,2.8,7.2,6.1,3.3
CHL,1115.1,1159.4,1311.4,1406.4,1464.1,1559.3,1630.4,1740.2
CHN,18478.7,21134.1,23269.1,28767.9,34845.6,41603.6,49574.6,56805.8
COL,331.5,315.8,355.6,325.5,358.5,401.3,469.7,489.3
COM,0.5,0.1,0,0.7,0.5,1.6,0,1.2
COD,7.4,2.8,5.2,7.1,4.6,6.2,3.8,7.2
COG,9.2,4.9,9.8,13.8,16.5,18.9,20.8,20.9
CRI,80,90.3,89.1,88.9,84.9,105.6,80.1,100.2
CIV,48.7,45,36.2,52.6,41.6,39.4,41.1,37.4
HRV,678,696.4,719.1,798.3,868,953,985.7,1101.6
CUB,283.8,272.1,206,268.3,254.5,261.4,295.2,243.5
CYP,59,67.9,78.5,75.7,87.3,91.3,119.9,139.1
CZE,2481.3,2570.5,2746.6,2820.4,3178.4,3172.1,3564.9,3688.7
DNK,4882.9,4915.2,4760.7,5005.8,5009,5047,5118.9,5235.8
DJI,0,0.3,0.5,0.5,0.9,0.9,0.3,0.6
DMA,0.1,2,0.7,2,2.3,2.7,2.7,2.1
DOM,12.9,5.8,5.2,5.1,6.7,4.6,5.4,8.1
ECU,37.4,30,50.7,53.5,50.2,48.6,40,66
EGY,1432.8,1463.5,1564,1716.8,1661.1,1658.2,1785.6,1934.4
SLV,3.4,3.1,7.6,1.2,4.3,5.8,5.7,4.5
GNQ,0.3,1,0.5,1.2,1.3,0.2,0.5,1.3
ERI,5.9,5,10.3,5.7,3.7,8,8.6,7.9
EST,327.5,346,321.2,354.6,389.1,439,456.9,502.3
ETH,89.9,77.9,101.7,92,106.3,87.6,121.2,148.5
FJI,9.8,16.1,13.6,15.5,22.9,22.4,29.9,35.2
FIN,4843.8,4930,4904.3,4898.4,5018.7,4813.4,5088,4988.6
FRA,31427.1,30597.9,30530.9,30301.9,29891.2,30334.6,31213.8,30740.4
GAB,13.3,21.8,20.6,22.5,16.3,20.3,18.3,15.8
GMB,25.7,27.9,23,19.8,23.7,22.7,24.4,17.2
GEO,134.3,115.8,127.9,111.5,150.4,144.6,177.7,129.4
DEU,43509.1,42674.2,42436,42228.3,43009.8,44185,44538.2,44407.9
GHA,92.1,78.7,79.3,75.8,86.2,81.3,90.2,109.4
GRC,2976.1,3203.8,3447.1,3586.9,3928.3,4291.5,4873.4,4980.4
GRD,0.8,0.3,1.5,1.2,2.3,2.2,5.9,6.8
GTM,13.9,16.9,19,15.1,16,19.7,22.2,22.4
GIN,2,3.8,2.9,1.2,2.9,4.5,9.5,4.2
GNB,4,4.5,7.2,7,7.3,5.8,5.9,9.7
GUY,4.1,4.5,8.6,2.8,3,9.2,3.8,6.4
HTI,4.7,3,4.8,3.2,6.4,3.2,8.7,4.3
HND,7.4,7.7,6.4,5.9,7.5,8.3,7.5,5.8
HUN,2358.4,2396.9,2322.7,2450.7,2408.6,2618.5,2592.2,2452.1
ISL,150.2,177.2,195.2,195,190.9,206.2,232.3,232
IND,10276.4,10800.5,11664.7,12461.2,13368.7,14635.3,16741.3,18193.7
IDN,181.6,188.7,178.3,156.6,181.6,205.2,215.1,197.5
IRN,841.1,1034.9,1313.8,1789.8,2115.8,2634.9,3422.7,4366.2
IRQ,28.7,32.5,24,25.6,27.3,39.1,66.5,73.3
IRL,1580.9,1588.3,1628.9,1680.7,1935.4,2120.4,2302.3,2487.4
IMN,,,,,,,,
ISR,6289.8,6231.5,6381,6523.9,6461,6319.5,6555.3,6622.5
ITA,21409.4,22089.9,22482.6,23764.5,24759.1,24658.6,25791.9,26544
JAM,36.1,57.4,54.8,47.2,51.1,51.9,39.8,49.4
JPN,57100.9,56081.7,56346.5,57228.2,56535.4,55501.9,54455.8,52895.7
JOR,246.6,232.5,242.2,250.7,281,274.8,285.4,344.1
KAZ,112.8,113.6,122.6,119,104.7,96,86,105.5
KEN,231.7,228.5,241.6,239.4,224.7,225.8,236.5,261.7
KIR,0,0,0,0,0,0,0.1,0
PRK,1.6,0,1,3.8,5.7,4,2.5,10
KOR,9571.8,11007.2,11734.5,13400.9,15254.6,16395.7,17909.9,18467.2
KWT,238.3,244.7,227.8,230.5,244.3,234.1,256.5,242
KGZ,18.4,17.6,20.3,11.4,11.7,15,17.9,16.1
LAO,3.9,4.5,4.7,8.6,12.1,9.2,18,12.3
LVA,149.5,164.4,174.7,132.6,157.3,134,120,146.8
LBN,143.7,195,158.8,210.7,198.3,233.7,250.3,238.1
LSO,6,2.4,2.4,2.6,2.8,0.8,5.7,3
LBR,1,1,1.3,0,1.1,1.3,2.3,0
LBY,15.8,21.4,19.5,24.9,17.1,19.7,26.2,30.4
LIE,11.1,6.2,6.8,11.7,12.5,12,13.2,14.4
LTU,262,283.3,334.5,307.9,404.3,406.1,515.2,456.1
LUX,40.1,45.5,39.4,38.4,61.7,58.8,65,73.4
MKD,56.3,67.7,54.2,57,52.6,42.8,41.5,57.5
MDG,28.7,30,23,36,27.8,33.5,46.2,47.9
MWI,43.6,44.2,48.5,43.1,42.3,40.5,46.7,62.9
MYS,459.6,472.4,494.5,479.3,586.1,614.6,724.1,808.1
MDV,0,1.8,0.5,1.1,1,1,2.2,1.5
MLI,11.7,11.5,17.7,16.6,23.5,24.3,25,19.4
MLT,17.7,20.6,23.4,38.9,21,25.5,20.1,22.5
MHL,0.3,0.2,0.5,0.5,0.8,0.5,0.7,0
MRT,5.4,6.5,6.5,7.1,3.9,7.1,6.2,3.3
MUS,13.2,14.6,23.6,13.5,20,15.4,19,17.8
MEX,2970.7,3202.8,3320.2,3658.5,3870,3931.6,3998.2,4222.9
FSM,1.6,0.5,0,1.5,1.7,1.2,0.6,0.7
MDA,98.7,72.7,73.6,83.1,67.6,89.1,85.3,69.8
MCO,10.8,20.1,18.1,26.6,26.3,23.5,18.6,14.1
MNG,12.1,19,16.1,18.4,20.1,21.5,21.1,21.4
MAR,466.1,457.5,466,400.3,417.1,443.2,399.5,377.6
MOZ,9.9,14.3,12.6,9.1,12.9,24.2,20.9,23.9
MMR,7.3,5.8,6.7,6.4,8.7,11.2,15.5,13.4
NAM,12.6,17.3,21.6,19.7,12.3,23.4,20.6,14.1
NPL,44,43.7,42.7,54.9,65.7,65,80.9,72
NLD,12340.7,12117.4,12481.3,12657.7,13240.7,13891,13989.2,14209.7
NZL,2850.8,2850.9,2739.8,2799.8,2825.1,2986.2,3081.8,3172.7
NIC,10.3,7.1,6.8,9.5,11,14.2,18.2,10.6
NER,19.2,13.5,17.8,14.1,11.7,21.6,17.9,22.4
NGA,400.5,304,362.8,357.8,380.7,364.2,406.2,427.4
NOR,3136,3214.6,3099.9,3130.5,3370.3,3650.2,3896.2,4078.9
OMN,92.3,100.8,113.4,108.1,98.7,110.8,108.2,129.4
PAK,267.1,279.4,342.5,359.7,413.1,493.1,600.7,741.2
PLW,3.9,2.4,0.5,0.9,2.9,3.5,2.2,3.1
PAN,38.2,50.9,49.9,49.7,60.7,54.1,57.5,77.7
PNG,26.8,32.4,26.4,22.1,18.4,15.9,15,21.3
PRY,7.5,7.2,7.9,9.9,8.8,8,4.7,12.4
PER,79.3,93.8,87.6,130.3,106.2,134.4,134.8,153.4
PHL,184.6,141.2,181.5,183.6,163.1,177.9,179.8,194.8
POL,5505.6,5629.4,6019.3,6581.8,6672.3,6853.6,7231.1,7136
PRT,1879.5,2081.2,2331.4,2423.3,2853.1,2911.5,3626.5,3424.2
QAT,17.3,20.7,12.8,20.9,48.1,39,42.1,48.3
ROU,970.9,926.9,965.2,874.9,938,887.3,1012.8,1252
RUS,17180.1,15657.9,15847.2,15146,14920.8,14424.5,13560.8,13952.7
RWA,1.4,2.8,2.4,1.3,4.9,5.6,10.4,12.3
SMR,0,0,0,0,0.3,0,0,1.6
STP,0.5,0.3,0.9,0.5,0.3,0,0.3,0.5
SAU,590,564.7,582.8,549.3,550.8,576.3,557.6,589.2
SEN,73.6,58.8,51.4,76.7,63.2,82.8,53.3,68.4
SYC,4.5,3,1.5,4.2,1.9,2.8,2.9,4
SLE,2.8,4.3,1.8,0.6,1,2.1,1.6,2.6
SGP,2361,2434.3,2631.9,2939.4,3384.3,3611.2,3838,3792.3
SVK,978,922.9,954.4,897.9,1070.2,921.8,1006.9,970.7
SVN,891.6,850.6,848.3,950.9,928.7,1035.4,1062.7,1279.8
SLB,4,1.7,0.8,4.1,1.2,1.1,2.6,2.1
SOM,0.5,0,0.8,0.5,0.3,0,1,0
ZAF,2220.7,2291.4,2328,2204.8,2319.5,2395.4,2642.7,2804.6
ESP,14795.2,15323,16062.3,16099.3,17025,18345.3,19523.8,20980.7
LKA,97.8,73.2,102.6,141.5,119.1,135.8,125.7,124.5
KNA,1.5,0,0.1,0,0,0,1.8,0.3
LCA,0,0.9,0.2,0,0,0.5,0.5,0.3
VCT,0.3,0,0.1,0,0,0,0.7,0
SDN,36.9,33.9,47.1,37.4,41.7,47.1,35.7,35.9
SUR,2.9,2.8,4.4,4.2,3.9,3,1.9,1.8
SWZ,4.3,2.4,3.5,5.7,2,2.8,1.4,4.3
SWE,9883.4,10022.3,9872.2,9676.5,9852.6,10016.1,10103,9914.3
CHE,8503.8,7949.9,7878.8,8133.7,8674.1,8766.4,9233.1,9190.1
SYR,54.6,62.8,48.6,68.3,79.3,76.8,62.4,79.6
TJK,16.2,21.1,29.1,18.3,19.5,16.2,15.9,21.7
TZA,95.5,80.9,92.9,76.3,88.8,107,128.2,122.8
THA,663.3,726.9,834,1018.6,1130.5,1248.9,1568,1727.7
TGO,12.1,10.2,5.5,9.8,10.9,10.4,10.2,12.1
TON,0.5,0.5,0.5,1.2,0.5,0,0.4,0.5
TTO,43,42.3,44.7,46.5,50.4,47.3,41.7,67
TUN,292.3,351.5,354.8,436.1,454.5,571.3,656.4,757.1
TUR,3484.1,4150.9,5226.1,6038.8,7434.3,7816.1,8180.5,8637.7
TKM,4.9,2.8,3.2,2.3,1,1.2,1.1,1.6
UGA,77.5,82.9,72.8,87.6,120.1,93.4,113.7,164.3
UKR,2267.6,2237,2182.8,1992.4,2011.5,2104.5,1908.3,1846.9
ARE,144.7,156,163.3,178.3,210.2,229.3,229.6,214
GBR,48216.1,45586.5,44642.9,45228.1,45489.6,45650.5,46741,47121.3
USA,192743,190592.6,190496.1,196431.6,202084.3,205516.3,209237.2,209694.7
URY,155.6,148.8,161.5,185.5,193.7,204.4,196.8,215.1
UZB,222.5,195.2,183.6,174.5,170.3,157.1,139.2,166.2
VUT,3,1.3,3.9,2.8,4.1,4.6,1.8,1.6
VEN,515.8,510.1,536.4,576.8,475.3,534,525.1,497.2
VNM,146.8,155.2,144.4,205.1,167.4,221.3,224.6,283.2
YEM,9.9,14.4,11.5,9.5,20.8,8.3,23.9,18.2
ZMB,22.6,30.1,28.6,22,25.6,30.9,39.6,35.9
ZWE,102.1,111.6,96.7,86.8,63.8,62.2,63.2,80.1
