Country Code,2001,2002,2003,2004,2005,2006,2007,2008
DZA,27.29999924,25.89999962,23.70000076,17.70000076,15.30000019,12.30000019,13.80000019,
ARG,17.39999962,19.60000038,15.39999962,12.60000038,10.60000038,9.5,9.2,7.25
ARM,35.90000153,10.78,10.12,9.59,,,,
AUS,6.800000191,6.400000095,6.099999905,5.5,5.099999905,4.800000191,4.400000095,4.199999809
AUT,4,4.800000191,4.800000191,5.300000191,5.199999809,4.699999809,4.400000095,3.799999952
BHS,6.900000095,9,10.80000019,10.30000019,10.19999981,7.599999905,7.900000095,
BRB,9.800000191,10.30000019,11,9.800000191,,,,
BEL,6.199999809,6.900000095,7.699999809,7.400000095,8.399999619,8.199999809,7.5,7
BLZ,9.100000381,10,12.9,11.6,11,9.4,8.5,8.2
BWA,18.60000038,,23.79999924,,31.59,17.60000038,,
BRA,9.300000191,9.100000381,9.699999809,8.899999619,9.300000191,8.399999619,9.300000191,7.900000095
BGR,19.39999962,17.60000038,13.69999981,12,10.10000038,8.899999619,6.900000095,5.699999809
CAN,7.199999809,7.699999809,7.599999905,7.199999809,6.800000191,6.300000191,6,6.099999905
CYM,7.5,5.400000095,3.599999905,4.300000191,3.5,2.599999905,3.799999952,
CHL,7.900000095,7.800000191,7.400000095,7.800000191,6.900000095,6,7.199999809,7.800000191
CHN,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.2
COL,14.5,15.69999981,14.10000038,13.69999981,11.5,12.69999981,10.89999962,11.69999981
CRI,6.099999905,6.400000095,6.699999809,6.5,6.599999905,6,4.599999905,
HRV,20.5,15.10000038,13.89999962,13.69999981,12.60000038,11.10000038,9.600000381,8.399999619
CUB,4.099999905,3.299999952,2.299999952,1.899999976,1.899999976,1.899999976,1.799999952,
CYP,4.099999905,3.299999952,4.099999905,4.699999809,5.300000191,4.599999905,3.900000095,3.700000048
CZE,8.100000381,7.300000191,7.800000191,8.300000191,7.900000095,7.099999905,5.300000191,4.400000095
DNK,4.199999809,4.300000191,5.400000095,5.199999809,4.800000191,3.900000095,3.799999952,3.299999952
DOM,15.60000038,16.10000038,16.70000076,18.39999962,11,10,15.60000038,
ECU,10.89999962,9.300000191,11.5,8.600000381,7.900000095,7.800000191,,6.900000095
EGY,9.399999619,10.19999981,10.39999962,10.69999981,11.19999981,10.60000038,9,8.699999809
SLV,7,6.199999809,6.900000095,6.800000191,,6.599999905,,
EST,12.60000038,10.30000019,10,9.600000381,7.900000095,5.900000095,4.699999809,5.5
FIN,9.100000381,9,9,8.800000191,8.399999619,7.599999905,6.800000191,6.400000095
FRA,8.600000381,8.699999809,8.5,9.199999809,8.800000191,8.800000191,7.900000095,7.400000095
GEO,11.19999981,12.60000038,11.5,12.60000038,13.80000019,,13.30000019,
DEU,7.800000191,8.5,9.800000191,10.69999981,11.10000038,10.19999981,8.600000381,7.5
GRC,10.39999962,9.899999619,9.300000191,10.19999981,9.800000191,8.899999619,8.300000191,7.699999809
GRL,9.5,8.800000191,10.30000019,10.39999962,9.300000191,8.399999619,,
HND,,3.900000095,5.199999809,6,4.199999809,3.099999905,,
HKG,5.099999905,7.300000191,7.900000095,6.699999809,5.599999905,4.800000191,4,3.5
HUN,5.699999809,5.599999905,5.800000191,5.800000191,7.199999809,7.5,7.400000095,7.800000191
ISL,2.299999952,3.299999952,3.400000095,3.099999905,2.599999905,3,2.299999952,3
IDN,8.100000381,9.100000381,9.5,9.899999619,11.19999981,10.30000019,9.100000381,8.399999619
IRN,,12.80000019,,10.30000019,11.39999962,,10.5,
IRL,3.700000048,4.199999809,4.5,4.5,4.300000191,4.400000095,4.599999905,6
ISR,9.300000191,10.30000019,10.69999981,10.30000019,9,8.399999619,7.300000191,6.199999809
ITA,9.600000381,9.199999809,8.899999619,7.900000095,7.699999809,6.800000191,6.099999905,6.699999809
JAM,15,14.30000019,11.69999981,11.39999962,10.89999962,9.600000381,9.399999619,10.60000038
JPN,5,5.400000095,5.199999809,4.699999809,4.400000095,4.099999905,3.900000095,4
JOR,15.80000019,16.20000076,15.39999962,12.39999962,,,,12.69999981
KAZ,10.39999962,9.300000191,8.800000191,8.399999619,,,,
KIR,0.800000012,1.100000024,1.299999952,1.700000048,6.097000189,,,
KOR,4,3.299999952,3.599999905,3.700000048,3.700000048,3.400000095,3.200000048,3.200000048
KWT,0.77,1.14,1.27,1.67,,,,
LVA,13.10000038,11.80000019,10.5,10.30000019,8.699999809,6.800000191,6,7.5
LTU,16.79999924,13,12.89999962,11.30000019,8.300000191,5.599999905,4.300000191,5.800000191
LUX,1.799999952,2.599999905,3.700000048,5.099999905,4.5,4.699999809,4.099999905,5.099999905
MAC,6.5,6.400000095,6.099999905,4.900000095,4.199999809,3.700000048,3,2.900000095
MKD,30.5,31.89999962,36.70000076,37.20000076,37.29999924,36,34.90000153,33.79999924
MYS,3.5,3.5,3.599999905,3.5,3.5,3.299999952,3.200000048,
MUS,9.100000381,9.699999809,10.19999981,8.5,9.600000381,9.100000381,8.5,7.300000191
