ID ,2004,2005,2006,2007,2008
ARE ,15.65,15.201,14.754,14.347,14.004
AFG ,48.803,48.177,47.575,47.023,46.538
ALB ,14.644,14.485,14.464,14.534,14.649
ARM ,14.441,14.719,14.947,15.138,15.299
AGO ,46.184,45.33,44.444,43.607,42.875
ARG ,17.68,17.553,17.454,17.364,17.269
AUT ,9.7,9.493,9.407,9.186,9.326
AUS ,12.6,12.7,12.8,13.5,13.8
ABW ,12.772,12.441,12.159,11.919,11.716
AZE ,16.1,17.2,17.8,18,17.8
BIH ,9.515,9.319,9.203,9.138,9.097
BRB ,11.463,11.381,11.312,11.256,11.208
BGD ,24.132,23.37,22.651,21.999,21.431
BEL ,11.1,11.261,11.508,11.356,11.672
BFA ,46.164,46.67,47.083,47.289,47.212
BGR ,9,9.183,9.609,9.837,10.194
BHR ,19.121,18.856,18.577,18.295,18.017
BDI ,35.493,35.154,34.886,34.665,34.465
BEN ,40.659,40.366,40.065,39.745,39.395
BRN ,21.034,20.678,20.373,20.089,19.802
BOL ,29.367,28.808,28.235,27.663,27.104
BRA ,18.817,18.153,17.476,16.814,16.194
BHS ,17.608,17.308,17.075,16.882,16.704
BTN ,24.195,23.377,22.629,21.993,21.494
BWA ,25.438,25.147,24.914,24.718,24.54
BLZ ,26.821,26.218,25.667,25.162,24.698
CAN ,10.65,10.65,10.85,11.1,11.25
CAF ,37.744,37.17,36.58,35.993,35.422
CHE ,9.9,9.803,9.804,9.865,10.055
CHL ,15.406,15.249,15.128,15.03,14.942
CMR ,37.776,37.69,37.506,37.227,36.86
CHN ,12.29,12.4,12.09,12.1,12.14
COL ,21.554,21.269,20.987,20.7,20.403
CRI ,18.213,17.726,17.294,16.941,16.677
CUB ,11.505,11.213,10.933,10.686,10.488
CPV ,26.557,25.845,25.19,24.612,24.121
CYP ,11.675,11.561,11.499,11.481,11.496
DZA ,20.672,20.737,20.769,20.775,20.759
ECU ,22.483,22.031,21.599,21.189,20.8
EGY ,25.488,25.319,25.134,24.929,24.698
ERI ,38.397,38.223,37.922,37.504,36.983
ESP ,10.6,10.746,10.947,11.001,11.391
ETH ,39.939,39.505,39.093,38.676,38.23
FIN ,11,11.007,11.173,11.105,11.204
FJI ,22.481,22.058,21.662,21.292,20.945
FRA ,12.7,12.695,12.989,12.69,12.862
GAB ,29.025,28.535,28.082,27.663,27.273
GBR ,12,11.997,12.352,12.659,12.935
GRD ,18.919,18.999,19.126,19.275,19.419
GEO ,11.928,11.968,12.012,12.055,12.087
GUF ,18.733,18.509,18.313,18.141,17.986
GGY,33.334,33.096,32.859,32.615,32.355
GMB ,38.872,38.325,37.791,37.27,36.761
GIN ,41.108,40.773,40.422,40.045,39.633
GNQ ,38.63,38.374,38.193,38.067,37.971
GRC ,9.2,9.685,10.05,10,10.278
GTM ,35.085,34.603,34.09,33.555,33.009
GUM ,19.876,19.392,18.976,18.618,18.311
GNB ,42.324,42.072,41.803,41.51,41.188
GUY ,20.272,19.587,18.951,18.375,17.869
HKG,7.2,8.4,9.6,10.2,11.3
HND ,29.302,28.819,28.364,27.923,27.484
HTI ,29.13,28.722,28.347,27.99,27.643
HUN ,9.4,9.665,9.916,9.707,9.882
IDN ,20.143,19.779,19.387,18.98,18.569
