Continent,Sex,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,Male,78.9,79,79.1,79.2,79.3,79.3,79.4,79.5,79.6
South America,Male,69.2,69.5,69.8,70,70.3,70.5,70.7,71,71.2
Africa,Male,52.6,53.1,53.5,53.9,54.3,54.7,55,55.3,55.7
Asia,Male,66.9,67.1,67.5,67.8,68.1,68.3,68.6,68.8,69
Europe,Male,71.6,71.7,71.9,72,72.2,72.4,72.6,72.9,73.2
North America,Male, , ,75.9,76,76.1,76.3,76.4,76.5,76.7
Australia,Female,83.6,83.7,83.8,83.9,84,84.2,84.3,84.4,84.5
South America,Female,75.9,76.2,76.4,76.7,76.9,77.2,77.4,77.6,77.9
Africa,Female,55.1,55.7,56.3,56.7,57.2,57.6,58,58.4,58.7
Asia,Female,70.4,70.6,71.1,71.4,71.7,72,72.3,72.6,72.9
Europe,Female,79.6,79.7,79.8,79.9,80,80.1,80.3,80.4,80.6
North America,Female, , ,80.9,81,81.2,81.3,81.4,81.5,81.6
