Continent,Age Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Africa,0-9,29.8,29.7,29.5,29.5,29.3,29.2,29.1,29,28.9,28.6
Africa,10-19,23.5,23.4,23.3,23.2,23,22.9,22.8,22.7,22.6,22.5
Africa,20-29,17.1,17.2,17.3,17.5,17.6,17.7,17.7,17.8,17.9,17.8
Africa,30-39,11.7,11.7,11.7,11.7,11.7,11.8,11.8,12,12.1,12.2
Africa,40-49,8,8,8,8,8.1,8.1,8.1,8.1,8.1,8.2
Africa,50-59,5.2,5.2,5.2,5.2,5.2,5.3,5.4,5.4,5.4,5.4
Africa,60-69,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.3
Africa,70-79,1.4,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6
Africa,80-89,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Africa,90+,0,0,0,0,0,0,0,0,0,0
Asia,0-9,19.6,19.2,18.9,18.5,18.2,17.8,17.5,17.3,17,16.8
Asia,10-19,19.7,19.4,19.4,19.2,19,18.9,18.5,18.2,17.9,17.5
Asia,20-29,17.2,17.1,17,16.8,16.8,16.8,16.9,17,17.1,17.2
Asia,30-39,15.9,16.1,16,16,15.9,15.8,15.8,15.6,15.4,15.3
Asia,40-49,11.3,11.3,11.6,11.9,12.1,12.4,12.5,12.7,13.1,13.3
Asia,50-59,7.6,7.9,8.1,8.4,8.7,8.9,9.1,9.4,9.4,9.5
Asia,60-69,5.2,5.3,5.3,5.3,5.3,5.3,5.5,5.6,5.7,5.8
Asia,70-79,2.8,2.8,2.9,3,3,3.1,3.2,3.2,3.2,3.4
Asia,80-89,0.7,0.7,0.8,0.8,0.8,1,1,1,1,1.1
Asia,90+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,0-9,13.6,13.4,13.2,13,12.9,12.7,12.6,12.5,12.5,12.5
Australia,10-19,14,13.9,13.9,13.7,13.7,13.6,13.6,13.4,13.3,13.1
Australia,20-29,14.5,14.3,14.2,14.1,14,13.9,13.9,13.8,13.9,13.9
Australia,30-39,15.4,15.3,15.1,15.1,15,14.9,14.8,14.7,14.5,14.3
Australia,40-49,14.5,14.6,14.6,14.6,14.6,14.6,14.5,14.5,14.3,14.2
Australia,50-59,11.7,12.1,12.2,12.5,12.5,12.7,12.7,12.7,12.7,12.7
Australia,60-69,7.5,7.6,7.8,7.9,8.2,8.4,8.7,9.1,9.4,9.6
Australia,70-79,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.6,5.7
Australia,80-89,2.6,2.7,2.8,2.8,2.9,2.9,3.1,3.1,3.2,3.2
Australia,90+,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7
Europe,0-9,10.5,10.3,10.2,10.1,10.1,10.1,10.1,10.2,10.2,10.2
Europe,10-19,13.5,13.3,13.1,12.8,12.5,12.2,11.9,11.5,11.2,10.9
Europe,20-29,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14
Europe,30-39,14.9,14.9,14.8,14.7,14.6,14.5,14.5,14.4,14.4,14.3
Europe,40-49,14.9,14.9,15,15.1,15.2,15.1,15.1,15,15,14.8
Europe,50-59,11.5,11.7,12.1,12.4,12.9,13.2,13.4,13.6,13.7,13.8
Europe,60-69,10.2,10.1,10.1,9.9,9.7,9.6,9.8,9.8,9.9,10.1
Europe,70-79,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.5,7.6,7.7
Europe,80-89,2.6,2.7,2.8,2.9,3,3.2,3.3,3.5,3.6,3.7
Europe,90+,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
North America,0-9,13.7,13.6,13.4,13.3,13.3,13.2,13.3,13.3,13.4,13.2
North America,10-19,14.4,14.4,14.3,14.2,14.1,13.9,13.8,13.6,13.4,13.5
North America,20-29,13.5,13.6,13.6,13.7,13.8,13.9,13.9,14,14,13.9
North America,30-39,15.1,14.8,14.5,14.1,13.7,13.5,13.3,13.2,13.2,13.1
North America,40-49,15.4,15.4,15.4,15.5,15.4,15.2,14.9,14.7,14.4,14.2
North America,50-59,11.5,11.8,12.1,12.4,12.7,13,13.1,13.2,13.3,13.5
North America,60-69,7.3,7.4,7.6,7.7,7.9,8,8.4,8.8,9.1,9.5
North America,70-79,5.7,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.4,5.4
North America,80-89,2.8,2.8,2.9,3,3,3,3.1,3.1,3.1,3.1
North America,90+,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7
South America,0-9,20.4,20.1,19.9,19.6,19.3,19.1,18.8,18.6,18.4,18.1
South America,10-19,19.5,19.3,19,18.9,18.7,18.6,18.4,18.2,18,17.8
South America,20-29,17.8,17.7,17.7,17.6,17.5,17.4,17.3,17.2,17.1,17
South America,30-39,14.9,14.9,15,14.9,15,15,15,15,15,15.1
South America,40-49,11.4,11.6,11.7,11.9,12.1,12.1,12.3,12.4,12.5,12.5
South America,50-59,7.5,7.7,7.9,8.1,8.3,8.5,8.7,8.9,9.1,9.3
South America,60-69,4.8,4.9,4.9,5,5.1,5.2,5.3,5.5,5.6,5.7
South America,70-79,2.8,2.9,2.9,2.9,2.9,2.9,3.1,3.1,3.1,3.2
South America,80-89,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.2
South America,90+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
