ID,Age 0,Ages 1-4,Ages 5-9,Ages 10-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70-74,Ages 75-79,Ages 80-84,Ages 85+
AL,9.7,2,0.7,1.9,20.4,38,31.5,28.8,21.4,18.7,15.3,14.9,8.6,6.4,7.5,11.8,8.6,3.2,5.4
AK,,,0,5.9,16.5,15,13.2,16.1,12.1,10.4,11.2,7.5,5.8,,,0,,0,0
AZ,12.6,2.8,0.9,1.6,24.1,39.5,30.9,24.3,18.8,17,12.3,10.2,8.6,4.6,3.8,4.2,4.2,3.6,
AR,14.9,4.6,,1.8,13.1,30.5,29.7,17.5,19.2,15.3,15.4,10.6,6.2,9.8,4.7,3.9,5.6,6.5,7.2
CA,6.7,1.7,0.3,1.9,27.5,35.8,26.2,17.9,13,10.2,9.2,7.5,5.3,4.9,3.9,2.7,2.5,2.1,3
CO,9.6,3.4,0.6,1.5,10.4,15.8,11.3,8.6,6.3,5.2,4.4,4.9,3.2,4.1,3.3,,,,
CT,8.3,1.4,0,,9.6,15.6,12.1,9.5,5.8,3.8,2.9,3.1,1.6,2.6,,1.7,2.5,2.8,
DE,,5.8,,8.7,134.7,153.2,113.2,83.8,59.7,51.4,27.4,22.8,19.9,7,,,15.4,0,
DC,,,,,16.7,28.5,23.1,11.4,10.8,11.4,7.1,3.7,,,,,,0,
FL,9.4,2.2,0.9,1.5,15.7,28.2,22.7,16.7,12.9,11.4,10.4,9.3,5.4,5.1,3.7,2.9,1.9,2.1,1.7
GA,9.7,4,1.1,1.1,15.9,30.9,26.2,19.9,14.2,11.6,11,9.8,8,6.6,8.2,6.4,5,6.1,4.7
HI,12.9,,0,,,3.5,5.8,4.1,2.7,3.9,2.6,4.1,2,4.2,,,,0,0
ID,6.8,4,,,4.8,8.9,6.4,7.3,3.9,4.8,5.1,4.2,2,3.2,,,,,0
IL,11.4,2.9,0.8,2.2,24.7,36.2,28.6,18.5,11.4,8.7,7,6.1,4.1,2.8,4.4,4.3,2.1,4.4,1.9
IN,12.1,3.5,1,1.7,12.9,25.5,20.4,14.5,8,10.4,7.9,6.9,5,3.5,2.4,3,2.2,2.8,2.5
IA,5,1.5,,,3.3,5.9,5.4,3.4,5.2,3.3,1.8,2.1,1.4,2.5,,,0,,0
KS,5.9,1,,0.8,10.1,15.7,16.3,8,7.8,6.2,7.9,3.6,3.9,3.2,1.9,2.2,,3.7,
